"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,351.30","1,344.50","1,357.60","1,327.00","5.83M","-1.53%"
"02-03-2026","1,372.30","1,369.10","1,384.70","1,353.60","5.13M","-0.84%"
"27-02-2026","1,383.90","1,387.00","1,395.50","1,381.00","5.84M","-0.83%"
"26-02-2026","1,395.50","1,403.00","1,405.70","1,386.00","8.98M","-0.53%"
"25-02-2026","1,403.00","1,394.00","1,404.30","1,387.60","4.38M","1.11%"
"24-02-2026","1,387.60","1,398.00","1,398.00","1,383.50","7.89M","0.06%"
"23-02-2026","1,386.70","1,380.50","1,402.00","1,380.20","6.16M","1.34%"
"20-02-2026","1,368.30","1,351.00","1,376.50","1,351.00","3.79M","0.86%"
"19-02-2026","1,356.60","1,381.10","1,382.80","1,351.00","2.74M","-1.48%"
"18-02-2026","1,377.00","1,363.00","1,378.50","1,353.80","5.56M","1.46%"
"17-02-2026","1,357.20","1,358.30","1,360.90","1,350.40","4.51M","-0.08%"
"16-02-2026","1,358.30","1,324.00","1,361.90","1,324.00","5.08M","1.95%"
"13-02-2026","1,332.30","1,341.30","1,346.50","1,316.10","4.62M","-0.57%"
"12-02-2026","1,340.00","1,347.90","1,357.70","1,336.20","4.15M","-0.54%"
"11-02-2026","1,347.30","1,358.00","1,360.00","1,344.80","3.87M","-0.69%"
"10-02-2026","1,356.70","1,352.60","1,360.10","1,343.30","5.48M","1.14%"
"09-02-2026","1,341.40","1,350.00","1,350.00","1,330.70","4.08M","-0.01%"
"06-02-2026","1,341.60","1,325.00","1,346.40","1,324.70","5.88M","0.83%"
"05-02-2026","1,330.60","1,340.00","1,340.00","1,317.40","3.77M","-0.61%"
"04-02-2026","1,338.70","1,369.70","1,369.90","1,336.60","6.67M","-1.29%"
