"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,364.00","1,356.00","1,382.00","1,356.00","3.16M","-0.51%"
"02-03-2026","1,371.00","1,351.00","1,386.00","1,350.00","2.09M","-1.30%"
"27-02-2026","1,389.10","1,398.00","1,404.80","1,382.00","8.65M","1.14%"
"26-02-2026","1,373.50","1,391.00","1,405.00","1,368.00","2.33M","-0.34%"
"25-02-2026","1,378.20","1,355.00","1,391.40","1,354.00","5.70M","2.91%"
"24-02-2026","1,339.20","1,402.30","1,406.70","1,322.50","10.00M","-6.10%"
"23-02-2026","1,426.20","1,438.20","1,441.60","1,415.50","2.63M","-0.72%"
"20-02-2026","1,436.50","1,443.00","1,455.00","1,431.00","2.39M","-0.96%"
"19-02-2026","1,450.40","1,470.00","1,501.80","1,443.00","2.40M","-1.15%"
"18-02-2026","1,467.20","1,483.20","1,483.20","1,443.40","2.04M","-1.04%"
"17-02-2026","1,482.60","1,464.00","1,510.70","1,458.00","2.84M","1.42%"
"16-02-2026","1,461.80","1,451.10","1,467.00","1,446.80","2.39M","0.45%"
"13-02-2026","1,455.20","1,423.00","1,476.80","1,396.00","7.21M","-1.42%"
"12-02-2026","1,476.10","1,529.00","1,535.00","1,469.50","5.40M","-4.87%"
"11-02-2026","1,551.60","1,574.00","1,578.10","1,546.10","2.94M","-1.37%"
"10-02-2026","1,573.10","1,595.00","1,602.40","1,567.80","3.23M","-1.80%"
"09-02-2026","1,602.00","1,600.40","1,619.90","1,594.40","1.86M","0.52%"
"06-02-2026","1,593.70","1,612.00","1,612.00","1,574.10","3.34M","-1.01%"
"05-02-2026","1,610.00","1,613.70","1,631.80","1,600.20","3.18M","-0.73%"
"04-02-2026","1,621.80","1,642.00","1,645.00","1,586.00","5.83M","-4.34%"
