"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,307.40","1,292.00","1,317.00","1,292.00","15.15M","1.44%"
"02-03-2026","1,288.90","1,291.00","1,298.80","1,273.00","9.70M","-0.86%"
"27-02-2026","1,300.10","1,326.30","1,335.00","1,294.20","23.14M","0.85%"
"26-02-2026","1,289.10","1,305.50","1,314.00","1,286.30","11.49M","-0.08%"
"25-02-2026","1,290.10","1,286.20","1,323.60","1,286.20","16.67M","1.14%"
"24-02-2026","1,275.50","1,301.00","1,303.60","1,264.10","27.84M","-3.92%"
"23-02-2026","1,327.50","1,352.00","1,352.00","1,318.00","12.89M","-1.90%"
"20-02-2026","1,353.20","1,359.20","1,365.00","1,338.20","12.63M","-1.26%"
"19-02-2026","1,370.50","1,385.00","1,402.00","1,363.20","14.57M","-0.23%"
"18-02-2026","1,373.70","1,390.90","1,401.00","1,345.30","20.24M","-1.26%"
"17-02-2026","1,391.20","1,370.00","1,431.00","1,367.00","25.35M","1.87%"
"16-02-2026","1,365.60","1,373.70","1,376.00","1,338.30","14.62M","-0.26%"
"13-02-2026","1,369.10","1,293.90","1,377.30","1,281.50","45.79M","-1.22%"
"12-02-2026","1,386.00","1,428.90","1,435.70","1,380.50","26.05M","-5.84%"
"11-02-2026","1,471.90","1,501.20","1,505.90","1,469.00","7.93M","-1.73%"
"10-02-2026","1,497.80","1,500.00","1,515.90","1,491.00","8.66M","0.04%"
"09-02-2026","1,497.20","1,522.10","1,528.00","1,493.00","8.29M","-0.66%"
"06-02-2026","1,507.10","1,522.10","1,525.00","1,480.00","13.90M","-0.86%"
"05-02-2026","1,520.20","1,534.00","1,551.00","1,515.70","10.63M","-1.02%"
"04-02-2026","1,535.80","1,574.00","1,584.90","1,510.10","28.83M","-7.26%"
