"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","365.80","370.75","373.85","364.10","11.43M","-3.11%"
"02-03-2026","377.55","365.00","378.95","365.00","14.73M","-1.14%"
"27-02-2026","381.90","381.00","385.20","380.15","11.55M","0.00%"
"26-02-2026","381.90","385.00","385.85","378.40","10.72M","-0.78%"
"25-02-2026","384.90","382.75","388.55","382.70","12.75M","0.56%"
"24-02-2026","382.75","374.95","385.00","373.55","20.77M","1.94%"
"23-02-2026","375.45","374.00","376.50","372.15","16.14M","0.67%"
"20-02-2026","372.95","362.80","373.65","362.70","16.74M","2.68%"
"19-02-2026","363.20","367.00","370.90","362.20","5.38M","-1.41%"
"18-02-2026","368.40","368.45","370.70","367.40","4.87M","0.00%"
"17-02-2026","368.40","368.75","369.50","366.05","4.44M","-0.19%"
"16-02-2026","369.10","362.60","369.65","362.50","6.29M","1.68%"
"13-02-2026","363.00","367.55","368.00","362.40","7.11M","-1.43%"
"12-02-2026","368.25","370.00","372.00","366.85","6.76M","-0.05%"
"11-02-2026","368.45","369.00","369.00","366.00","5.78M","0.42%"
"10-02-2026","366.90","361.90","368.15","361.25","8.32M","1.38%"
"09-02-2026","361.90","366.55","368.60","361.00","7.98M","-0.86%"
"06-02-2026","365.05","361.80","365.95","361.00","7.33M","-0.53%"
"05-02-2026","367.00","369.75","370.70","365.00","18.79M","-0.07%"
"04-02-2026","367.25","359.45","368.55","357.60","15.52M","2.43%"
