"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,174.50","1,172.10","1,182.70","1,157.60","13.86M","-1.29%"
"02-03-2026","1,189.90","1,185.00","1,197.30","1,179.40","16.27M","-0.98%"
"27-02-2026","1,201.70","1,207.00","1,211.80","1,198.60","10.70M","-0.64%"
"26-02-2026","1,209.50","1,201.00","1,215.40","1,188.90","16.20M","0.78%"
"25-02-2026","1,200.10","1,228.10","1,228.10","1,197.50","19.58M","-1.90%"
"24-02-2026","1,223.30","1,232.00","1,234.70","1,219.70","15.79M","-0.37%"
"23-02-2026","1,227.80","1,222.00","1,231.10","1,217.10","9.73M","0.96%"
"20-02-2026","1,216.10","1,206.20","1,218.00","1,201.80","9.96M","0.86%"
"19-02-2026","1,205.70","1,222.90","1,224.90","1,199.20","9.63M","-1.08%"
"18-02-2026","1,218.90","1,218.80","1,224.10","1,214.00","10.42M","0.45%"
"17-02-2026","1,213.40","1,206.10","1,225.50","1,204.10","20.11M","0.44%"
"16-02-2026","1,208.10","1,194.00","1,212.30","1,185.30","14.97M","0.79%"
"13-02-2026","1,198.60","1,189.00","1,201.00","1,184.50","18.14M","0.52%"
"12-02-2026","1,192.40","1,183.00","1,203.70","1,174.80","33.21M","0.80%"
"11-02-2026","1,182.90","1,144.70","1,187.50","1,142.80","29.49M","3.39%"
"10-02-2026","1,144.10","1,151.00","1,154.00","1,138.10","17.28M","-0.17%"
"09-02-2026","1,146.00","1,120.00","1,150.00","1,100.50","40.85M","7.46%"
"06-02-2026","1,066.40","1,070.00","1,073.60","1,051.00","7.04M","-0.66%"
"05-02-2026","1,073.50","1,068.20","1,081.00","1,067.50","9.55M","0.50%"
"04-02-2026","1,068.20","1,064.20","1,073.90","1,056.30","7.31M","0.38%"
