"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","2,587.80","2,625.00","2,635.00","2,580.40","3.45M","-0.98%"
"02-03-2026","2,613.50","2,592.00","2,623.80","2,580.30","3.37M","-0.91%"
"27-02-2026","2,637.40","2,681.60","2,688.60","2,626.10","5.08M","-0.39%"
"26-02-2026","2,647.70","2,650.00","2,671.00","2,635.00","3.46M","0.70%"
"25-02-2026","2,629.30","2,596.00","2,654.20","2,595.00","3.62M","2.16%"
"24-02-2026","2,573.70","2,641.00","2,647.50","2,561.30","7.80M","-3.83%"
"23-02-2026","2,676.30","2,686.00","2,704.00","2,660.20","4.70M","-0.37%"
"20-02-2026","2,686.20","2,667.00","2,702.60","2,647.50","2.29M","0.31%"
"19-02-2026","2,677.90","2,708.00","2,748.70","2,666.60","3.24M","-0.63%"
"18-02-2026","2,694.90","2,730.00","2,730.00","2,657.30","2.95M","-0.83%"
"17-02-2026","2,717.40","2,716.00","2,760.00","2,695.20","4.21M","0.40%"
"16-02-2026","2,706.60","2,700.00","2,719.80","2,671.00","2.92M","0.53%"
"13-02-2026","2,692.20","2,585.00","2,713.00","2,585.00","11.17M","-2.11%"
"12-02-2026","2,750.10","2,869.80","2,880.00","2,740.00","10.61M","-5.49%"
"11-02-2026","2,909.80","2,980.00","2,998.00","2,904.20","3.36M","-2.51%"
"10-02-2026","2,984.60","2,949.80","3,011.60","2,943.50","3.55M","1.23%"
"09-02-2026","2,948.20","2,959.10","2,977.00","2,937.50","2.38M","0.22%"
"06-02-2026","2,941.60","2,976.60","2,985.00","2,916.00","4.69M","-1.67%"
"05-02-2026","2,991.50","2,990.00","3,029.70","2,972.30","3.52M","-0.25%"
"04-02-2026","2,999.10","3,120.00","3,120.00","2,986.00","10.85M","-7.01%"
