Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,2369.4,"2,339.75","2,378.85","2,314.55",573.93K,1.46%,2339.28,2290.0099999999998,BUY,2410.8
2025-04-03,2410.8,"2,339.75","2,429.90","2,339.70",1.02M,1.75%,2358.92,2303.31,BUY,2334.65
2025-04-04,2334.65,"2,394.95","2,410.05","2,315.50",1.22M,-3.16%,2353.1800000000003,2307.75,BUY,2212.7
2025-04-07,2212.7,"2,150.05","2,239.00","2,145.00",1.57M,-5.22%,2332.5600000000004,2305.7425,BUY,2285.7
2025-04-08,2285.7,"2,270.00","2,301.00","2,225.00",1.22M,3.30%,2322.65,2307.6525,BUY,2236.9
2025-04-09,2236.9,"2,265.70","2,279.55","2,215.20",1.00M,-2.14%,2296.15,2308.0824999999995,WAIT,2321.4
2025-04-11,2321.4,"2,303.05","2,343.50","2,281.00",981.46K,3.78%,2278.27,2311.6225,WAIT,2418.2
2025-04-15,2418.2,"2,375.00","2,440.00","2,359.00",1.15M,4.17%,2294.9800000000005,2320.4425,WAIT,2415.6
2025-04-16,2415.6,"2,400.00","2,428.00","2,382.90",889.95K,-0.11%,2335.56,2330.1675,BUY,2418.1
2025-04-17,2418.1,"2,418.00","2,448.60","2,392.00",1.05M,0.10%,2362.04,2338.4375,BUY,2442.7
2025-04-21,2442.7,"2,426.10","2,464.90","2,395.50",782.56K,1.02%,2403.2,2345.1475,BUY,2445.5
2025-04-22,2445.5,"2,458.90","2,483.40","2,441.00",766.57K,0.11%,2428.0199999999995,2351.49,BUY,2453.6
2025-04-23,2453.6,"2,460.00","2,473.80","2,421.20",672.26K,0.33%,2435.0999999999995,2357.2050000000004,BUY,2442.5
2025-04-24,2442.5,"2,450.00","2,461.40","2,425.10",596.70K,-0.45%,2440.48,2361.19,BUY,2354.3
2025-04-25,2354.3,"2,450.10","2,459.50","2,323.50",1.41M,-3.61%,2427.7200000000003,2360.4700000000003,BUY,2369.8
2025-04-28,2369.8,"2,346.00","2,402.00","2,337.60",681.42K,0.66%,2413.1400000000003,2362.9425,BUY,2330.6
2025-04-29,2330.6,"2,392.00","2,400.00","2,325.60",670.73K,-1.65%,2390.1600000000003,2363.8424999999997,BUY,2301.3
2025-04-30,2301.3,"2,331.40","2,340.00","2,285.00",837.46K,-1.26%,2359.7,2360.7400000000002,WAIT,2294.2
2025-05-02,2294.2,"2,349.90","2,372.40","2,289.40",1.96M,-0.31%,2330.04,2359.66,WAIT,2455.5
2025-05-05,2455.5,"2,312.60","2,497.00","2,297.80",4.23M,7.03%,2350.2799999999997,2365.6724999999997,WAIT,2354.0
2025-05-06,2354.0,"2,454.00","2,463.20","2,343.50",1.52M,-4.13%,2347.12,2364.9025,WAIT,2353.1
2025-05-07,2353.1,"2,315.00","2,379.50","2,315.00",1.01M,-0.04%,2351.62,2362.0175,WAIT,2285.3
2025-05-08,2285.3,"2,362.00","2,367.80","2,260.00",1.38M,-2.88%,2348.4199999999996,2359.55,WAIT,2251.0
2025-05-09,2251.0,"2,240.00","2,273.10","2,233.00",1.01M,-1.50%,2339.7799999999997,2361.465,WAIT,2425.3
2025-05-12,2425.3,"2,350.00","2,433.30","2,315.00",2.15M,7.74%,2333.7400000000002,2368.4449999999997,WAIT,2441.2
2025-05-13,2441.2,"2,425.00","2,454.90","2,405.00",1.82M,0.66%,2351.18,2378.6600000000003,WAIT,2461.9
2025-05-14,2461.9,"2,444.90","2,481.90","2,430.10",774.44K,0.85%,2372.94,2385.6850000000004,WAIT,2520.0
2025-05-15,2520.0,"2,463.40","2,526.80","2,450.70",1.55M,2.36%,2419.88,2390.775,BUY,2555.0
2025-05-16,2555.0,"2,529.00","2,584.20","2,516.20",1.64M,1.39%,2480.6800000000003,2397.745,BUY,2540.6
2025-05-19,2540.6,"2,571.30","2,578.80","2,536.00",681.00K,-0.56%,2503.74,2403.87,BUY,2501.6
2025-05-20,2501.6,"2,545.00","2,564.80","2,492.50",628.02K,-1.54%,2515.82,2406.815,BUY,2500.4
2025-05-21,2500.4,"2,509.70","2,524.50","2,483.70",529.23K,-0.05%,2523.52,2409.5600000000004,BUY,2487.6
2025-05-22,2487.6,"2,500.40","2,521.90","2,465.30",906.91K,-0.51%,2517.04,2411.2599999999998,BUY,2540.0
2025-05-23,2540.0,"2,499.00","2,548.10","2,490.50",968.42K,2.11%,2514.04,2416.1349999999998,BUY,2547.7
2025-05-26,2547.7,"2,549.10","2,568.90","2,541.30",552.91K,0.30%,2515.46,2425.805,BUY,2540.3
2025-05-27,2540.3,"2,545.90","2,569.10","2,526.10",514.94K,-0.29%,2523.2,2434.33,BUY,2515.0
2025-05-28,2515.0,"2,559.00","2,559.00","2,510.00",575.99K,-1.00%,2526.12,2443.55,BUY,2540.8
2025-05-29,2540.8,"2,536.70","2,559.00","2,511.00",802.32K,1.03%,2536.7599999999998,2455.525,BUY,2519.9
2025-05-30,2519.9,"2,550.00","2,564.00","2,513.80",684.59K,-0.82%,2532.7400000000002,2466.81,BUY,2518.8
2025-06-02,2518.8,"2,527.00","2,564.00","2,514.90",1.01M,-0.04%,2526.96,2469.975,BUY,2470.9
2025-06-03,2470.9,"2,511.00","2,512.50","2,452.00",962.71K,-1.90%,2513.0800000000004,2475.82,BUY,2489.4
2025-06-04,2489.4,"2,480.00","2,503.00","2,441.10",552.67K,0.75%,2507.96,2482.635,BUY,2504.4
2025-06-05,2504.4,"2,495.00","2,530.10","2,487.50",673.21K,0.60%,2500.68,2493.59,BUY,2534.2
2025-06-06,2534.2,"2,514.90","2,553.30","2,504.00",640.68K,1.19%,2503.54,2507.75,WAIT,2582.1
2025-06-09,2582.1,"2,545.00","2,604.10","2,524.50",1.71M,1.89%,2516.2,2515.59,BUY,2613.1
2025-06-10,2613.1,"2,600.00","2,663.20","2,577.70",2.08M,1.20%,2544.64,2524.185,BUY,2581.2
2025-06-11,2581.2,"2,630.00","2,630.90","2,563.10",745.43K,-1.22%,2563.0,2530.15,BUY,2543.7
2025-06-12,2543.7,"2,591.50","2,601.80","2,530.00",955.10K,-1.45%,2570.8599999999997,2531.335,BUY,2507.9
2025-06-13,2507.9,"2,498.00","2,516.00","2,460.00",695.87K,-1.41%,2565.5999999999995,2528.98,BUY,2544.0
2025-06-16,2544.0,"2,500.00","2,563.30","2,462.00",956.46K,1.44%,2557.98,2529.15,BUY,2488.5
2025-06-17,2488.5,"2,535.00","2,539.60","2,479.00",703.34K,-2.18%,2533.06,2528.495,BUY,2459.1
2025-06-18,2459.1,"2,491.90","2,495.90","2,445.40",667.04K,-1.18%,2508.64,2526.43,WAIT,2420.6
2025-06-19,2420.6,"2,466.30","2,468.90","2,405.10",688.21K,-1.57%,2484.02,2523.08,WAIT,2448.4
2025-06-20,2448.4,"2,428.00","2,461.30","2,415.00",3.00M,1.15%,2472.12,2518.5,WAIT,2472.0
2025-06-23,2472.0,"2,438.00","2,492.60","2,421.00",790.54K,0.96%,2457.7200000000003,2514.715,WAIT,2505.6
2025-06-24,2505.6,"2,504.00","2,544.60","2,500.20",996.41K,1.36%,2461.1400000000003,2512.98,WAIT,2527.2
2025-06-25,2527.2,"2,519.90","2,541.60","2,512.10",921.35K,0.86%,2474.7599999999998,2513.59,WAIT,2586.2
2025-06-26,2586.2,"2,535.00","2,593.60","2,522.20",1.34M,2.33%,2507.88,2515.8599999999997,WAIT,2646.3
2025-06-27,2646.3,"2,587.70","2,681.60","2,582.00",4.05M,2.32%,2547.46,2522.1800000000003,BUY,2619.4
2025-06-30,2619.4,"2,650.00","2,653.90","2,605.90",694.82K,-1.02%,2576.94,2527.21,BUY,2621.8
2025-07-01,2621.8,"2,624.90","2,645.00","2,603.00",729.20K,0.09%,2600.18,2534.755,BUY,2630.2
2025-07-02,2630.2,"2,634.00","2,646.00","2,613.60",621.41K,0.32%,2620.78,2541.7949999999996,BUY,2611.2
2025-07-03,2611.2,"2,634.00","2,644.00","2,605.10",502.72K,-0.72%,2625.7799999999997,2547.135,BUY,2599.1
2025-07-04,2599.1,"2,617.00","2,617.00","2,582.20",370.31K,-0.46%,2616.34,2550.38,BUY,2576.1
2025-07-07,2576.1,"2,602.00","2,605.40","2,572.00",412.16K,-0.88%,2607.6799999999994,2550.08,BUY,2591.3
2025-07-08,2591.3,"2,586.00","2,600.00","2,573.00",357.70K,0.59%,2601.58,2548.9900000000002,BUY,2583.0
2025-07-09,2583.0,"2,599.00","2,609.90","2,570.00",396.88K,-0.32%,2592.1400000000003,2549.08,BUY,2581.0
2025-07-10,2581.0,"2,591.00","2,604.00","2,575.00",306.57K,-0.08%,2586.1,2550.945,BUY,2558.7
2025-07-11,2558.7,"2,575.00","2,591.90","2,551.90",390.65K,-0.86%,2578.0199999999995,2553.4849999999997,BUY,2581.3
2025-07-14,2581.3,"2,555.00","2,604.80","2,543.50",536.59K,0.88%,2579.0600000000004,2555.35,BUY,2598.2
2025-07-15,2598.2,"2,588.00","2,606.90","2,576.00",379.43K,0.65%,2580.44,2560.835,BUY,2608.5
2025-07-16,2608.5,"2,602.50","2,619.50","2,595.50",686.64K,0.40%,2585.54,2568.305,BUY,2616.6
2025-07-17,2616.6,"2,612.00","2,654.50","2,605.30",785.77K,0.31%,2592.66,2578.105,BUY,2596.1
2025-07-18,2596.1,"2,612.00","2,626.70","2,584.20",479.94K,-0.78%,2600.14,2585.4900000000002,BUY,2619.5
2025-07-21,2619.5,"2,596.30","2,624.90","2,585.00",369.78K,0.90%,2607.7799999999997,2592.8650000000002,BUY,2587.8
2025-07-22,2587.8,"2,626.00","2,630.00","2,581.60",387.06K,-1.21%,2605.7,2596.975,BUY,2614.5
2025-07-23,2614.5,"2,600.70","2,625.90","2,593.50",316.42K,1.03%,2606.9,2601.3399999999997,BUY,2608.4
2025-07-24,2608.4,"2,615.40","2,624.20","2,595.00",253.78K,-0.23%,2605.26,2602.45,BUY,2550.1
2025-07-25,2550.1,"2,605.00","2,617.00","2,544.10",424.61K,-2.24%,2596.06,2597.64,WAIT,2522.3
2025-07-28,2522.3,"2,549.00","2,585.00","2,512.60",428.41K,-1.09%,2576.62,2592.7850000000003,WAIT,2547.9
2025-07-29,2547.9,"2,529.00","2,557.40","2,507.50",424.78K,1.01%,2568.64,2589.09,WAIT,2532.9
2025-07-30,2532.9,"2,547.90","2,552.60","2,525.00",262.06K,-0.59%,2552.3200000000006,2584.225,WAIT,2430.7
2025-07-31,2430.7,"2,509.90","2,520.00","2,422.60",1.46M,-4.03%,2516.7799999999997,2575.2,WAIT,2350.9
2025-08-01,2350.9,"2,425.00","2,444.90","2,333.00",976.34K,-3.28%,2476.9399999999996,2562.79,WAIT,2363.6
2025-08-04,2363.6,"2,360.00","2,374.70","2,338.20",576.43K,0.54%,2445.2,2552.165,WAIT,2328.2
2025-08-05,2328.2,"2,370.00","2,370.00","2,316.00",576.74K,-1.50%,2401.2599999999998,2539.0099999999998,WAIT,2300.3
2025-08-06,2300.3,"2,333.90","2,347.90","2,296.00",631.58K,-1.20%,2354.74,2524.875,WAIT,2249.8
2025-08-07,2249.8,"2,290.00","2,295.00","2,202.80",1.53M,-2.20%,2318.56,2508.3149999999996,WAIT,2178.1
2025-08-08,2178.1,"2,247.00","2,260.90","2,164.80",2.55M,-3.19%,2284.0,2489.2850000000003,WAIT,2283.4
2025-08-11,2283.4,"2,196.00","2,302.00","2,183.00",2.38M,4.83%,2267.96,2474.39,WAIT,2288.2
2025-08-12,2288.2,"2,280.10","2,314.70","2,267.00",1.08M,0.21%,2259.96,2458.8900000000003,WAIT,2280.1
2025-08-13,2280.1,"2,299.00","2,314.90","2,245.40",833.68K,-0.35%,2255.92,2442.4700000000003,WAIT,2281.6
2025-08-14,2281.6,"2,288.00","2,304.00","2,267.70",998.11K,0.07%,2262.2799999999997,2425.7200000000003,WAIT,2333.6
2025-08-18,2333.6,"2,309.60","2,360.00","2,300.00",988.63K,2.28%,2293.38,2412.5950000000003,WAIT,2388.4
2025-08-19,2388.4,"2,339.90","2,395.60","2,314.10",1.07M,2.35%,2314.38,2401.04,WAIT,2387.1
2025-08-20,2387.1,"2,380.00","2,406.00","2,372.10",780.03K,-0.05%,2334.16,2391.005,WAIT,2377.2
2025-08-21,2377.2,"2,387.10","2,397.00","2,371.40",441.87K,-0.41%,2353.58,2379.1400000000003,WAIT,2324.9
2025-08-22,2324.9,"2,369.90","2,376.30","2,321.00",584.21K,-2.20%,2362.24,2364.965,WAIT,2302.9
2025-08-25,2302.9,"2,335.70","2,348.40","2,300.00",542.46K,-0.95%,2356.1,2352.605,BUY,2272.0
2025-08-26,2272.0,"2,304.00","2,309.30","2,249.40",1.07M,-1.34%,2332.8199999999997,2340.0899999999997,WAIT,2275.2
2025-08-28,2275.2,"2,271.90","2,327.90","2,255.00",907.87K,0.14%,2310.44,2326.455,WAIT,2244.7
2025-08-29,2244.7,"2,283.00","2,289.70","2,240.00",795.70K,-1.34%,2283.9399999999996,2312.045,WAIT,2284.2
2025-09-01,2284.2,"2,259.00","2,288.00","2,252.10",425.64K,1.76%,2275.8,2304.72,WAIT,2274.2
2025-09-02,2274.2,"2,291.00","2,302.00","2,264.00",481.89K,-0.44%,2270.06,2300.8849999999998,WAIT,2288.7
2025-09-03,2288.7,"2,285.00","2,293.00","2,263.10",443.63K,0.64%,2273.4,2297.14,WAIT,2278.8
2025-09-04,2278.8,"2,309.90","2,317.30","2,275.00",392.70K,-0.43%,2274.12,2294.67,WAIT,2281.4
2025-09-05,2281.4,"2,275.00","2,293.50","2,248.00",443.01K,0.11%,2281.46,2293.725,WAIT,2310.9
2025-09-08,2310.9,"2,290.00","2,333.90","2,286.00",542.81K,1.29%,2286.8,2296.7799999999997,WAIT,2311.6
2025-09-09,2311.6,"2,320.00","2,325.00","2,297.00",369.43K,0.03%,2294.28,2303.455,WAIT,2340.2
2025-09-10,2340.2,"2,330.00","2,345.90","2,325.10",390.49K,1.24%,2304.58,2306.295,WAIT,2398.8
2025-09-11,2398.8,"2,348.00","2,418.70","2,340.20",2.11M,2.50%,2328.5800000000004,2311.825,BUY,2392.0
2025-09-12,2392.0,"2,416.90","2,421.60","2,387.10",533.97K,-0.28%,2350.7,2317.42,BUY,2383.4
2025-09-15,2383.4,"2,392.00","2,402.80","2,378.10",298.13K,-0.36%,2365.2,2322.5099999999998,BUY,2399.4
2025-09-16,2399.4,"2,410.00","2,415.80","2,388.00",752.98K,0.67%,2382.76,2325.8,BUY,2402.0
2025-09-17,2402.0,"2,417.00","2,417.00","2,391.00",514.35K,0.11%,2395.12,2326.48,BUY,2402.0
2025-09-18,2402.0,"2,414.50","2,438.00","2,388.40",703.73K,0.00%,2395.7599999999998,2327.225,BUY,2524.0
2025-09-19,2524.0,"2,495.00","2,579.00","2,466.10",7.97M,5.08%,2422.16,2334.5649999999996,BUY,2629.5
2025-09-22,2629.5,"2,535.00","2,659.00","2,522.10",7.02M,4.18%,2471.38,2349.7949999999996,BUY,2676.4
2025-09-23,2676.4,"2,642.60","2,695.00","2,593.00",5.61M,1.78%,2526.7799999999997,2368.4700000000003,BUY,2619.8
2025-09-24,2619.8,"2,655.00","2,676.00","2,614.40",1.72M,-2.11%,2570.34,2385.86,BUY,2576.4
2025-09-25,2576.4,"2,625.00","2,647.90","2,567.00",1.49M,-1.66%,2605.2200000000003,2400.9199999999996,BUY,2543.7
2025-09-26,2543.7,"2,572.80","2,605.00","2,535.00",1.04M,-1.27%,2609.16,2415.87,BUY,2509.5
2025-09-29,2509.5,"2,543.70","2,555.00","2,505.00",1.01M,-1.34%,2585.16,2427.135,BUY,2505.9
2025-09-30,2505.9,"2,522.00","2,535.00","2,490.60",712.59K,-0.14%,2551.0600000000004,2438.7200000000003,BUY,2592.7
2025-10-01,2592.7,"2,518.40","2,603.40","2,472.10",1.57M,3.46%,2545.64,2453.92,BUY,2589.9
2025-10-03,2589.9,"2,595.00","2,612.90","2,564.40",917.65K,-0.11%,2548.34,2469.475,BUY,2573.5
2025-10-06,2573.5,"2,589.10","2,599.80","2,562.60",654.96K,-0.63%,2554.3,2484.08,BUY,2542.2
2025-10-07,2542.2,"2,580.70","2,617.30","2,533.10",1.12M,-1.22%,2560.8399999999997,2495.645,BUY,2524.1
2025-10-08,2524.1,"2,562.00","2,565.00","2,500.00",1.06M,-0.71%,2564.48,2506.2699999999995,BUY,2542.4
2025-10-09,2542.4,"2,535.00","2,559.00","2,522.20",651.70K,0.73%,2554.42,2516.38,BUY,2550.9
2025-10-10,2550.9,"2,552.00","2,565.00","2,538.80",690.14K,0.33%,2546.62,2523.9849999999997,BUY,2527.4
2025-10-13,2527.4,"2,529.10","2,542.10","2,504.00",645.48K,-0.92%,2537.4,2530.755,BUY,2517.0
2025-10-14,2517.0,"2,538.90","2,538.90","2,485.20",673.05K,-0.41%,2532.3599999999997,2537.4350000000004,WAIT,2532.8
2025-10-15,2532.8,"2,535.00","2,561.40","2,527.30",759.77K,0.63%,2534.1,2544.1050000000005,WAIT,2557.6
2025-10-16,2557.6,"2,544.80","2,579.70","2,540.90",1.02M,0.98%,2537.1400000000003,2551.885,WAIT,2549.4
