Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,1084.45,"1,091.70","1,095.60","1,080.75",4.07M,-0.11%,1093.3300000000002,1055.4950000000001,BUY,1089.85
2025-04-03,1089.85,"1,078.90","1,091.95","1,075.30",5.35M,0.50%,1092.0499999999997,1059.8975,BUY,1091.3
2025-04-04,1091.3,"1,081.50","1,101.90","1,075.45",6.06M,0.13%,1090.6399999999999,1063.74,BUY,1047.95
2025-04-07,1047.95,"1,035.00","1,069.00","1,032.35",9.72M,-3.97%,1079.83,1064.4325000000001,BUY,1077.85
2025-04-08,1077.85,"1,061.00","1,084.95","1,060.30",8.72M,2.85%,1078.28,1066.4424999999999,BUY,1061.65
2025-04-09,1061.65,"1,073.10","1,081.85","1,058.00",6.69M,-1.50%,1073.7199999999998,1067.7325,BUY,1068.95
2025-04-11,1068.95,"1,063.30","1,072.70","1,057.55",8.14M,0.69%,1069.5400000000002,1069.8975,WAIT,1112.8
2025-04-15,1112.8,"1,090.00","1,117.00","1,083.00",9.32M,4.10%,1073.84,1074.9775,WAIT,1161.3
2025-04-16,1161.3,"1,122.70","1,163.50","1,112.60",12.84M,4.36%,1096.51,1082.5324999999998,BUY,1190.8
2025-04-17,1190.8,"1,155.60","1,199.20","1,153.60",13.45M,2.54%,1119.1,1090.365,BUY,1223.0
2025-04-21,1223.0,"1,202.00","1,238.70","1,198.10",15.17M,2.70%,1151.3700000000001,1099.2525,BUY,1216.8
2025-04-22,1216.8,"1,230.40","1,235.00","1,212.10",8.46M,-0.51%,1180.9399999999998,1107.4900000000002,BUY,1206.9
2025-04-23,1206.9,"1,225.30","1,230.00","1,194.90",9.43M,-0.81%,1199.76,1115.1174999999998,BUY,1207.1
2025-04-24,1207.1,"1,199.10","1,220.00","1,199.10",9.08M,0.02%,1208.92,1121.9650000000001,BUY,1166.3
2025-04-25,1166.3,"1,177.00","1,179.90","1,146.00",17.24M,-3.38%,1204.02,1125.3875,BUY,1192.8
2025-04-28,1192.8,"1,166.30","1,196.00","1,164.30",5.52M,2.27%,1197.98,1129.1,BUY,1187.3
2025-04-29,1187.3,"1,194.00","1,210.00","1,184.40",6.07M,-0.46%,1192.0800000000002,1133.6525,BUY,1185.0
2025-04-30,1185.0,"1,185.10","1,193.90","1,175.00",6.29M,-0.19%,1187.7,1137.9850000000001,BUY,1182.2
