Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,865.75,871.81,874.79,860.03,6.46M,-0.33%,882.458,864.915,BUY,858.29
2025-04-03,858.29,863.82,875.31,844.87,13.97M,-0.86%,877.0360000000001,864.958,BUY,870.7
2025-04-04,870.7,864.42,878.50,857.21,18.50M,1.45%,871.344,867.0560000000002,BUY,855.64
2025-04-07,855.64,832.87,858.88,829.59,13.98M,-1.73%,863.8040000000001,867.841,WAIT,881.03
2025-04-08,881.03,863.82,886.09,863.82,14.78M,2.97%,866.2819999999999,869.927,WAIT,872.39
2025-04-09,872.39,880.30,883.00,861.33,10.49M,-0.98%,867.61,871.89,WAIT,890.9
2025-04-11,890.9,881.31,896.13,879.87,10.10M,2.12%,874.132,874.7895000000001,WAIT,912.86
2025-04-15,912.86,924.29,927.74,906.32,12.63M,2.46%,882.564,878.068,BUY,904.42
2025-04-16,904.42,913.71,915.90,895.18,7.20M,-0.92%,892.32,881.2439999999999,BUY,915.0
2025-04-17,915.0,902.77,917.75,893.98,11.42M,1.17%,899.1139999999999,884.1505,BUY,926.09
2025-04-21,926.09,915.75,930.23,912.91,7.82M,1.21%,909.8539999999999,887.1015,BUY,924.79
2025-04-22,924.79,928.24,938.02,921.75,11.29M,-0.14%,916.632,889.7425,BUY,931.03
2025-04-23,931.03,926.94,933.58,913.76,10.82M,0.67%,920.266,892.9545,BUY,928.84
2025-04-24,928.84,960.69,964.69,926.04,18.50M,-0.24%,925.15,894.8765,BUY,909.96
2025-04-25,909.96,929.78,933.18,897.78,10.89M,-2.03%,924.142,894.9860000000001,BUY,908.06
2025-04-28,908.06,906.77,911.26,898.83,9.95M,-0.21%,920.5360000000001,895.1145,BUY,908.06
2025-04-29,908.06,911.76,913.36,894.78,11.77M,0.00%,917.1899999999999,896.2475000000001,BUY,862.28
2025-04-30,862.28,882.80,887.59,854.44,39.69M,-5.04%,903.4399999999999,894.4035,BUY,885.05
2025-05-02,885.05,856.38,890.29,855.44,22.03M,2.64%,894.682,893.9889999999999,BUY,891.99
2025-05-05,891.99,886.54,902.07,885.40,8.93M,0.78%,891.088,895.1565,WAIT,878.55
2025-05-06,878.55,889.89,896.18,873.81,12.04M,-1.51%,885.186,895.7965,WAIT,897.43
2025-05-07,897.43,873.81,898.53,871.11,11.64M,2.15%,883.0600000000001,897.7535,WAIT,882.05
2025-05-08,882.05,896.48,906.22,876.31,12.02M,-1.71%,887.0139999999999,898.3209999999999,WAIT,864.1
