Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,1754.6,"1,720.00","1,760.40","1,716.95",6.43M,1.77%,1735.0800000000004,1673.9900000000002,BUY,1746.0
2025-04-03,1746.0,"1,748.00","1,754.95","1,735.45",2.34M,-0.49%,1736.5700000000002,1682.5225000000003,BUY,1743.45
2025-04-04,1743.45,"1,754.50","1,770.80","1,740.00",7.82M,-0.15%,1740.3200000000002,1688.7825,BUY,1686.65
2025-04-07,1686.65,"1,730.00","1,774.75","1,669.40",14.87M,-3.26%,1730.97,1691.77,BUY,1720.4
2025-04-08,1720.4,"1,720.70","1,742.30","1,706.80",7.21M,2.00%,1730.22,1696.2549999999999,BUY,1715.55
2025-04-09,1715.55,"1,719.65","1,726.85","1,711.60",5.60M,-0.28%,1722.4099999999999,1700.485,BUY,1756.6
2025-04-11,1756.6,"1,760.00","1,767.00","1,732.35",8.34M,2.39%,1724.53,1705.1675,BUY,1798.8
2025-04-15,1798.8,"1,808.20","1,820.00","1,781.10",10.31M,2.40%,1735.6,1712.9650000000001,BUY,1822.6
2025-04-16,1822.6,"1,802.40","1,826.50","1,794.10",6.18M,1.32%,1762.7899999999997,1722.47,BUY,1889.1
2025-04-17,1889.1,"1,834.00","1,897.70","1,825.70",10.89M,3.65%,1796.53,1734.9675,BUY,1883.4
2025-04-21,1883.4,"1,898.40","1,904.30","1,868.60",3.50M,-0.30%,1830.1,1747.7725000000003,BUY,1852.2
2025-04-22,1852.2,"1,888.00","1,888.00","1,836.80",6.16M,-1.66%,1849.2199999999998,1758.525,BUY,1881.6
2025-04-23,1881.6,"1,867.00","1,885.90","1,836.10",6.86M,1.59%,1865.78,1767.3425,BUY,1845.6
2025-04-24,1845.6,"1,874.50","1,877.80","1,839.50",5.18M,-1.91%,1870.3799999999999,1773.3324999999998,BUY,1817.2
2025-04-25,1817.2,"1,846.70","1,861.70","1,806.00",4.57M,-1.54%,1856.0,1778.2525,BUY,1821.8
2025-04-28,1821.8,"1,836.00","1,838.90","1,813.40",3.30M,0.25%,1843.6799999999998,1782.8175000000003,BUY,1823.8
2025-04-29,1823.8,"1,823.70","1,847.80","1,817.60",4.68M,0.11%,1838.0,1787.08,BUY,1864.5
2025-04-30,1864.5,"1,837.00","1,876.90","1,827.00",9.14M,2.23%,1834.58,1794.0700000000002,BUY,1851.9
2025-05-02,1851.9,"1,852.00","1,883.60","1,832.10",5.53M,-0.68%,1835.8400000000001,1799.9950000000001,BUY,1866.0
2025-05-05,1866.0,"1,868.00","1,873.50","1,849.20",3.55M,0.76%,1845.6,1807.0875,BUY,1901.0
2025-05-06,1901.0,"1,888.30","1,912.00","1,882.60",8.60M,1.88%,1861.44,1814.4075,BUY,1896.8
2025-05-07,1896.8,"1,901.00","1,917.00","1,885.50",5.55M,-0.22%,1876.0400000000002,1821.9474999999998,BUY,1874.9
2025-05-08,1874.9,"1,897.00","1,905.80","1,862.40",5.50M,-1.15%,1878.1200000000001,1828.5199999999998,BUY,1848.4
2025-05-09,1848.4,"1,855.00","1,871.10","1,836.50",3.69M,-1.41%,1877.42,1836.6075,BUY,1870.8
2025-05-12,1870.8,"1,868.90","1,883.40","1,854.00",3.94M,1.21%,1878.3799999999999,1844.1275,BUY,1820.6
2025-05-13,1820.6,"1,870.00","1,883.70","1,816.60",8.82M,-2.68%,1862.3,1849.3799999999999,BUY,1834.2
2025-05-14,1834.2,"1,830.00","1,870.70","1,820.20",7.40M,0.75%,1849.78,1853.2599999999998,WAIT,1867.2
2025-05-15,1867.2,"1,849.90","1,869.90","1,825.00",8.79M,1.80%,1848.2400000000002,1856.6799999999998,WAIT,1814.0
2025-05-16,1814.0,"1,834.00","1,834.00","1,810.10",100.66M,-2.85%,1841.36,1856.25,WAIT,1818.3
2025-05-19,1818.3,"1,822.00","1,828.70","1,809.00",5.80M,0.24%,1830.86,1852.7099999999998,WAIT,1808.9
2025-05-20,1808.9,"1,809.80","1,824.90","1,799.50",12.51M,-0.52%,1828.52,1848.985,WAIT,1822.5
2025-05-21,1822.5,"1,813.00","1,826.50","1,805.30",6.85M,0.75%,1826.1799999999998,1847.5,WAIT,1831.4
2025-05-22,1831.4,"1,819.90","1,836.70","1,816.30",6.50M,0.49%,1819.02,1844.9900000000002,WAIT,1831.7
2025-05-23,1831.7,"1,825.00","1,841.80","1,821.50",3.46M,0.02%,1822.56,1844.2949999999996,WAIT,1847.4
2025-05-26,1847.4,"1,834.00","1,850.00","1,830.90",3.25M,0.86%,1828.3800000000003,1845.8049999999998,WAIT,1843.8
2025-05-27,1843.8,"1,844.00","1,857.60","1,833.70",5.85M,-0.19%,1835.36,1846.9050000000002,WAIT,1856.1
2025-05-28,1856.1,"1,848.00","1,867.00","1,845.10",3.71M,0.67%,1842.08,1848.52,WAIT,1863.6
2025-05-29,1863.6,"1,858.00","1,867.00","1,850.50",5.79M,0.40%,1848.52,1848.475,BUY,1856.2
2025-05-30,1856.2,"1,854.00","1,867.00","1,843.00",16.71M,-0.40%,1853.42,1848.69,BUY,1854.1
2025-06-02,1854.1,"1,844.00","1,859.00","1,831.50",3.20M,-0.11%,1854.7599999999998,1848.095,BUY,1841.3
2025-06-03,1841.3,"1,867.00","1,869.50","1,832.00",5.60M,-0.69%,1854.2599999999998,1845.11,BUY,1875.4
2025-06-04,1875.4,"1,855.00","1,884.60","1,850.00",5.89M,1.85%,1858.1199999999997,1844.0399999999997,BUY,1878.8
2025-06-05,1878.8,"1,884.00","1,889.00","1,868.60",9.00M,0.18%,1861.1599999999999,1844.2350000000001,BUY,1870.2
2025-06-06,1870.2,"1,872.10","1,881.90","1,867.30",4.64M,-0.46%,1863.9599999999998,1845.325,BUY,1865.1
2025-06-09,1865.1,"1,874.00","1,875.00","1,848.70",3.65M,-0.27%,1866.1599999999999,1845.0399999999997,BUY,1857.1
2025-06-10,1857.1,"1,866.60","1,875.60","1,850.30",7.93M,-0.43%,1869.3200000000002,1846.8650000000002,BUY,1860.2
2025-06-11,1860.2,"1,857.90","1,866.50","1,847.80",8.91M,0.17%,1866.28,1848.1650000000002,BUY,1844.2
2025-06-12,1844.2,"1,871.90","1,883.00","1,831.60",7.35M,-0.86%,1859.36,1847.0149999999999,BUY,1840.4
2025-06-13,1840.4,"1,815.00","1,844.60","1,815.00",4.61M,-0.21%,1853.4,1848.3349999999998,BUY,1861.3
