Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,1527.55,"1,515.00","1,538.55","1,506.40",3.17M,-0.18%,1582.79,1568.1924999999999,BUY,1470.1
2025-04-03,1470.1,"1,500.00","1,500.00","1,465.00",3.97M,-3.76%,1550.1299999999999,1564.9225000000001,WAIT,1422.1
2025-04-04,1422.1,"1,449.00","1,456.20","1,419.10",4.42M,-3.27%,1508.52,1557.3799999999999,WAIT,1374.1
2025-04-07,1374.1,"1,345.00","1,383.75","1,302.75",6.48M,-3.38%,1464.8399999999997,1546.8125,WAIT,1403.35
2025-04-08,1403.35,"1,380.00","1,424.25","1,372.00",3.94M,2.13%,1439.44,1539.0825,WAIT,1380.0
2025-04-09,1380.0,"1,380.65","1,388.70","1,357.05",3.31M,-1.66%,1409.9299999999998,1530.6174999999998,WAIT,1390.55
2025-04-11,1390.55,"1,360.00","1,425.00","1,360.00",4.86M,0.76%,1394.02,1521.7525,WAIT,1426.5
2025-04-15,1426.5,"1,420.00","1,428.80","1,406.00",3.27M,2.59%,1394.9,1516.0475000000001,WAIT,1431.7
2025-04-16,1431.7,"1,415.00","1,436.10","1,405.50",2.55M,0.36%,1406.4199999999998,1510.895,WAIT,1438.0
2025-04-17,1438.0,"1,420.00","1,442.10","1,384.00",3.55M,0.44%,1413.35,1505.5375,WAIT,1482.0
2025-04-21,1482.0,"1,435.00","1,499.00","1,430.00",2.84M,3.06%,1433.75,1501.7275,WAIT,1479.9
2025-04-22,1479.9,"1,490.00","1,499.90","1,464.50",2.61M,-0.14%,1451.6200000000001,1498.5,WAIT,1594.0
2025-04-23,1594.0,"1,555.00","1,600.00","1,543.70",13.29M,7.71%,1485.1200000000001,1500.1,WAIT,1586.7
2025-04-24,1586.7,"1,595.00","1,603.30","1,576.10",3.19M,-0.46%,1516.1200000000001,1501.1,BUY,1578.2
2025-04-25,1578.2,"1,590.00","1,618.00","1,568.10",3.80M,-0.54%,1544.16,1499.8025,BUY,1549.3
2025-04-28,1549.3,"1,565.00","1,569.40","1,537.10",2.62M,-1.83%,1557.6200000000001,1496.0224999999998,BUY,1569.0
2025-04-29,1569.0,"1,555.00","1,580.80","1,548.10",2.23M,1.27%,1575.44,1492.8025,BUY,1567.5
2025-04-30,1567.5,"1,571.00","1,587.90","1,554.00",3.68M,-0.10%,1570.14,1489.6699999999998,BUY,1576.5
2025-05-02,1576.5,"1,567.00","1,581.00","1,557.10",1.90M,0.57%,1568.1,1488.87,BUY,1568.6
2025-05-05,1568.6,"1,580.00","1,597.70","1,563.30",1.01M,-0.50%,1566.1799999999998,1490.7825,BUY,1579.1
2025-05-06,1579.1,"1,576.80","1,583.80","1,565.10",2.06M,0.67%,1572.1399999999999,1493.36,BUY,1563.3
2025-05-07,1563.3,"1,552.00","1,578.40","1,545.00",5.47M,-1.00%,1571.0,1498.02,BUY,1580.7
2025-05-08,1580.7,"1,561.90","1,598.00","1,555.80",2.79M,1.11%,1573.6399999999999,1505.95,BUY,1569.4
2025-05-09,1569.4,"1,566.00","1,577.70","1,557.30",2.04M,-0.71%,1572.2199999999998,1515.715,BUY,1670.3
2025-05-12,1670.3,"1,598.80","1,675.00","1,594.00",4.03M,6.43%,1592.56,1529.0625,BUY,1619.6
2025-05-13,1619.6,"1,685.00","1,688.10","1,615.20",3.12M,-3.04%,1600.6599999999999,1541.0425,BUY,1637.7
2025-05-14,1637.7,"1,630.00","1,642.30","1,617.00",1.57M,1.12%,1615.5400000000002,1553.4,BUY,1696.0
2025-05-15,1696.0,"1,650.00","1,702.60","1,625.00",4.96M,3.56%,1638.6,1566.875,BUY,1659.9
2025-05-16,1659.9,"1,691.90","1,693.50","1,658.00",2.59M,-2.13%,1656.7,1578.285,BUY,1649.6
2025-05-19,1649.6,"1,661.00","1,664.00","1,638.10",1.64M,-0.62%,1652.56,1588.865,BUY,1638.3
2025-05-20,1638.3,"1,660.80","1,666.00","1,636.40",2.42M,-0.69%,1656.3,1596.6799999999998,BUY,1652.0
2025-05-21,1652.0,"1,645.00","1,657.50","1,628.40",1.42M,0.84%,1659.1599999999999,1605.2849999999999,BUY,1633.0
2025-05-22,1633.0,"1,638.40","1,640.70","1,614.00",2.20M,-1.15%,1646.56,1607.235,BUY,1648.2
2025-05-23,1648.2,"1,633.00","1,670.80","1,622.50",1.46M,0.93%,1644.22,1610.31,BUY,1673.6
2025-05-26,1673.6,"1,652.40","1,675.80","1,645.60",1.08M,1.54%,1649.02,1615.0800000000002,BUY,1652.1
2025-05-27,1652.1,"1,673.80","1,675.50","1,641.50",2.74M,-1.28%,1651.78,1620.22,BUY,1657.3
2025-05-28,1657.3,"1,664.00","1,666.80","1,647.00",1.78M,0.31%,1652.8400000000001,1624.635,BUY,1664.7
2025-05-29,1664.7,"1,670.00","1,675.50","1,655.60",2.37M,0.45%,1659.1799999999998,1629.4950000000001,BUY,1636.6
2025-05-30,1636.6,"1,664.70","1,664.70","1,627.30",4.41M,-1.69%,1656.86,1632.5,BUY,1631.5
2025-06-02,1631.5,"1,625.10","1,635.20","1,605.70",1.88M,-0.31%,1648.44,1635.645,BUY,1630.4
2025-06-03,1630.4,"1,646.90","1,651.70","1,617.00",2.38M,-0.07%,1644.1,1638.21,BUY,1626.1
2025-06-04,1626.1,"1,631.00","1,644.60","1,622.20",1.66M,-0.26%,1637.8600000000001,1641.35,WAIT,1632.4
2025-06-05,1632.4,"1,634.90","1,653.90","1,624.60",1.41M,0.39%,1631.4,1643.935,WAIT,1637.7
2025-06-06,1637.7,"1,631.20","1,639.80","1,622.00",1.26M,0.32%,1631.6200000000001,1647.35,WAIT,1648.3
2025-06-09,1648.3,"1,648.00","1,658.00","1,639.00",1.30M,0.65%,1634.98,1646.25,WAIT,1668.1
2025-06-10,1668.1,"1,653.30","1,684.90","1,649.00",3.06M,1.20%,1642.52,1648.675,WAIT,1721.9
2025-06-11,1721.9,"1,676.00","1,725.40","1,666.00",5.09M,3.23%,1661.6799999999998,1652.8849999999998,BUY,1701.2
2025-06-12,1701.2,"1,725.00","1,726.00","1,695.00",3.61M,-1.20%,1675.44,1653.145,BUY,1695.3
2025-06-13,1695.3,"1,666.00","1,711.00","1,664.60",1.99M,-0.35%,1686.9599999999998,1654.9149999999997,BUY,1723.0
2025-06-16,1723.0,"1,692.00","1,729.40","1,683.40",2.12M,1.63%,1701.9,1658.5849999999998,BUY,1729.6
2025-06-17,1729.6,"1,728.00","1,738.80","1,720.00",1.78M,0.38%,1714.2,1663.15,BUY,1715.9
2025-06-18,1715.9,"1,727.90","1,745.00","1,710.00",1.79M,-0.79%,1713.0,1666.345,BUY,1713.9
2025-06-19,1713.9,"1,719.70","1,719.70","1,697.20",2.51M,-0.12%,1715.5400000000002,1670.39,BUY,1739.9
2025-06-20,1739.9,"1,713.90","1,742.60","1,709.10",2.72M,1.52%,1724.4599999999998,1674.975,BUY,1703.2
2025-06-23,1703.2,"1,729.20","1,729.80","1,699.20",2.22M,-2.11%,1720.5,1676.455,BUY,1691.8
2025-06-24,1691.8,"1,719.90","1,732.60","1,689.20",3.60M,-0.67%,1712.94,1678.44,BUY,1717.1
2025-06-25,1717.1,"1,702.00","1,720.70","1,701.00",1.31M,1.50%,1713.1799999999998,1681.4299999999998,BUY,1724.1
2025-06-26,1724.1,"1,710.00","1,726.90","1,702.70",2.97M,0.41%,1715.22,1684.4,BUY,1723.3
2025-06-27,1723.3,"1,735.00","1,752.50","1,710.80",6.48M,-0.05%,1711.9,1688.7350000000001,BUY,1728.6
2025-06-30,1728.6,"1,725.00","1,734.80","1,713.30",1.86M,0.31%,1716.98,1693.5900000000001,BUY,1718.3
2025-07-01,1718.3,"1,728.60","1,745.00","1,714.00",1.64M,-0.60%,1722.28,1697.985,BUY,1718.6
2025-07-02,1718.6,"1,722.00","1,738.50","1,711.00",2.07M,0.02%,1722.58,1702.6100000000001,BUY,1711.9
2025-07-03,1711.9,"1,716.00","1,730.50","1,706.50",1.84M,-0.39%,1720.1399999999999,1706.5849999999998,BUY,1725.9
2025-07-04,1725.9,"1,715.00","1,729.00","1,706.20",768.50K,0.82%,1720.6600000000003,1710.9950000000001,BUY,1710.4
2025-07-07,1710.4,"1,725.50","1,725.50","1,703.30",1.37M,-0.90%,1717.02,1714.1,BUY,1708.1
2025-07-08,1708.1,"1,700.00","1,718.90","1,687.50",2.14M,-0.13%,1714.98,1716.1,WAIT,1674.0
2025-07-09,1674.0,"1,710.00","1,714.30","1,671.00",2.89M,-2.00%,1706.0600000000002,1713.705,WAIT,1663.7
2025-07-10,1663.7,"1,675.00","1,679.90","1,649.00",2.74M,-0.62%,1696.42,1711.83,WAIT,1638.3
2025-07-11,1638.3,"1,643.20","1,655.50","1,630.00",2.55M,-1.53%,1678.9,1708.98,WAIT,1619.8
2025-07-14,1619.8,"1,640.00","1,642.40","1,607.00",3.33M,-1.13%,1660.78,1703.8200000000002,WAIT,1566.4
2025-07-15,1566.4,"1,590.00","1,621.40","1,550.00",14.69M,-3.30%,1632.44,1695.6600000000003,WAIT,1562.8
2025-07-16,1562.8,"1,566.40","1,574.00","1,560.00",5.22M,-0.23%,1610.2,1688.0049999999999,WAIT,1543.9
2025-07-17,1543.9,"1,563.60","1,566.80","1,542.40",4.97M,-1.21%,1586.24,1679.5049999999999,WAIT,1548.8
