Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,896.22,883.15,897.37,883.15,11.57M,1.64%,900.2439999999999,871.4145000000001,BUY,895.2
2025-04-03,895.2,888.34,899.76,886.29,11.25M,-0.11%,899.0780000000001,873.5305000000001,BUY,906.39
2025-04-04,906.39,904.25,918.69,903.30,33.54M,1.25%,898.274,876.7050000000002,BUY,876.67
2025-04-07,876.67,879.21,887.72,866.94,38.00M,-3.28%,891.242,878.3635,BUY,882.38
2025-04-08,882.38,880.31,888.79,872.98,35.56M,0.65%,891.372,880.356,BUY,880.31
2025-04-09,880.31,880.31,885.30,874.57,22.45M,-0.23%,888.1899999999999,882.2885,BUY,901.13
2025-04-11,901.13,885.17,907.44,885.17,32.78M,2.37%,889.376,885.3119999999999,BUY,930.14
2025-04-15,930.14,930.19,936.07,925.20,49.30M,3.22%,894.126,889.1465000000001,BUY,936.67
2025-04-16,936.67,939.56,939.56,927.94,19.14M,0.70%,906.1259999999999,893.421,BUY,950.98
2025-04-17,950.98,938.66,957.47,936.02,35.70M,1.53%,919.8459999999999,898.316,BUY,961.16
2025-04-21,961.16,959.61,972.93,952.63,34.25M,1.07%,936.016,903.1764999999999,BUY,978.42
2025-04-22,978.42,965.10,982.85,965.10,45.96M,1.80%,951.4739999999999,908.6029999999998,BUY,959.56
2025-04-23,959.56,986.99,986.99,957.87,30.57M,-1.93%,957.358,912.472,BUY,956.02
2025-04-24,956.02,952.63,959.56,950.19,25.93M,-0.37%,961.2279999999998,916.124,BUY,953.23
2025-04-25,953.23,960.01,964.10,943.55,18.50M,-0.29%,961.6779999999999,918.8969999999999,BUY,957.72
2025-04-28,957.72,953.23,962.46,951.83,13.92M,0.47%,960.99,921.36,BUY,952.03
2025-04-29,952.03,957.02,962.01,947.74,18.92M,-0.59%,955.7119999999999,923.9100000000001,BUY,960.11
2025-04-30,960.11,954.13,966.05,952.78,31.94M,0.85%,955.8219999999999,926.3950000000001,BUY,960.11
2025-05-02,960.11,962.51,968.54,957.62,22.81M,0.00%,956.64,928.809,BUY,966.0
2025-05-05,966.0,967.09,973.58,963.75,15.07M,0.61%,959.1940000000001,933.0225,BUY,963.45
2025-05-06,963.45,962.60,967.64,959.76,17.49M,-0.26%,960.3399999999999,936.384,BUY,970.39
2025-05-07,970.39,964.60,971.93,958.81,21.42M,0.72%,964.0120000000001,940.1434999999999,BUY,961.86
2025-05-08,961.86,974.97,974.97,957.17,34.80M,-0.88%,964.3619999999999,942.917,BUY,942.5
2025-05-09,942.5,952.68,957.12,941.06,17.19M,-2.01%,960.8400000000001,946.2085000000001,BUY,976.17
2025-05-12,976.17,956.42,977.52,953.78,18.62M,3.57%,962.874,950.8979999999999,BUY,958.91
2025-05-13,958.91,972.58,978.42,957.62,24.24M,-1.77%,961.966,954.8279999999999,BUY,952.93
2025-05-14,952.93,958.66,962.70,949.14,15.45M,-0.62%,958.4739999999999,957.418,BUY,964.5
2025-05-15,964.5,954.38,969.99,946.15,32.24M,1.21%,959.0020000000001,959.1360000000001,WAIT,964.95
2025-05-16,964.95,964.50,969.49,961.81,15.87M,0.05%,963.492,960.55,BUY,966.94
2025-05-19,966.94,966.10,970.09,963.10,10.20M,0.21%,961.646,961.348,BUY,955.07
2025-05-20,955.07,961.66,964.90,954.13,23.88M,-1.23%,960.878,961.0435,WAIT,961.01
2025-05-21,961.01,961.11,971.03,958.17,15.13M,0.62%,962.494,960.173,BUY,957.57
2025-05-22,957.57,955.22,959.71,950.24,21.31M,-0.36%,961.108,960.0735000000001,BUY,964.4
2025-05-23,964.4,957.67,966.10,954.87,9.57M,0.71%,960.9979999999999,960.4925,BUY,967.69
2025-05-26,967.69,965.10,972.53,961.06,10.80M,0.34%,961.1479999999999,961.2155,WAIT,960.76
2025-05-27,960.76,963.40,971.58,955.77,26.16M,-0.72%,962.2860000000001,961.3675,BUY,959.36
2025-05-28,959.36,957.72,964.85,956.47,18.16M,-0.15%,961.9559999999999,961.734,BUY,961.36
2025-05-29,961.36,961.61,967.99,951.28,28.92M,0.21%,962.7139999999999,961.7965,BUY,970.04
2025-05-30,970.04,963.55,971.98,960.31,28.75M,0.90%,963.842,962.293,BUY,963.65
2025-06-02,963.65,962.65,965.60,951.63,14.67M,-0.66%,963.034,962.1754999999999,BUY,959.91
2025-06-03,959.91,966.59,973.58,957.62,24.38M,-0.39%,962.8639999999999,961.9984999999999,BUY,968.19
2025-06-04,968.19,958.12,969.24,958.07,12.96M,0.86%,964.6299999999999,961.8885,BUY,972.38
2025-06-05,972.38,971.58,977.02,967.69,22.26M,0.43%,966.8340000000001,962.4144999999999,BUY,986.89
2025-06-06,986.89,969.59,995.67,968.94,30.13M,1.49%,970.2040000000001,964.634,BUY,986.99
2025-06-09,986.99,995.02,995.02,985.50,13.20M,0.01%,974.8720000000001,965.175,BUY,980.21
2025-06-10,980.21,988.94,988.94,978.12,15.53M,-0.69%,978.932,966.24,BUY,972.78
2025-06-11,972.78,981.36,981.36,971.08,11.10M,-0.76%,979.85,967.2325000000001,BUY,969.29
2025-06-12,969.29,972.58,978.07,965.25,16.35M,-0.36%,979.232,967.472,BUY,956.42
2025-06-13,956.42,957.62,964.10,954.13,12.12M,-1.33%,973.1379999999999,967.0455,BUY,965.3
2025-06-16,965.3,959.61,967.04,957.67,16.51M,0.93%,968.8,966.9635000000001,BUY,962.41
2025-06-17,962.41,966.10,968.39,957.17,16.98M,-0.30%,965.24,967.3305,WAIT,964.55
2025-06-18,964.55,956.12,965.75,956.12,18.43M,0.22%,963.594,967.5074999999999,WAIT,965.25
2025-06-19,965.25,964.55,970.98,960.41,16.88M,0.07%,962.7860000000001,967.8915,WAIT,979.91
2025-06-20,979.91,963.40,982.51,963.40,32.90M,1.52%,967.484,968.667,WAIT,971.78
2025-06-23,971.78,971.78,976.52,968.49,11.74M,-0.83%,968.78,968.8715,WAIT,978.02
2025-06-24,978.02,980.06,987.04,975.37,22.63M,0.64%,971.902,969.7345000000001,BUY,987.64
2025-06-25,987.64,980.56,988.54,979.51,18.41M,0.98%,976.5199999999999,971.1485,BUY,1008.39
2025-06-26,1008.39,988.24,"1,011.03",987.54,50.08M,2.10%,985.1479999999999,973.5,BUY,1004.95
2025-06-27,1004.95,"1,004.00","1,007.39",994.23,28.21M,-0.34%,990.156,975.2455,BUY,998.27
2025-06-30,998.27,"1,003.25","1,004.40",995.27,13.65M,-0.67%,995.4540000000001,976.9765000000001,BUY,1003.55
2025-07-01,1003.55,"1,000.01","1,005.50",999.51,14.39M,0.53%,1000.5600000000001,979.1585000000001,BUY,990.54
2025-07-02,990.54,"1,007.44","1,007.44",986.50,18.88M,-1.30%,1001.14,980.2759999999998,BUY,991.08
2025-07-03,991.08,994.97,"1,001.51",989.69,16.86M,0.06%,997.6779999999999,981.211,BUY,992.18
2025-07-04,992.18,991.08,999.26,987.54,7.86M,0.11%,995.124,981.4754999999999,BUY,991.23
2025-07-07,991.23,992.03,996.72,989.44,11.35M,-0.10%,993.716,981.6875,BUY,998.22
2025-07-08,998.22,986.05,"1,000.01",986.05,15.22M,0.70%,992.65,982.5880000000001,BUY,1003.1
2025-07-09,1003.1,"1,001.01","1,004.40",996.57,13.86M,0.49%,995.1619999999999,984.1039999999999,BUY,1000.61
2025-07-10,1000.61,"1,005.50","1,006.00",997.52,17.03M,-0.25%,997.068,985.6700000000001,BUY,989.39
2025-07-11,989.39,996.52,999.91,987.99,12.52M,-1.12%,996.51,987.3185,BUY,989.04
2025-07-14,989.04,989.04,991.88,982.85,13.09M,-0.04%,996.0720000000001,988.5055,BUY,995.27
2025-07-15,995.27,984.05,999.31,984.05,14.50M,0.63%,995.482,990.1485,BUY,995.67
2025-07-16,995.67,"1,006.50","1,008.84",993.83,17.99M,0.04%,993.9959999999999,991.7045,BUY,990.98
2025-07-17,990.98,999.51,999.91,988.89,22.53M,-0.47%,992.0699999999999,992.991,WAIT,976.27
2025-07-18,976.27,990.98,996.02,974.08,16.13M,-1.48%,989.4459999999999,992.809,WAIT,997.77
2025-07-21,997.77,986.65,998.52,985.80,22.31M,2.20%,991.192,994.1084999999999,WAIT,1001.06
2025-07-22,1001.06,"1,004.05","1,006.50",999.01,14.84M,0.33%,992.35,995.2605,WAIT,1009.64
2025-07-23,1009.64,"1,003.00","1,012.38",999.01,13.63M,0.86%,995.1439999999999,996.3605,WAIT,1004.6
2025-07-24,1004.6,"1,016.32","1,016.32","1,001.71",19.11M,-0.50%,997.868,996.1709999999999,BUY,1002.3
2025-07-25,1002.3,"1,007.50","1,007.50",999.50,9.31M,-0.23%,1003.074,996.0384999999999,BUY,1004.25
2025-07-28,1004.25,"1,001.50","1,010.70","1,000.25",12.06M,0.19%,1004.3699999999999,996.3374999999999,BUY,1010.8
2025-07-29,1010.8,999.95,"1,013.25",998.15,19.90M,0.65%,1006.318,996.7,BUY,1012.9
2025-07-30,1012.9,"1,014.00","1,016.30","1,008.50",15.15M,0.21%,1006.97,997.818,BUY,1009.1
2025-07-31,1009.1,"1,007.30","1,015.70","1,004.00",22.18M,-0.38%,1007.8700000000001,998.719,BUY,1006.1
2025-08-01,1006.1,"1,007.00","1,014.15","1,004.65",11.32M,-0.30%,1008.6299999999999,999.415,BUY,996.0
2025-08-04,996.0,"1,005.05","1,009.25",994.05,13.93M,-1.00%,1006.9799999999999,999.6535,BUY,988.8
2025-08-05,988.8,993.25,997.20,982.75,23.98M,-0.72%,1002.5799999999999,999.1824999999999,BUY,992.65
2025-08-06,992.65,985.55,994.00,985.00,14.08M,0.39%,998.53,998.6600000000001,WAIT,997.7
2025-08-07,997.7,990.05,"1,000.80",988.40,13.08M,0.51%,996.25,998.5145,WAIT,986.95
2025-08-08,986.95,993.55,996.40,985.00,13.90M,-1.08%,992.4199999999998,998.3924999999999,WAIT,997.8
2025-08-11,997.8,987.95,998.80,986.55,9.11M,1.10%,992.78,998.8305,WAIT,984.95
2025-08-12,984.95,995.95,998.00,983.75,12.94M,-1.29%,992.01,998.3144999999998,WAIT,990.15
2025-08-13,990.15,997.00,997.00,984.55,13.58M,0.53%,991.51,998.0385,WAIT,995.55
2025-08-14,995.55,989.00,998.00,985.60,17.51M,0.55%,991.0799999999999,998.267,WAIT,1001.8
2025-08-18,1001.8,"1,005.00","1,013.30",997.80,19.28M,0.63%,994.05,999.5435,WAIT,995.55
2025-08-19,995.55,999.15,"1,003.05",993.35,12.35M,-0.62%,993.6,999.4325000000001,WAIT,994.1
2025-08-20,994.1,993.50,996.00,989.50,9.95M,-0.15%,995.43,999.0844999999999,WAIT,995.6
2025-08-21,995.6,998.75,998.75,991.60,12.44M,0.15%,996.5200000000001,998.3824999999999,WAIT,982.3
2025-08-22,982.3,994.95,998.00,978.55,19.83M,-1.34%,993.8700000000001,997.2675000000002,WAIT,982.05
2025-08-25,982.05,980.10,988.70,978.50,17.52M,-0.03%,989.9199999999998,996.2550000000001,WAIT,973.4
2025-08-26,973.4,979.50,985.70,968.00,16.92M,-0.88%,985.49,994.7125,WAIT,957.8
2025-08-28,957.8,967.00,972.20,955.00,25.44M,-1.60%,978.2299999999999,992.0625,WAIT,951.6
2025-08-29,951.6,954.00,963.30,950.10,14.82M,-0.65%,969.43,988.9975000000001,WAIT,950.6
2025-09-01,950.6,949.60,957.45,946.35,20.18M,-0.11%,963.0899999999999,986.0724999999999,WAIT,944.5
2025-09-02,944.5,951.00,954.80,944.00,14.20M,-0.64%,955.5799999999999,982.9925,WAIT,954.45
2025-09-03,954.45,945.00,956.30,940.00,16.08M,1.05%,951.79,980.915,WAIT,961.25
2025-09-04,961.25,960.20,965.70,956.25,17.60M,0.71%,952.4799999999999,979.5375,WAIT,963.4
2025-09-05,963.4,967.50,967.50,954.05,11.60M,0.22%,954.8399999999999,978.075,WAIT,966.0
2025-09-08,966.0,969.00,973.15,960.45,11.71M,0.27%,957.9200000000001,976.49,WAIT,965.15
2025-09-09,965.15,974.00,974.40,962.70,13.99M,-0.09%,962.05,975.4,WAIT,965.9
2025-09-10,965.9,973.90,973.90,961.70,18.09M,0.08%,964.3399999999999,973.805,WAIT,967.8
2025-09-11,967.8,960.30,969.25,959.90,15.11M,0.20%,965.65,972.9475,WAIT,967.3
2025-09-12,967.3,969.90,970.75,962.25,14.36M,-0.05%,966.43,971.805,WAIT,967.05
2025-09-15,967.05,969.60,972.35,965.00,14.49M,-0.03%,966.64,970.3800000000001,WAIT,966.85
2025-09-16,966.85,961.20,969.35,961.20,18.66M,-0.02%,966.9799999999999,968.6325,WAIT,966.5
2025-09-17,966.5,965.15,974.40,964.35,17.36M,-0.04%,967.1,967.18,WAIT,976.9
2025-09-18,976.9,973.30,979.65,969.25,17.79M,1.08%,968.9199999999998,966.32,BUY,966.9
2025-09-19,966.9,974.90,976.70,962.10,31.24M,-1.02%,968.8399999999999,964.885,BUY,964.2
2025-09-22,964.2,964.00,971.20,961.95,10.85M,-0.28%,968.2699999999999,963.9799999999999,BUY,957.2
2025-09-23,957.2,967.00,968.20,955.50,21.02M,-0.73%,966.3399999999999,962.7375,BUY,951.05
2025-09-24,951.05,952.20,956.45,943.00,15.12M,-0.64%,963.25,961.6200000000001,BUY,949.85
2025-09-25,949.85,952.50,958.00,947.40,31.41M,-0.13%,957.8400000000001,961.2224999999999,WAIT,945.05
2025-09-26,945.05,945.10,951.45,941.30,14.87M,-0.51%,953.47,960.8950000000001,WAIT,950.3
2025-09-29,950.3,946.05,956.80,939.10,32.40M,0.56%,950.6899999999999,960.8800000000001,WAIT,951.0
2025-09-30,951.0,958.05,960.00,946.30,28.30M,0.07%,949.45,961.2050000000002,WAIT,965.25
2025-10-01,965.25,952.70,969.60,946.00,25.35M,1.50%,952.29,961.7450000000001,WAIT,965.15
2025-10-03,965.15,952.00,966.75,952.00,26.66M,-0.01%,955.35,961.9399999999999,WAIT,973.45
2025-10-06,973.45,971.90,977.40,962.00,18.54M,0.86%,961.03,962.4424999999999,WAIT,982.5
2025-10-07,982.5,974.00,989.85,971.00,25.54M,0.93%,967.47,963.2674999999999,BUY,978.7
2025-10-08,978.7,976.00,985.90,974.55,15.94M,-0.39%,973.01,963.945,BUY,977.1
