Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,2237.9,"2,243.70","2,243.70","2,190.05",1.35M,0.18%,2244.2400000000002,2219.685,BUY,2244.55
2025-04-03,2244.55,"2,225.45","2,252.90","2,220.60",1.31M,0.30%,2243.96,2224.045,BUY,2244.55
2025-04-04,2244.55,"2,230.00","2,267.05","2,222.00",1.12M,0.00%,2243.94,2227.75,BUY,2249.4
2025-04-07,2249.4,"2,150.00","2,261.60","2,150.00",3.44M,0.22%,2242.05,2229.2725,BUY,2289.25
2025-04-08,2289.25,"2,268.30","2,306.20","2,252.35",2.77M,1.77%,2253.13,2233.5074999999997,BUY,2350.0
2025-04-09,2350.0,"2,293.95","2,354.15","2,289.50",2.99M,2.65%,2275.55,2238.62,BUY,2366.15
2025-04-11,2366.15,"2,394.60","2,394.85","2,344.35",3.84M,0.69%,2299.87,2246.08,BUY,2361.5
2025-04-15,2361.5,"2,400.00","2,400.00","2,345.20",3.04M,-0.20%,2323.2599999999998,2254.5099999999998,BUY,2366.6
2025-04-16,2366.6,"2,351.00","2,376.00","2,351.00",1.13M,0.22%,2346.7,2264.1,BUY,2375.0
2025-04-17,2375.0,"2,357.10","2,379.90","2,343.10",1.96M,0.35%,2363.85,2274.2875,BUY,2351.0
2025-04-21,2351.0,"2,368.10","2,372.40","2,348.80",1.48M,-1.01%,2364.05,2281.7675,BUY,2398.7
2025-04-22,2398.7,"2,370.00","2,406.00","2,355.10",2.35M,2.03%,2370.56,2291.7,BUY,2423.8
2025-04-23,2423.8,"2,410.00","2,438.00","2,393.40",2.23M,1.05%,2383.02,2300.7699999999995,BUY,2325.3
2025-04-24,2325.3,"2,423.80","2,487.40","2,317.10",7.07M,-4.06%,2374.7599999999998,2304.725,BUY,2332.2
2025-04-25,2332.2,"2,331.90","2,341.90","2,294.40",2.86M,0.30%,2366.2,2308.525,BUY,2318.6
2025-04-28,2318.6,"2,345.00","2,349.00","2,315.00",1.56M,-0.58%,2359.72,2310.8900000000003,BUY,2321.7
