Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,1331.25,"1,322.15","1,337.95","1,322.15",8.04M,0.97%,1334.1200000000001,1287.1075,BUY,1329.55
2025-04-03,1329.55,"1,321.95","1,333.00","1,321.25",4.59M,-0.13%,1332.85,1293.065,BUY,1335.3
2025-04-04,1335.3,"1,329.55","1,338.55","1,322.10",8.65M,0.43%,1332.58,1299.045,BUY,1287.55
2025-04-07,1287.55,"1,295.25","1,325.00","1,265.00",19.19M,-3.58%,1320.42,1302.52,BUY,1299.9
2025-04-08,1299.9,"1,299.85","1,310.05","1,287.35",13.09M,0.96%,1316.7099999999998,1306.7875,BUY,1300.8
2025-04-09,1300.8,"1,304.95","1,305.10","1,284.50",13.01M,0.07%,1310.62,1311.085,WAIT,1311.65
2025-04-11,1311.65,"1,305.10","1,325.00","1,305.10",13.06M,0.83%,1307.0400000000002,1314.3975,WAIT,1350.2
2025-04-15,1350.2,"1,351.00","1,354.30","1,336.20",15.20M,2.94%,1310.02,1319.7099999999998,WAIT,1356.4
2025-04-16,1356.4,"1,357.00","1,359.70","1,342.90",14.04M,0.46%,1323.79,1325.0275,WAIT,1406.7
2025-04-17,1406.7,"1,362.00","1,408.90","1,360.10",17.49M,3.71%,1345.15,1331.9125,BUY,1409.8
2025-04-21,1409.8,"1,436.00","1,436.00","1,404.70",16.88M,0.22%,1366.95,1336.91,BUY,1416.5
2025-04-22,1416.5,"1,412.80","1,418.80","1,398.90",16.14M,0.48%,1387.92,1342.08,BUY,1424.4
2025-04-23,1424.4,"1,429.00","1,429.90","1,411.30",13.99M,0.56%,1402.76,1347.2150000000001,BUY,1402.7
2025-04-24,1402.7,"1,416.30","1,421.20","1,398.80",15.68M,-1.52%,1412.02,1350.1950000000002,BUY,1404.8
2025-04-25,1404.8,"1,410.00","1,414.80","1,388.40",11.71M,0.15%,1411.6399999999999,1352.5275000000001,BUY,1428.8
2025-04-28,1428.8,"1,405.60","1,435.00","1,403.80",10.95M,1.71%,1415.44,1356.7825,BUY,1429.8
2025-04-29,1429.8,"1,428.80","1,438.30","1,422.60",10.79M,0.07%,1418.1,1361.4775,BUY,1427.0
2025-04-30,1427.0,"1,433.00","1,433.70","1,400.00",14.19M,-0.20%,1418.62,1365.9950000000001,BUY,1432.4
2025-05-02,1432.4,"1,426.90","1,446.60","1,424.60",10.76M,0.38%,1424.56,1370.1975,BUY,1429.4
2025-05-05,1429.4,"1,440.00","1,446.80","1,426.00",4.57M,-0.21%,1429.48,1375.745,BUY,1431.6
2025-05-06,1431.6,"1,429.00","1,433.70","1,420.40",6.30M,0.15%,1430.0400000000002,1380.7625,BUY,1435.4
2025-05-07,1435.4,"1,425.00","1,442.00","1,421.00",10.48M,0.27%,1431.16,1386.0549999999998,BUY,1435.5
2025-05-08,1435.5,"1,438.60","1,448.90","1,426.10",15.31M,0.01%,1432.8600000000001,1391.065,BUY,1388.9
2025-05-09,1388.9,"1,415.20","1,419.90","1,387.00",13.49M,-3.25%,1424.16,1396.1325000000002,BUY,1448.5
2025-05-12,1448.5,"1,409.40","1,453.00","1,404.00",9.93M,4.29%,1427.98,1403.5625,BUY,1430.6
2025-05-13,1430.6,"1,440.10","1,447.90","1,427.40",12.48M,-1.24%,1427.78,1410.0525,BUY,1426.2
2025-05-14,1426.2,"1,429.90","1,440.70","1,417.30",8.03M,-0.31%,1425.94,1415.78,BUY,1450.8
2025-05-15,1450.8,"1,425.90","1,456.50","1,415.50",18.21M,1.72%,1429.0,1420.81,BUY,1454.0
2025-05-16,1454.0,"1,453.30","1,458.70","1,447.00",6.44M,0.22%,1442.02,1425.69,BUY,1449.0
2025-05-19,1449.0,"1,446.50","1,459.70","1,443.80",6.01M,-0.34%,1442.12,1427.8049999999998,BUY,1438.2
2025-05-20,1438.2,"1,450.20","1,459.00","1,435.50",11.35M,-0.75%,1443.64,1429.225,BUY,1444.7
2025-05-21,1444.7,"1,442.90","1,451.30","1,438.50",5.51M,0.45%,1447.34,1430.635,BUY,1442.1
2025-05-22,1442.1,"1,441.10","1,445.30","1,427.80",7.25M,-0.18%,1445.6,1431.52,BUY,1449.8
2025-05-23,1449.8,"1,442.20","1,451.80","1,434.40",5.20M,0.53%,1444.76,1433.875,BUY,1460.6
2025-05-26,1460.6,"1,458.00","1,471.60","1,455.00",5.61M,0.74%,1447.08,1436.665,BUY,1446.4
2025-05-27,1446.4,"1,452.50","1,463.00","1,435.70",14.84M,-0.97%,1448.7199999999998,1437.545,BUY,1453.8
2025-05-28,1453.8,"1,447.60","1,458.00","1,442.50",8.62M,0.51%,1450.54,1438.7450000000001,BUY,1456.5
2025-05-29,1456.5,"1,456.60","1,462.90","1,445.00",15.55M,0.19%,1453.42,1440.22,BUY,1445.8
2025-05-30,1445.8,"1,459.90","1,460.90","1,444.30",11.80M,-0.73%,1452.6200000000001,1440.8899999999999,BUY,1450.5
2025-06-02,1450.5,"1,442.00","1,460.00","1,432.80",9.46M,0.33%,1450.6,1441.9450000000002,BUY,1437.9
2025-06-03,1437.9,"1,454.90","1,455.00","1,432.00",11.17M,-0.87%,1448.9,1442.2599999999998,BUY,1431.0
2025-06-04,1431.0,"1,437.40","1,440.10","1,426.40",8.03M,-0.48%,1444.34,1442.0400000000002,BUY,1454.8
2025-06-05,1454.8,"1,430.90","1,459.00","1,427.30",11.39M,1.66%,1444.0,1443.005,BUY,1459.7
2025-06-06,1459.7,"1,448.60","1,461.40","1,442.10",11.58M,0.34%,1446.7800000000002,1446.545,BUY,1434.8
2025-06-09,1434.8,"1,465.00","1,466.80","1,433.40",11.02M,-1.71%,1443.6399999999999,1445.8600000000001,WAIT,1422.9
2025-06-10,1422.9,"1,439.00","1,441.70","1,416.50",12.91M,-0.83%,1440.6399999999999,1445.475,WAIT,1431.0
2025-06-11,1431.0,"1,421.80","1,434.50","1,418.60",7.14M,0.57%,1440.6399999999999,1445.715,WAIT,1425.2
2025-06-12,1425.2,"1,430.50","1,436.50","1,420.00",7.95M,-0.41%,1434.72,1444.435,WAIT,1416.1
2025-06-13,1416.1,"1,403.60","1,421.50","1,403.60",7.57M,-0.64%,1426.0,1442.5400000000002,WAIT,1426.9
2025-06-16,1426.9,"1,416.60","1,429.00","1,414.20",5.45M,0.76%,1424.42,1441.435,WAIT,1423.2
2025-06-17,1423.2,"1,426.90","1,429.80","1,417.80",6.97M,-0.26%,1424.48,1440.685,WAIT,1412.6
2025-06-18,1412.6,"1,417.00","1,432.00","1,410.20",6.75M,-0.74%,1420.8,1439.08,WAIT,1411.3
2025-06-19,1411.3,"1,408.00","1,414.70","1,404.70",8.85M,-0.09%,1418.02,1437.5400000000002,WAIT,1427.1
2025-06-20,1427.1,"1,411.30","1,433.30","1,410.20",12.41M,1.12%,1420.22,1436.405,WAIT,1420.1
2025-06-23,1420.1,"1,417.00","1,423.20","1,411.90",5.51M,-0.49%,1418.8600000000001,1434.3799999999999,WAIT,1424.1
2025-06-24,1424.1,"1,427.70","1,435.90","1,416.50",11.19M,0.28%,1419.0399999999997,1433.2649999999999,WAIT,1425.8
2025-06-25,1425.8,"1,422.00","1,428.90","1,415.30",7.53M,0.12%,1421.6799999999998,1431.865,WAIT,1439.1
2025-06-26,1439.1,"1,424.80","1,447.50","1,421.70",13.62M,0.93%,1427.24,1430.995,WAIT,1462.2
2025-06-27,1462.2,"1,438.90","1,466.00","1,437.10",22.53M,1.61%,1434.26,1431.815,BUY,1445.8
2025-06-30,1445.8,"1,461.80","1,461.90","1,442.30",6.33M,-1.12%,1439.4,1431.58,BUY,1432.0
2025-07-01,1432.0,"1,445.70","1,447.60","1,429.60",7.76M,-0.95%,1440.98,1431.2849999999999,BUY,1427.8
