Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,1550.15,"1,535.20","1,555.65","1,535.20",6.19M,1.55%,1570.06,1620.0475000000001,WAIT,1496.5
2025-04-03,1496.5,"1,534.65","1,534.65","1,485.05",10.46M,-3.46%,1549.47,1610.4575,WAIT,1451.65
2025-04-04,1451.65,"1,460.50","1,472.00","1,448.00",9.59M,-3.00%,1519.09,1597.465,WAIT,1396.75
2025-04-07,1396.75,"1,352.00","1,405.90","1,307.00",21.72M,-3.78%,1484.31,1581.5099999999998,WAIT,1428.8
2025-04-08,1428.8,"1,431.00","1,456.50","1,415.00",12.81M,2.29%,1464.77,1568.65,WAIT,1403.7
2025-04-09,1403.7,"1,405.05","1,409.45","1,381.90",8.55M,-1.76%,1435.48,1553.7625,WAIT,1409.45
2025-04-11,1409.45,"1,411.25","1,438.80","1,397.05",12.57M,0.41%,1418.0700000000002,1541.155,WAIT,1426.0
2025-04-15,1426.0,"1,445.60","1,447.70","1,409.00",10.18M,1.17%,1412.94,1532.9125,WAIT,1413.1
2025-04-16,1413.1,"1,425.00","1,427.50","1,396.80",12.02M,-0.90%,1416.21,1524.575,WAIT,1419.5
2025-04-17,1419.5,"1,398.00","1,429.80","1,378.30",14.26M,0.45%,1414.35,1516.0475,WAIT,1451.0
2025-04-21,1451.0,"1,410.00","1,471.80","1,410.00",15.65M,2.22%,1423.81,1508.1299999999999,WAIT,1422.8
2025-04-22,1422.8,"1,440.00","1,440.00","1,419.30",9.40M,-1.94%,1426.48,1499.9425,WAIT,1474.9
2025-04-23,1474.9,"1,446.00","1,487.80","1,439.60",11.14M,3.66%,1436.2599999999998,1492.91,WAIT,1471.4
2025-04-24,1471.4,"1,469.90","1,482.90","1,461.50",7.11M,-0.24%,1447.92,1486.8525,WAIT,1480.2
2025-04-25,1480.2,"1,475.50","1,501.70","1,463.50",8.33M,0.60%,1460.06,1481.225,WAIT,1482.1
2025-04-28,1482.1,"1,480.20","1,489.60","1,465.30",5.89M,0.13%,1466.28,1473.9075,WAIT,1497.5
2025-04-29,1497.5,"1,482.00","1,509.80","1,474.10",8.06M,1.04%,1481.22,1468.81,BUY,1500.1
2025-04-30,1500.1,"1,496.80","1,508.80","1,482.60",7.70M,0.17%,1486.26,1463.6375,BUY,1506.8
2025-05-02,1506.8,"1,499.70","1,523.20","1,496.20",8.73M,0.45%,1493.34,1460.4450000000002,BUY,1508.6
2025-05-05,1508.6,"1,515.00","1,523.00","1,502.80",4.28M,0.12%,1499.02,1459.55,BUY,1511.5
2025-05-06,1511.5,"1,506.00","1,515.60","1,499.10",4.27M,0.19%,1504.9,1457.6174999999998,BUY,1508.3
2025-05-07,1508.3,"1,500.00","1,518.80","1,496.60",5.69M,-0.21%,1507.06,1458.2075,BUY,1511.4
2025-05-08,1511.4,"1,508.00","1,516.50","1,501.20",8.42M,0.21%,1509.3200000000002,1461.1950000000002,BUY,1507.6
2025-05-09,1507.6,"1,500.70","1,511.40","1,494.10",4.48M,-0.25%,1509.48,1466.7375,BUY,1626.9
2025-05-12,1626.9,"1,537.00","1,632.00","1,532.00",11.37M,7.91%,1533.14,1476.6425,BUY,1568.6
2025-05-13,1568.6,"1,609.00","1,612.20","1,564.60",12.85M,-3.58%,1544.56,1484.8875,BUY,1592.4
2025-05-14,1592.4,"1,574.00","1,595.00","1,569.50",4.87M,1.52%,1561.3799999999999,1494.035,BUY,1613.0
2025-05-15,1613.0,"1,589.80","1,618.60","1,571.00",11.15M,1.29%,1581.7,1503.385,BUY,1589.9
2025-05-16,1589.9,"1,612.60","1,612.60","1,581.50",4.58M,-1.43%,1598.16,1512.225,BUY,1559.8
2025-05-19,1559.8,"1,576.50","1,585.00","1,555.70",8.86M,-1.89%,1584.74,1519.24,BUY,1560.6
2025-05-20,1560.6,"1,570.00","1,583.50","1,558.00",7.14M,0.05%,1583.1399999999999,1524.72,BUY,1568.5
2025-05-21,1568.5,"1,567.90","1,571.00","1,552.10",4.16M,0.51%,1578.36,1532.0049999999999,BUY,1547.5
2025-05-22,1547.5,"1,555.50","1,560.80","1,540.00",6.16M,-1.34%,1565.2599999999998,1535.635,BUY,1564.8
2025-05-23,1564.8,"1,550.00","1,587.20","1,550.00",5.04M,1.12%,1560.24,1540.3049999999998,BUY,1580.5
2025-05-26,1580.5,"1,566.60","1,583.80","1,562.70",3.17M,1.00%,1564.3799999999999,1545.32,BUY,1570.1
2025-05-27,1570.1,"1,579.90","1,582.90","1,556.40",7.78M,-0.66%,1566.28,1549.72,BUY,1571.8
2025-05-28,1571.8,"1,581.00","1,587.70","1,570.00",3.62M,0.11%,1566.94,1553.435,BUY,1585.6
2025-05-29,1585.6,"1,589.00","1,608.90","1,576.60",8.61M,0.88%,1574.56,1557.7099999999998,BUY,1562.7
2025-05-30,1562.7,"1,571.00","1,572.00","1,555.10",13.15M,-1.44%,1574.1399999999999,1560.5049999999999,BUY,1553.8
2025-06-02,1553.8,"1,560.00","1,560.00","1,539.00",4.37M,-0.57%,1568.8,1562.7649999999999,BUY,1543.0
2025-06-03,1543.0,"1,559.00","1,567.30","1,535.60",6.85M,-0.70%,1563.3799999999999,1564.34,WAIT,1551.2
2025-06-04,1551.2,"1,543.00","1,557.30","1,541.40",4.55M,0.53%,1559.26,1566.4850000000001,WAIT,1554.3
2025-06-05,1554.3,"1,547.90","1,567.70","1,541.60",6.95M,0.20%,1553.0,1568.6299999999999,WAIT,1563.8
2025-06-06,1563.8,"1,554.70","1,568.90","1,543.10",3.96M,0.61%,1553.22,1571.44,WAIT,1572.9
