Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,409.05,407.05,410.0,406.05,8.00M,0.59%,408.45,406.885,BUY,409.4
2025-04-03,409.4,407.05,410.2,406.7,7.06M,0.09%,408.86,407.6125,BUY,409.7
2025-04-04,409.7,407.5,412.8,404.5,18.63M,0.07%,408.90999999999997,407.845,BUY,406.05
2025-04-07,406.05,390.15,408.1,390.15,26.76M,-0.89%,408.16999999999996,407.8625,BUY,412.55
2025-04-08,412.55,411.9,415.8,407.25,18.60M,1.60%,409.35,408.29499999999996,BUY,416.3
2025-04-09,416.3,413.0,419.05,411.25,21.79M,0.91%,410.8,408.86,BUY,421.55
2025-04-11,421.55,420.0,422.45,417.0,8.94M,1.26%,413.23,409.62749999999994,BUY,420.4
2025-04-15,420.4,429.2,429.2,419.0,11.69M,-0.27%,415.37,410.0275,BUY,424.45
2025-04-16,424.45,418.0,426.05,418.0,13.03M,0.96%,419.05,410.64750000000004,BUY,427.25
2025-04-17,427.25,425.0,427.85,421.55,22.41M,0.66%,421.98999999999995,411.6125,BUY,422.85
2025-04-21,422.85,428.05,429.1,421.5,27.39M,-1.03%,423.3,412.3,BUY,433.6
2025-04-22,433.6,425.95,434.8,423.55,32.03M,2.54%,425.71000000000004,413.8275,BUY,430.85
2025-04-23,430.85,436.2,437.45,428.85,19.57M,-0.63%,427.8,415.1725,BUY,430.05
2025-04-24,430.05,431.85,436.05,429.3,26.06M,-0.19%,428.9200000000001,416.39750000000004,BUY,427.8
2025-04-25,427.8,430.05,432.7,423.3,22.94M,-0.52%,429.03000000000003,417.2425,BUY,428.8
2025-04-28,428.8,426.65,430.5,424.75,6.29M,0.23%,430.21999999999997,418.1925,BUY,426.0
2025-04-29,426.0,428.9,429.6,425.0,11.19M,-0.65%,428.7,419.125,BUY,425.8
2025-04-30,425.8,427.4,429.3,422.0,10.03M,-0.05%,427.68999999999994,419.9425,BUY,430.25
2025-05-02,430.25,424.1,431.5,424.1,12.77M,1.05%,427.73,420.96750000000003,BUY,436.95
2025-05-05,436.95,430.25,438.5,429.35,11.53M,1.56%,429.56000000000006,422.48249999999996,BUY,435.55
2025-05-06,435.55,437.5,439.65,433.0,15.03M,-0.32%,430.90999999999997,423.8075,BUY,431.15
2025-05-07,431.15,433.4,435.0,429.7,9.71M,-1.01%,431.93999999999994,424.895,BUY,430.6
2025-05-08,430.6,429.0,431.5,423.55,19.94M,-0.13%,432.9,425.93999999999994,BUY,423.55
2025-05-09,423.55,425.95,429.15,423.0,8.23M,-1.64%,431.56000000000006,426.81499999999994,BUY,435.5
2025-05-12,435.5,429.5,436.2,428.15,8.03M,2.82%,431.2700000000001,427.9625,BUY,427.9
2025-05-13,427.9,434.9,437.95,425.35,14.98M,-1.75%,429.73999999999995,428.5425,BUY,429.1
2025-05-14,429.1,427.1,431.85,425.9,9.56M,0.28%,429.33000000000004,428.91999999999996,BUY,432.65
2025-05-15,432.65,429.1,435.4,426.0,24.26M,0.83%,429.73999999999995,429.53249999999997,BUY,435.7
2025-05-16,435.7,434.9,436.2,432.1,16.40M,0.70%,432.16999999999996,430.09499999999997,BUY,435.35
2025-05-19,435.35,435.0,438.5,432.65,7.54M,-0.08%,432.14,430.5,BUY,434.9
2025-05-20,434.9,437.0,440.8,432.9,9.87M,-0.10%,433.53999999999996,431.1025000000001,BUY,433.0
2025-05-21,433.0,436.6,438.2,432.0,5.78M,-0.44%,434.32,431.07250000000005,BUY,426.1
2025-05-22,426.1,433.0,433.0,422.9,19.45M,-1.59%,433.00999999999993,430.83500000000004,BUY,436.3
2025-05-23,436.3,434.0,439.0,429.0,18.54M,2.39%,433.13,431.14750000000004,BUY,442.9
2025-05-26,442.9,438.25,443.55,436.75,13.11M,1.51%,434.64,431.9025,BUY,433.9
2025-05-27,433.9,442.9,444.2,430.85,26.99M,-2.03%,434.43999999999994,432.15749999999997,BUY,420.2
2025-05-28,420.2,417.7,422.6,413.0,431.85M,-3.16%,431.88,431.8675,BUY,418.75
2025-05-29,418.75,422.0,422.8,416.6,21.48M,-0.35%,430.40999999999997,431.51500000000004,WAIT,418.05
2025-05-30,418.05,419.1,420.05,416.4,30.66M,-0.17%,426.76000000000005,430.90500000000003,WAIT,419.3
2025-06-02,419.3,418.3,420.45,414.55,14.97M,0.30%,422.03999999999996,430.02250000000004,WAIT,416.95
2025-06-03,416.95,419.0,421.7,415.65,13.22M,-0.56%,418.65,429.09250000000003,WAIT,417.0
2025-06-04,417.0,417.15,419.0,415.95,12.60M,0.01%,418.01000000000005,428.38500000000005,WAIT,419.1
2025-06-05,419.1,418.5,420.95,415.75,13.21M,0.50%,418.08000000000004,427.80999999999995,WAIT,421.05
2025-06-06,421.05,420.3,421.3,419.0,8.77M,0.47%,418.68,427.68500000000006,WAIT,423.05
2025-06-09,423.05,422.0,423.6,420.5,10.47M,0.48%,419.43,427.0625,WAIT,427.0
2025-06-10,427.0,424.5,428.55,423.05,13.04M,0.93%,421.43999999999994,427.01750000000004,WAIT,426.15
2025-06-11,426.15,428.0,428.1,424.85,20.79M,-0.20%,423.27,426.87,WAIT,421.0
2025-06-12,421.0,427.0,427.2,419.55,18.51M,-1.21%,423.65,426.2875,WAIT,413.9
2025-06-13,413.9,415.0,419.35,413.5,17.87M,-1.69%,422.21999999999997,425.19750000000005,WAIT,418.2
2025-06-16,418.2,414.95,418.9,413.25,7.01M,1.04%,421.25,424.34,WAIT,417.4
2025-06-17,417.4,418.1,419.05,415.7,9.03M,-0.19%,419.33000000000004,423.465,WAIT,415.9
2025-06-18,415.9,417.0,418.45,414.9,8.04M,-0.36%,417.2799999999999,422.61,WAIT,416.0
2025-06-19,416.0,415.65,418.25,414.8,12.60M,0.02%,416.2799999999999,422.105,WAIT,418.55
2025-06-20,418.55,416.0,419.5,416.0,13.20M,0.61%,417.21000000000004,421.21750000000003,WAIT,413.9
2025-06-23,413.9,417.0,417.5,411.75,14.84M,-1.11%,416.35,419.76750000000004,WAIT,414.35
2025-06-24,414.35,416.9,420.65,413.75,16.69M,0.11%,415.73999999999995,418.78999999999996,WAIT,416.35
2025-06-25,416.35,416.4,418.15,415.1,9.95M,0.48%,415.83000000000004,418.5975,WAIT,420.3
2025-06-26,420.3,417.2,420.9,416.25,13.70M,0.95%,416.68999999999994,418.675,WAIT,418.65
2025-06-27,418.65,421.0,422.0,417.8,21.41M,-0.39%,416.71000000000004,418.70500000000004,WAIT,416.45
2025-06-30,416.45,419.8,420.75,415.8,12.32M,-0.53%,417.21999999999997,418.5625,WAIT,415.1
2025-07-01,415.1,417.0,418.85,414.9,13.67M,-0.32%,417.37,418.46999999999997,WAIT,412.95
2025-07-02,412.95,416.9,416.9,411.7,15.99M,-0.52%,416.69000000000005,418.26750000000004,WAIT,413.35
2025-07-03,413.35,414.0,416.0,411.25,14.19M,0.10%,415.3,417.98,WAIT,412.55
2025-07-04,412.55,414.9,415.0,411.75,8.26M,-0.19%,414.08000000000004,417.555,WAIT,416.15
2025-07-07,416.15,413.0,417.2,412.0,6.85M,0.87%,414.02,417.21000000000004,WAIT,417.2
2025-07-08,417.2,416.15,418.1,414.65,6.81M,0.25%,414.44000000000005,416.71999999999997,WAIT,419.45
2025-07-09,419.45,416.2,420.3,415.45,9.93M,0.54%,415.73999999999995,416.38500000000005,WAIT,416.85
2025-07-10,416.85,420.3,420.3,416.4,6.22M,-0.62%,416.43999999999994,416.17749999999995,BUY,416.8
2025-07-11,416.8,417.0,418.05,415.5,8.58M,-0.01%,417.28999999999996,416.32250000000005,BUY,419.4
2025-07-14,419.4,417.05,419.95,416.55,6.90M,0.62%,417.93999999999994,416.3825,BUY,422.1
2025-07-15,422.1,420.9,422.4,419.0,8.53M,0.64%,418.91999999999996,416.6175,BUY,424.6
2025-07-16,424.6,422.1,425.45,420.3,9.78M,0.59%,419.95,417.05250000000007,BUY,423.95
2025-07-17,423.95,425.8,425.9,423.0,7.24M,-0.15%,421.37000000000006,417.45,BUY,422.75
2025-07-18,422.75,425.2,425.2,420.1,6.73M,-0.28%,422.56000000000006,417.66,BUY,420.1
2025-07-21,420.1,422.0,422.75,418.4,4.82M,-0.63%,422.7,417.96999999999997,BUY,416.0
2025-07-22,416.0,420.1,420.4,415.2,9.87M,-0.98%,421.48,418.05249999999995,BUY,414.95
2025-07-23,414.95,417.1,417.9,414.0,12.20M,-0.25%,419.55,417.98249999999996,BUY,409.95
2025-07-24,409.95,415.85,415.85,409.45,9.01M,-1.20%,416.75,417.46500000000003,WAIT,409.4
2025-07-25,409.4,410.0,410.25,407.75,5.82M,-0.13%,414.08000000000004,417.00249999999994,WAIT,409.9
2025-07-28,409.9,410.8,410.85,408.6,8.12M,0.12%,412.03999999999996,416.675,WAIT,408.45
2025-07-29,408.45,410.0,411.4,408.0,6.81M,-0.35%,410.53000000000003,416.34250000000003,WAIT,407.6
2025-07-30,407.6,409.0,409.3,405.75,10.92M,-0.21%,409.06,416.075,WAIT,411.95
2025-07-31,411.95,405.95,414.0,405.55,19.36M,1.07%,409.46,416.005,WAIT,416.45
2025-08-01,416.45,412.4,419.35,411.8,14.32M,1.09%,410.87,416.2,WAIT,416.85
2025-08-04,416.85,420.2,422.5,415.1,18.35M,0.10%,412.26000000000005,416.23499999999996,WAIT,414.15
2025-08-05,414.15,417.2,417.95,413.0,8.50M,-0.65%,413.4,416.0825,WAIT,412.0
2025-08-06,412.0,414.15,415.0,410.5,9.08M,-0.52%,414.28000000000003,415.71000000000004,WAIT,413.6
2025-08-07,413.6,412.0,414.75,411.65,11.51M,0.39%,414.61,415.54749999999996,WAIT,414.5
2025-08-08,414.5,413.9,415.35,412.95,9.81M,0.22%,414.21999999999997,415.4325,WAIT,416.85
2025-08-11,416.85,414.5,417.0,414.0,8.51M,0.57%,414.21999999999997,415.305,WAIT,416.35
2025-08-12,416.35,417.0,419.8,415.3,13.64M,-0.12%,414.66,415.01750000000004,WAIT,414.1
2025-08-13,414.1,417.2,417.5,413.6,10.87M,-0.54%,415.08000000000004,414.4925,BUY,411.45
2025-08-14,411.45,414.25,415.05,411.0,9.58M,-0.64%,414.65,413.8675,BUY,406.3
2025-08-18,406.3,413.0,413.7,404.85,30.95M,-1.25%,413.01000000000005,413.04499999999996,WAIT,409.1
2025-08-19,409.1,406.35,409.4,404.5,16.68M,0.69%,411.46000000000004,412.495,WAIT,406.05
2025-08-20,406.05,409.1,410.25,405.45,18.19M,-0.75%,409.4,411.99750000000006,WAIT,405.55
