Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,2637.55,"2,631.10","2,660.00","2,625.30",2.24M,-0.01%,2683.3,2714.9,WAIT,2611.45
2025-04-03,2611.45,"2,607.75","2,652.40","2,600.25",2.36M,-0.99%,2657.1400000000003,2714.805,WAIT,2596.55
2025-04-04,2596.55,"2,614.95","2,631.50","2,557.05",3.60M,-0.57%,2629.85,2708.3025000000002,WAIT,2491.25
2025-04-07,2491.25,"2,425.00","2,524.65","2,425.00",3.94M,-4.06%,2594.94,2695.745,WAIT,2523.65
2025-04-08,2523.65,"2,510.00","2,550.00","2,454.00",4.25M,1.30%,2572.0899999999997,2685.5350000000003,WAIT,2523.1
2025-04-09,2523.1,"2,540.00","2,571.95","2,515.95",3.35M,-0.02%,2549.2,2676.56,WAIT,2580.35
2025-04-11,2580.35,"2,549.00","2,604.00","2,532.05",3.60M,2.27%,2542.98,2673.2974999999997,WAIT,2646.0
2025-04-15,2646.0,"2,606.00","2,690.00","2,606.00",3.29M,2.54%,2552.87,2672.9325,WAIT,2634.6
2025-04-16,2634.6,"2,660.00","2,665.00","2,618.30",3.07M,-0.43%,2581.54,2672.4875,WAIT,2679.4
2025-04-17,2679.4,"2,632.00","2,682.80","2,602.40",2.64M,1.70%,2612.69,2671.2,WAIT,2764.0
2025-04-21,2764.0,"2,699.90","2,774.00","2,665.90",3.12M,3.16%,2660.87,2669.83,WAIT,2817.1
2025-04-22,2817.1,"2,765.00","2,822.00","2,756.00",3.19M,1.92%,2708.22,2671.23,BUY,2917.8
2025-04-23,2917.8,"2,830.00","2,923.00","2,826.00",3.91M,3.57%,2762.58,2675.715,BUY,2901.4
2025-04-24,2901.4,"2,917.80","2,928.00","2,865.00",2.49M,-0.56%,2815.9399999999996,2680.6925,BUY,2864.2
2025-04-25,2864.2,"2,901.40","2,939.60","2,831.10",2.30M,-1.28%,2852.9,2685.1675,BUY,2930.6
2025-04-28,2930.6,"2,918.90","2,945.00","2,882.30",1.86M,2.32%,2886.22,2694.8975,BUY,2909.6
2025-04-29,2909.6,"2,950.00","2,969.50","2,901.80",2.05M,-0.72%,2904.7200000000003,2703.2650000000003,BUY,2928.8
2025-04-30,2928.8,"2,908.80","2,948.90","2,887.00",2.69M,0.66%,2906.92,2713.055,BUY,2926.2
2025-05-02,2926.2,"2,950.00","3,000.00","2,910.20",3.38M,-0.09%,2911.88,2726.075,BUY,3021.5
2025-05-05,3021.5,"2,948.90","3,044.00","2,937.70",4.05M,3.26%,2943.3399999999997,2745.255,BUY,3068.4
2025-05-06,3068.4,"3,150.60","3,159.70","3,056.00",5.68M,1.55%,2970.9,2766.7974999999997,BUY,3119.9
2025-05-07,3119.9,"3,021.90","3,125.00","3,021.90",2.94M,1.68%,3012.96,2792.2200000000003,BUY,3033.1
2025-05-08,3033.1,"3,127.40","3,137.00","3,008.50",3.32M,-2.78%,3033.8199999999997,2814.0474999999997,BUY,2982.1
2025-05-09,2982.1,"2,961.60","3,057.10","2,955.00",2.31M,-1.68%,3045.0,2838.59,BUY,3104.7
2025-05-12,3104.7,"3,044.70","3,112.20","3,033.70",2.17M,4.11%,3061.6400000000003,2867.6425,BUY,3053.8
2025-05-13,3053.8,"3,050.00","3,111.00","3,035.00",2.68M,-1.64%,3058.72,2894.1775000000002,BUY,3101.8
2025-05-14,3101.8,"3,037.50","3,110.00","3,018.00",2.24M,1.57%,3055.1,2920.25,BUY,3144.3
2025-05-15,3144.3,"3,085.00","3,170.70","3,073.00",3.59M,1.37%,3077.34,2945.165,BUY,3135.6
2025-05-16,3135.6,"3,135.00","3,149.50","3,115.00",2.27M,-0.28%,3108.04,2970.215,BUY,3128.0
2025-05-19,3128.0,"3,115.00","3,157.00","3,103.60",2.01M,-0.24%,3112.7,2992.645,BUY,3063.5
2025-05-20,3063.5,"3,128.20","3,135.30","3,049.10",2.67M,-2.06%,3114.6400000000003,3007.62,BUY,3090.7
2025-05-21,3090.7,"3,063.00","3,132.00","3,048.10",1.40M,0.89%,3112.4199999999996,3021.3,BUY,3006.3
2025-05-22,3006.3,"3,076.60","3,089.80","2,980.50",3.87M,-2.73%,3084.82,3025.725,BUY,3012.7
2025-05-23,3012.7,"3,020.00","3,030.80","2,984.20",1.83M,0.21%,3060.2400000000002,3031.29,BUY,3080.2
2025-05-26,3080.2,"3,038.00","3,101.00","3,027.70",2.16M,2.24%,3050.68,3042.09,BUY,3039.8
2025-05-27,3039.8,"3,080.20","3,085.00","3,014.60",2.60M,-1.31%,3045.94,3047.55,WAIT,2997.8
2025-05-28,2997.8,"3,039.70","3,044.80","2,993.00",1.49M,-1.38%,3027.3599999999997,3051.96,WAIT,3009.0
2025-05-29,3009.0,"2,999.00","3,028.90","2,987.20",2.09M,0.37%,3027.9,3055.9700000000003,WAIT,2976.8
2025-05-30,2976.8,"3,005.00","3,017.40","2,957.00",3.70M,-1.07%,3020.72,3058.5,WAIT,3025.9
2025-06-02,3025.9,"2,976.80","3,038.50","2,962.30",2.97M,1.65%,3009.86,3058.72,WAIT,3046.5
2025-06-03,3046.5,"3,042.00","3,064.80","3,027.00",3.20M,0.68%,3011.2,3057.625,WAIT,3053.4
2025-06-04,3053.4,"3,045.10","3,087.00","3,040.10",1.58M,0.23%,3022.32,3054.3,WAIT,3041.6
2025-06-05,3041.6,"3,078.00","3,095.00","2,994.80",3.50M,-0.39%,3028.84,3054.725,WAIT,3106.5
2025-06-06,3106.5,"3,041.60","3,112.90","3,027.00",2.03M,2.13%,3054.78,3060.9449999999997,WAIT,3087.4
2025-06-09,3087.4,"3,130.00","3,141.00","3,078.00",1.36M,-0.61%,3067.08,3060.08,BUY,3067.5
2025-06-10,3067.5,"3,102.00","3,106.90","3,059.80",1.79M,-0.64%,3071.2799999999997,3060.765,BUY,3080.7
2025-06-11,3080.7,"3,085.00","3,124.00","3,076.00",1.75M,0.43%,3076.7400000000002,3059.71,BUY,3019.2
2025-06-12,3019.2,"3,088.00","3,094.00","3,007.00",2.28M,-2.00%,3072.2599999999998,3053.455,BUY,3006.0
2025-06-13,3006.0,"2,932.00","3,018.50","2,932.00",2.00M,-0.44%,3052.16,3046.975,BUY,3023.6
