Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,11716.1,"11,481.10","11,732.00","11,410.05",452.99K,2.05%,11635.119999999999,11663.23,WAIT,11688.1
2025-04-03,11688.1,"11,630.50","11,802.95","11,611.05",326.62K,-0.24%,11625.880000000001,11666.8225,WAIT,11482.0
2025-04-04,11482.0,"11,600.00","11,630.00","11,330.00",355.79K,-1.76%,11577.89,11660.055,WAIT,11329.75
2025-04-07,11329.75,"11,105.60","11,358.50","11,059.45",602.35K,-1.33%,11539.41,11643.2225,WAIT,11458.9
2025-04-08,11458.9,"11,530.00","11,550.35","11,290.05",629.97K,1.14%,11534.97,11632.960000000001,WAIT,11457.4
2025-04-09,11457.4,"11,460.10","11,538.70","11,425.00",255.11K,-0.01%,11483.23,11626.5275,WAIT,11599.05
2025-04-11,11599.05,"11,480.35","11,678.75","11,480.00",231.42K,1.24%,11465.42,11624.1325,WAIT,11855.0
2025-04-15,11855.0,"11,790.00","11,940.00","11,680.00",458.59K,2.21%,11540.02,11634.877499999999,WAIT,11664.0
2025-04-16,11664.0,"11,768.00","11,768.00","11,615.00",470.49K,-1.61%,11606.869999999999,11642.3875,WAIT,11695.0
2025-04-17,11695.0,"11,664.00","11,728.00","11,525.00",302.15K,0.27%,11654.09,11649.4525,BUY,11745.0
2025-04-21,11745.0,"11,695.00","11,769.00","11,588.00",318.49K,0.43%,11711.609999999999,11650.975,BUY,11734.0
2025-04-22,11734.0,"11,770.00","11,788.00","11,615.00",516.75K,-0.09%,11738.6,11656.8975,BUY,11907.0
2025-04-23,11907.0,"11,799.00","11,971.00","11,729.00",493.84K,1.47%,11749.0,11665.7375,BUY,11894.0
2025-04-24,11894.0,"11,940.00","12,040.00","11,858.00",387.86K,-0.11%,11795.0,11673.797499999999,BUY,11698.0
2025-04-25,11698.0,"11,902.00","12,046.00","11,598.00",906.27K,-1.65%,11795.6,11662.585,BUY,11846.0
2025-04-28,11846.0,"11,428.00","11,896.00","11,289.00",457.30K,1.27%,11815.8,11661.439999999999,BUY,11841.0
2025-04-29,11841.0,"11,812.00","11,940.00","11,741.00",455.60K,-0.04%,11837.2,11666.775,BUY,12257.0
2025-04-30,12257.0,"11,825.00","12,325.00","11,800.00",967.25K,3.51%,11907.2,11693.5275,BUY,12406.0
2025-05-02,12406.0,"12,257.00","12,727.00","12,250.00",786.09K,1.22%,12009.6,11737.72,BUY,12458.0
2025-05-05,12458.0,"12,490.00","12,490.00","12,362.00",270.01K,0.42%,12161.6,11786.564999999999,BUY,12581.0
2025-05-06,12581.0,"12,438.00","12,599.00","12,371.00",414.92K,0.99%,12308.6,11829.81,BUY,12633.0
2025-05-07,12633.0,"12,355.00","12,669.00","12,355.00",303.62K,0.41%,12467.0,11877.054999999998,BUY,12392.0
2025-05-08,12392.0,"12,560.00","12,597.00","12,330.00",485.33K,-1.91%,12494.0,11922.554999999998,BUY,12250.0
2025-05-09,12250.0,"12,135.00","12,360.00","12,115.00",278.11K,-1.15%,12462.8,11968.5675,BUY,12616.0
2025-05-12,12616.0,"12,426.00","12,630.00","12,426.00",185.17K,2.99%,12494.4,12026.422499999999,BUY,12482.0
2025-05-13,12482.0,"12,600.00","12,700.00","12,430.00",378.27K,-1.06%,12474.6,12077.6525,BUY,12670.0
2025-05-14,12670.0,"12,485.00","12,718.00","12,411.00",306.05K,1.51%,12482.0,12131.2,BUY,12952.0
2025-05-15,12952.0,"12,600.00","13,023.00","12,548.00",561.50K,2.23%,12594.0,12186.05,BUY,12995.0
2025-05-16,12995.0,"12,950.00","13,086.00","12,912.00",425.28K,0.33%,12743.0,12252.6,BUY,12989.0
2025-05-19,12989.0,"12,990.00","13,046.00","12,930.00",244.28K,-0.05%,12817.6,12317.3,BUY,12638.0
2025-05-20,12638.0,"13,005.00","13,010.00","12,610.00",361.11K,-2.70%,12848.8,12361.95,BUY,12615.0
2025-05-21,12615.0,"12,675.00","12,808.00","12,594.00",209.10K,-0.18%,12837.8,12406.0,BUY,12445.0
2025-05-22,12445.0,"12,611.00","12,611.00","12,395.00",434.85K,-1.35%,12736.4,12432.9,BUY,12453.0
2025-05-23,12453.0,"12,450.00","12,495.00","12,423.00",169.47K,0.06%,12628.0,12460.85,BUY,12421.0
2025-05-26,12421.0,"12,455.00","12,539.00","12,391.00",214.70K,-0.26%,12514.4,12497.0,BUY,12414.0
2025-05-27,12414.0,"12,421.00","12,479.00","12,290.00",344.68K,-0.06%,12469.6,12525.4,WAIT,12331.0
2025-05-28,12331.0,"12,414.00","12,415.00","12,305.00",178.18K,-0.67%,12412.8,12549.9,WAIT,12392.0
2025-05-29,12392.0,"12,340.00","12,428.00","12,266.00",191.10K,0.49%,12402.2,12556.65,WAIT,12319.0
2025-05-30,12319.0,"12,392.00","12,490.00","12,251.00",351.35K,-0.59%,12375.4,12552.3,WAIT,12290.0
2025-06-02,12290.0,"12,161.00","12,319.00","12,132.00",264.97K,-0.24%,12349.2,12543.9,WAIT,12128.0
2025-06-03,12128.0,"12,273.00","12,350.00","12,060.00",369.11K,-1.32%,12292.0,12521.25,WAIT,12163.0
2025-06-04,12163.0,"12,128.00","12,245.00","12,128.00",205.85K,0.29%,12258.4,12497.75,WAIT,12126.0
2025-06-05,12126.0,"12,200.00","12,257.00","12,016.00",319.78K,-0.30%,12205.2,12484.45,WAIT,12462.0
2025-06-06,12462.0,"12,139.00","12,535.00","12,100.00",456.13K,2.77%,12233.8,12495.05,WAIT,12637.0
2025-06-09,12637.0,"12,505.00","12,660.00","12,466.00",323.44K,1.40%,12303.2,12496.1,WAIT,12520.0
2025-06-10,12520.0,"12,660.00","12,744.00","12,461.00",325.29K,-0.93%,12381.6,12498.0,WAIT,12452.0
2025-06-11,12452.0,"12,470.00","12,560.00","12,427.00",306.06K,-0.54%,12439.4,12487.1,WAIT,12390.0
2025-06-12,12390.0,"12,459.00","12,490.00","12,307.00",347.34K,-0.50%,12492.2,12459.0,BUY,12408.0
2025-06-13,12408.0,"12,200.00","12,425.00","12,176.00",385.49K,0.15%,12481.4,12429.65,BUY,12530.0
2025-06-16,12530.0,"12,404.00","12,567.00","12,336.00",184.24K,0.98%,12460.0,12406.7,BUY,12595.0
2025-06-17,12595.0,"12,529.00","12,615.00","12,470.00",226.60K,0.52%,12475.0,12404.55,BUY,12748.0
2025-06-18,12748.0,"12,620.00","12,880.00","12,550.00",467.74K,1.21%,12534.2,12411.2,BUY,12806.0
2025-06-19,12806.0,"12,750.00","12,825.00","12,714.00",339.12K,0.45%,12617.4,12429.25,BUY,12791.0
2025-06-20,12791.0,"12,809.00","12,890.00","12,728.00",652.13K,-0.12%,12694.0,12446.15,BUY,12699.0
2025-06-23,12699.0,"12,771.00","12,786.00","12,666.00",192.04K,-0.72%,12727.8,12460.05,BUY,12611.0
2025-06-24,12611.0,"12,830.00","12,855.00","12,553.00",332.72K,-0.69%,12731.0,12469.9,BUY,12767.0
2025-06-25,12767.0,"12,684.00","12,807.00","12,617.00",316.54K,1.24%,12734.8,12491.7,BUY,12715.0
2025-06-26,12715.0,"12,780.00","12,848.00","12,689.00",354.74K,-0.41%,12716.6,12507.85,BUY,12642.0
2025-06-27,12642.0,"12,750.00","12,799.00","12,621.00",346.40K,-0.57%,12686.8,12524.0,BUY,12400.0
2025-06-30,12400.0,"12,667.00","12,675.00","12,332.00",448.96K,-1.91%,12627.0,12529.5,BUY,12442.0
2025-07-01,12442.0,"12,450.00","12,459.00","12,320.00",283.48K,0.34%,12593.2,12545.2,BUY,12622.0
2025-07-02,12622.0,"12,380.00","12,643.00","12,359.00",609.74K,1.45%,12564.2,12568.15,WAIT,12752.0
2025-07-03,12752.0,"12,630.00","12,820.00","12,590.00",606.22K,1.03%,12571.6,12599.45,WAIT,12646.0
2025-07-04,12646.0,"12,715.00","12,748.00","12,608.00",225.61K,-0.83%,12572.4,12608.65,WAIT,12520.0
2025-07-07,12520.0,"12,647.00","12,670.00","12,471.00",220.12K,-1.00%,12596.4,12602.8,WAIT,12414.0
2025-07-08,12414.0,"12,525.00","12,555.00","12,359.00",241.05K,-0.85%,12590.8,12597.5,WAIT,12470.0
2025-07-09,12470.0,"12,435.00","12,540.00","12,430.00",174.20K,0.45%,12560.4,12598.4,WAIT,12650.0
2025-07-10,12650.0,"12,500.00","12,670.00","12,401.00",277.33K,1.44%,12540.0,12611.4,WAIT,12574.0
2025-07-11,12574.0,"12,640.00","12,685.00","12,521.00",194.42K,-0.60%,12525.6,12619.7,WAIT,12514.0
2025-07-14,12514.0,"12,590.00","12,616.00","12,431.00",246.74K,-0.48%,12524.4,12618.9,WAIT,12536.0
2025-07-15,12536.0,"12,481.00","12,598.00","12,481.00",147.38K,0.18%,12548.8,12615.95,WAIT,12564.0
2025-07-16,12564.0,"12,536.00","12,571.00","12,439.00",204.48K,0.22%,12567.6,12606.75,WAIT,12476.0
2025-07-17,12476.0,"12,569.00","12,627.00","12,463.00",189.21K,-0.70%,12532.8,12590.25,WAIT,12419.0
2025-07-18,12419.0,"12,525.00","12,527.00","12,370.00",124.07K,-0.46%,12501.8,12571.65,WAIT,12405.0
2025-07-21,12405.0,"12,431.00","12,478.00","12,342.00",232.07K,-0.11%,12480.0,12556.95,WAIT,12492.0
2025-07-22,12492.0,"12,449.00","12,530.00","12,319.00",169.01K,0.70%,12471.2,12551.0,WAIT,12627.0
2025-07-23,12627.0,"12,540.00","12,719.00","12,540.00",342.01K,1.08%,12483.8,12544.0,WAIT,12557.0
2025-07-24,12557.0,"12,648.00","12,661.00","12,519.00",157.16K,-0.55%,12500.0,12536.1,WAIT,12404.0
2025-07-25,12404.0,"12,545.00","12,557.00","12,357.00",260.70K,-1.22%,12497.0,12524.2,WAIT,12340.0
2025-07-28,12340.0,"12,371.00","12,535.00","12,302.00",292.88K,-0.52%,12484.0,12521.2,WAIT,12469.0
2025-07-29,12469.0,"12,340.00","12,507.00","12,268.00",285.12K,1.05%,12479.4,12522.55,WAIT,12618.0
2025-07-30,12618.0,"12,431.00","12,643.00","12,420.00",203.85K,1.19%,12477.6,12522.35,WAIT,12608.0
2025-07-31,12608.0,"12,506.00","12,760.00","12,464.00",709.78K,-0.08%,12487.8,12515.15,WAIT,12302.0
2025-08-01,12302.0,"12,521.00","12,779.00","12,273.00",346.02K,-2.43%,12467.4,12497.95,WAIT,12365.0
2025-08-04,12365.0,"12,326.00","12,425.00","12,225.00",255.69K,0.51%,12472.4,12490.2,WAIT,12537.0
2025-08-05,12537.0,"12,400.00","12,577.00","12,370.00",233.56K,1.39%,12486.0,12496.35,WAIT,12524.0
2025-08-06,12524.0,"12,570.00","12,619.00","12,483.00",151.61K,-0.10%,12467.2,12499.05,WAIT,12632.0
2025-08-07,12632.0,"12,525.00","12,654.00","12,429.00",173.39K,0.86%,12472.0,12498.15,WAIT,12590.0
2025-08-08,12590.0,"12,630.00","12,725.00","12,564.00",247.05K,-0.33%,12529.6,12498.95,BUY,12597.0
2025-08-11,12597.0,"12,585.00","12,734.00","12,482.00",187.23K,0.06%,12576.0,12503.1,BUY,12840.0
2025-08-12,12840.0,"12,620.00","12,959.00","12,606.00",504.48K,1.93%,12636.6,12518.3,BUY,12834.0
2025-08-13,12834.0,"12,840.00","12,925.00","12,752.00",252.07K,-0.05%,12698.6,12531.8,BUY,12936.0
2025-08-14,12936.0,"12,864.00","12,956.00","12,825.00",318.58K,0.79%,12759.4,12554.8,BUY,14068.0
2025-08-18,14068.0,"13,703.00","14,125.00","13,664.00",2.15M,8.75%,13055.0,12637.25,BUY,14250.0
2025-08-19,14250.0,"14,070.00","14,270.00","13,979.00",906.62K,1.29%,13385.6,12729.5,BUY,14221.0
2025-08-20,14221.0,"14,362.00","14,362.00","14,200.00",391.43K,-0.20%,13661.8,12815.95,BUY,14280.0
2025-08-21,14280.0,"14,219.00","14,401.00","14,156.00",513.46K,0.41%,13951.0,12898.6,BUY,14349.0
2025-08-22,14349.0,"14,349.00","14,370.00","14,230.00",458.94K,0.48%,14233.6,12988.2,BUY,14452.0
2025-08-25,14452.0,"14,401.00","14,478.00","14,280.00",357.11K,0.72%,14310.4,13090.6,BUY,14714.0
2025-08-26,14714.0,"14,452.00","14,825.00","14,391.00",962.97K,1.81%,14403.2,13209.3,BUY,14752.0
2025-08-28,14752.0,"14,895.00","14,895.00","14,625.00",666.64K,0.26%,14509.4,13323.45,BUY,14791.0
2025-08-29,14791.0,"14,750.00","14,850.00","14,692.00",621.56K,0.26%,14611.6,13432.1,BUY,14887.0
2025-09-01,14887.0,"14,790.00","14,938.00","14,654.00",572.93K,0.65%,14719.2,13546.05,BUY,14842.0
