Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,1105.35,"1,115.00","1,115.00","1,074.00",2.60M,-1.04%,1118.096,1110.5149999999999,BUY,1122.82
2025-04-03,1122.82,"1,099.03","1,124.53","1,097.50",635.72K,1.58%,1118.316,1112.9935,BUY,1131.07
2025-04-04,1131.07,"1,117.00","1,141.40","1,108.63",1.18M,0.73%,1120.3239999999998,1114.6219999999998,BUY,1124.5
2025-04-07,1124.5,"1,080.00","1,128.68","1,080.00",1.47M,-0.58%,1120.148,1115.817,BUY,1137.7
2025-04-08,1137.7,"1,127.50","1,141.47","1,115.63",1.75M,1.17%,1124.288,1116.741,BUY,1172.43
2025-04-09,1172.43,"1,141.60","1,181.30","1,136.10",3.71M,3.05%,1137.7040000000002,1119.1525,BUY,1180.7
2025-04-11,1180.7,"1,172.85","1,186.00","1,161.03",2.24M,0.71%,1149.2800000000002,1121.9025,BUY,1183.95
2025-04-15,1183.95,"1,190.70","1,190.70","1,172.80",1.56M,0.28%,1159.856,1126.2125,BUY,1191.65
2025-04-16,1191.65,"1,173.50","1,195.05","1,173.50",1.35M,0.65%,1173.286,1130.9965,BUY,1208.3
2025-04-17,1208.3,"1,186.00","1,211.60","1,179.30",1.82M,1.40%,1187.406,1137.0525000000002,BUY,1199.7
2025-04-21,1199.7,"1,200.50","1,210.50","1,195.25",953.13K,-0.71%,1192.8600000000001,1141.9859999999999,BUY,1203.65
2025-04-22,1203.65,"1,202.50","1,210.00","1,195.00",975.91K,0.33%,1197.45,1147.5684999999999,BUY,1216.7
2025-04-23,1216.7,"1,209.65","1,220.95","1,200.00",1.17M,1.08%,1204.0,1152.8645000000001,BUY,1216.6
2025-04-24,1216.6,"1,217.50","1,257.50","1,189.50",4.67M,-0.01%,1208.9900000000002,1156.973,BUY,1206.75
2025-04-25,1206.75,"1,213.45","1,217.60","1,193.65",2.26M,-0.81%,1208.68,1160.7215,BUY,1203.0
2025-04-28,1203.0,"1,200.00","1,209.20","1,193.00",1.96M,-0.31%,1209.3400000000001,1164.5,BUY,1193.75
2025-04-29,1193.75,"1,203.00","1,203.00","1,179.60",1.95M,-0.77%,1207.3600000000001,1168.1015,BUY,1194.1
2025-04-30,1194.1,"1,187.50","1,203.20","1,182.15",2.04M,0.03%,1202.84,1171.755,BUY,1168.85
2025-05-02,1168.85,"1,187.50","1,192.40","1,163.50",1.72M,-2.11%,1193.29,1173.9285,BUY,1164.1
2025-05-05,1164.1,"1,174.45","1,176.00","1,161.85",1.83M,-0.41%,1184.7599999999998,1176.2835,BUY,1178.25
2025-05-06,1178.25,"1,168.50","1,187.10","1,165.00",1.74M,1.22%,1179.81,1179.9285,WAIT,1169.2
2025-05-07,1169.2,"1,165.50","1,178.00","1,163.65",1.35M,-0.77%,1174.9,1182.2475,WAIT,1170.35
2025-05-08,1170.35,"1,164.00","1,175.05","1,157.55",2.69M,0.10%,1170.15,1184.2115000000001,WAIT,1162.7
2025-05-09,1162.7,"1,151.00","1,174.50","1,145.85",1.82M,-0.65%,1168.9199999999998,1186.1215,WAIT,1191.9
2025-05-12,1191.9,"1,179.90","1,194.50","1,173.00",801.50K,2.51%,1174.48,1188.8315,WAIT,1185.1
2025-05-13,1185.1,"1,190.00","1,194.90","1,171.00",2.33M,-0.57%,1175.85,1189.465,WAIT,1185.2
2025-05-14,1185.2,"1,182.50","1,189.60","1,176.65",1.20M,0.01%,1179.05,1189.69,WAIT,1199.05
2025-05-15,1199.05,"1,185.00","1,207.45","1,170.75",1.93M,1.17%,1184.79,1190.445,WAIT,1204.4
2025-05-16,1204.4,"1,207.30","1,207.30","1,188.35",1.37M,0.45%,1193.13,1191.0825,BUY,1203.9
2025-05-19,1203.9,"1,202.00","1,211.05","1,198.10",845.86K,-0.04%,1195.53,1190.8625,BUY,1179.25
2025-05-20,1179.25,"1,209.90","1,209.90","1,177.15",1.56M,-2.05%,1194.3600000000001,1189.8400000000001,BUY,1196.3
2025-05-21,1196.3,"1,179.25","1,199.00","1,179.25",1.35M,1.45%,1196.5800000000002,1189.4725,BUY,1180.85
2025-05-22,1180.85,"1,192.50","1,192.50","1,170.00",2.16M,-1.29%,1192.94,1187.6799999999998,BUY,1207.2
2025-05-23,1207.2,"1,178.00","1,212.00","1,176.05",1.15M,2.23%,1193.5,1187.21,BUY,1227.0
2025-05-26,1227.0,"1,207.20","1,232.45","1,202.70",1.25M,1.64%,1198.1200000000001,1188.2225,BUY,1230.45
2025-05-27,1230.45,"1,225.05","1,241.00","1,216.10",1.58M,0.28%,1208.3600000000001,1189.595,BUY,1209.5
2025-05-28,1209.5,"1,226.05","1,228.35","1,208.00",1.45M,-1.70%,1211.0,1190.3825000000002,BUY,1217.5
2025-05-29,1217.5,"1,210.70","1,219.90","1,203.25",1.86M,0.66%,1218.33,1191.5525,BUY,1198.1
2025-05-30,1198.1,"1,217.50","1,228.50","1,195.25",2.13M,-1.59%,1216.5099999999998,1193.0149999999999,BUY,1203.15
2025-06-02,1203.15,"1,200.00","1,207.90","1,195.50",2.05M,0.42%,1211.74,1194.9675000000002,BUY,1195.7
2025-06-03,1195.7,"1,207.85","1,213.20","1,191.00",1.47M,-0.62%,1204.79,1195.8400000000001,BUY,1198.75
2025-06-04,1198.75,"1,194.20","1,201.90","1,192.45",1.17M,0.26%,1202.6399999999999,1197.3175,BUY,1200.65
2025-06-05,1200.65,"1,202.50","1,204.50","1,190.25",1.47M,0.16%,1199.27,1198.8325,BUY,1208.6
2025-06-06,1208.6,"1,201.95","1,211.45","1,195.00",1.00M,0.66%,1201.37,1201.1275,BUY,1207.65
2025-06-09,1207.65,"1,212.50","1,213.65","1,200.50",678.87K,-0.08%,1202.27,1201.915,BUY,1215.7
2025-06-10,1215.7,"1,207.65","1,219.45","1,204.45",1.35M,0.67%,1206.27,1203.4450000000002,BUY,1209.6
2025-06-11,1209.6,"1,221.25","1,225.00","1,204.00",1.75M,-0.50%,1208.44,1204.665,BUY,1192.8
2025-06-12,1192.8,"1,213.50","1,214.05","1,183.15",2.72M,-1.39%,1206.87,1204.3525000000002,BUY,1188.4
2025-06-13,1188.4,"1,181.00","1,190.00","1,173.40",829.76K,-0.37%,1202.8300000000002,1203.5525,WAIT,1194.9
2025-06-16,1194.9,"1,185.05","1,197.50","1,182.55",532.31K,0.55%,1200.28,1203.1025,WAIT,1181.0
2025-06-17,1181.0,"1,190.05","1,193.45","1,176.50",1.53M,-1.16%,1193.34,1203.19,WAIT,1170.4
2025-06-18,1170.4,"1,181.95","1,182.05","1,162.70",1.31M,-0.90%,1185.5000000000002,1201.895,WAIT,1159.45
2025-06-19,1159.45,"1,170.40","1,170.40","1,155.00",1.47M,-0.94%,1178.8300000000002,1200.825,WAIT,1180.2
2025-06-20,1180.2,"1,169.05","1,199.00","1,159.45",22.94M,1.79%,1177.19,1199.475,WAIT,1179.55
2025-06-23,1179.55,"1,186.50","1,199.45","1,175.45",1.30M,-0.06%,1174.1200000000001,1197.1025,WAIT,1182.9
2025-06-24,1182.9,"1,187.50","1,191.80","1,178.85",1.10M,0.28%,1174.5,1194.725,WAIT,1202.2
2025-06-25,1202.2,"1,186.00","1,214.45","1,186.00",2.30M,1.63%,1180.8600000000001,1194.3600000000001,WAIT,1215.7
2025-06-26,1215.7,"1,210.00","1,221.80","1,201.60",3.12M,1.12%,1192.1100000000001,1194.27,WAIT,1229.35
2025-06-27,1229.35,"1,224.50","1,231.85","1,213.05",2.38M,1.12%,1201.94,1195.8325,BUY,1232.65
2025-06-30,1232.65,"1,234.00","1,237.80","1,221.50",1.66M,0.27%,1212.56,1197.3075000000001,BUY,1205.05
2025-07-01,1205.05,"1,235.00","1,235.70","1,202.60",1.08M,-2.24%,1216.99,1197.775,BUY,1194.0
2025-07-02,1194.0,"1,205.25","1,206.95","1,190.00",1.48M,-0.92%,1215.35,1197.5375,BUY,1194.2
2025-07-03,1194.2,"1,199.95","1,204.55","1,192.50",1.26M,0.02%,1211.05,1197.2150000000001,BUY,1196.4
2025-07-04,1196.4,"1,192.45","1,198.50","1,183.55",790.11K,0.18%,1204.4599999999998,1196.605,BUY,1211.05
2025-07-07,1211.05,"1,199.70","1,213.00","1,194.00",868.41K,1.22%,1200.1399999999999,1196.775,BUY,1208.95
2025-07-08,1208.95,"1,211.05","1,217.85","1,203.50",711.58K,-0.17%,1200.92,1196.4375,BUY,1213.9
2025-07-09,1213.9,"1,210.00","1,218.25","1,207.25",790.36K,0.41%,1204.9,1196.6525000000001,BUY,1200.7
2025-07-10,1200.7,"1,212.50","1,218.45","1,198.80",569.85K,-1.09%,1206.2,1197.0475000000001,BUY,1201.75
2025-07-11,1201.75,"1,202.00","1,214.35","1,198.55",741.06K,0.09%,1207.27,1197.7150000000001,BUY,1196.45
2025-07-14,1196.45,"1,202.65","1,207.35","1,188.50",942.91K,-0.44%,1204.35,1197.7925,BUY,1208.15
2025-07-15,1208.15,"1,196.45","1,210.00","1,190.05",1.06M,0.98%,1204.19,1199.15,BUY,1230.0
2025-07-16,1230.0,"1,208.00","1,245.00","1,203.70",2.81M,1.81%,1207.41,1202.13,BUY,1224.55
2025-07-17,1224.55,"1,229.00","1,235.00","1,223.05",546.71K,-0.44%,1212.18,1205.385,BUY,1236.1
2025-07-18,1236.1,"1,229.50","1,238.45","1,215.50",899.65K,0.94%,1219.05,1208.18,BUY,1236.3
2025-07-21,1236.3,"1,236.45","1,239.20","1,222.50",957.97K,0.02%,1227.02,1211.0175000000002,BUY,1221.75
2025-07-22,1221.75,"1,236.40","1,238.75","1,219.00",774.55K,-1.18%,1229.74,1212.96,BUY,1226.25
2025-07-23,1226.25,"1,230.00","1,234.50","1,216.80",720.23K,0.37%,1228.99,1214.1625,BUY,1161.05
2025-07-24,1161.05,"1,226.40","1,237.50","1,155.00",5.37M,-5.32%,1216.29,1211.43,BUY,1137.3
2025-07-25,1137.3,"1,157.45","1,157.45","1,133.00",3.18M,-2.05%,1196.53,1206.8274999999999,WAIT,1114.65
2025-07-28,1114.65,"1,137.35","1,149.95","1,111.05",1.88M,-1.99%,1172.2,1200.9275000000002,WAIT,1111.85
2025-07-29,1111.85,"1,115.00","1,129.05","1,109.95",1.80M,-0.25%,1150.22,1196.2675,WAIT,1115.75
2025-07-30,1115.75,"1,115.00","1,119.75","1,110.85",929.70K,0.35%,1128.1200000000001,1192.355,WAIT,1123.85
2025-07-31,1123.85,"1,112.50","1,132.95","1,110.50",1.35M,0.73%,1120.6799999999998,1188.8375,WAIT,1138.25
2025-08-01,1138.25,"1,123.85","1,143.85","1,121.55",1.41M,1.28%,1120.8700000000001,1185.9299999999998,WAIT,1138.7
2025-08-04,1138.7,"1,143.00","1,143.30","1,129.00",812.79K,0.04%,1125.6799999999998,1182.3125,WAIT,1133.65
2025-08-05,1133.65,"1,139.85","1,141.20","1,125.05",1.14M,-0.44%,1130.04,1178.5475000000001,WAIT,1116.65
2025-08-06,1116.65,"1,135.00","1,136.20","1,113.05",1.13M,-1.50%,1130.22,1173.685,WAIT,1117.3
2025-08-07,1117.3,"1,118.00","1,123.20","1,107.50",1.01M,0.06%,1128.91,1169.5149999999999,WAIT,1096.5
2025-08-08,1096.5,"1,122.00","1,126.40","1,093.40",1.24M,-1.86%,1120.56,1164.2525,WAIT,1105.0
2025-08-11,1105.0,"1,097.00","1,108.90","1,087.00",1.04M,0.78%,1113.8200000000002,1159.68,WAIT,1091.1
2025-08-12,1091.1,"1,108.00","1,109.60","1,089.00",758.20K,-1.26%,1105.31,1153.8274999999999,WAIT,1096.9
2025-08-13,1096.9,"1,091.10","1,100.80","1,086.60",813.73K,0.53%,1101.3600000000001,1147.1725000000001,WAIT,1089.4
