Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,351.75,352.15,353.45,347.05,13.59M,-0.11%,355.36,342.15999999999997,BUY,358.9
2025-04-03,358.9,351.75,361.35,351.75,10.32M,2.03%,356.21,344.41749999999996,BUY,350.4
2025-04-04,350.4,358.85,358.85,348.55,10.87M,-2.37%,354.15999999999997,345.6275,BUY,349.8
2025-04-07,349.8,328.0,351.4,324.0,18.03M,-0.17%,352.6,346.22249999999997,BUY,352.95
2025-04-08,352.95,356.85,358.25,350.0,17.51M,0.90%,352.76,347.39250000000004,BUY,349.35
2025-04-09,349.35,354.0,354.8,348.2,7.46M,-1.02%,352.28000000000003,348.39,BUY,360.1
2025-04-11,360.1,351.0,361.5,351.0,11.25M,3.08%,352.52,349.88,BUY,362.5
2025-04-15,362.5,367.0,368.45,361.55,17.50M,0.67%,354.94,351.4975,BUY,359.3
2025-04-16,359.3,362.5,363.0,357.9,11.54M,-0.88%,356.84000000000003,352.8675,BUY,364.0
2025-04-17,364.0,359.25,365.45,357.25,12.29M,1.31%,359.05,354.485,BUY,364.55
2025-04-21,364.55,365.8,368.2,361.8,7.38M,0.15%,362.09000000000003,355.845,BUY,360.25
2025-04-22,360.25,367.05,367.05,359.7,12.08M,-1.18%,362.12,356.7925,BUY,363.8
2025-04-23,363.8,362.95,364.25,357.9,9.72M,0.99%,362.38,357.895,BUY,363.2
2025-04-24,363.2,363.75,366.45,361.6,7.49M,-0.16%,363.15999999999997,358.49,BUY,356.45
2025-04-25,356.45,363.2,365.8,351.1,9.79M,-1.86%,361.65,357.96500000000003,BUY,361.5
2025-04-28,361.5,353.7,362.9,353.7,5.32M,1.42%,361.03999999999996,357.6925,BUY,356.95
2025-04-29,356.95,364.0,364.35,354.1,9.47M,-1.26%,360.38,357.8075,BUY,354.55
2025-04-30,354.55,357.0,361.0,352.0,16.74M,-0.67%,358.53000000000003,357.5025,BUY,348.45
2025-05-02,348.45,354.55,358.0,347.6,11.17M,-1.72%,355.58,357.04499999999996,WAIT,348.6
2025-05-05,348.6,351.0,352.0,345.55,9.49M,0.04%,354.01,356.8675,WAIT,341.8
2025-05-06,341.8,349.0,349.5,340.0,8.90M,-1.95%,350.07000000000005,356.37,WAIT,342.05
2025-05-07,342.05,338.0,343.7,337.0,8.47M,0.07%,347.09000000000003,355.52750000000003,WAIT,340.0
2025-05-08,340.0,341.05,343.1,338.4,14.29M,-0.60%,344.18,355.0075,WAIT,334.75
