Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,250.64,250.05,251.5,248.0,15.34M,1.04%,245.39600000000002,235.32150000000001,BUY,243.31
2025-04-03,243.31,248.0,249.62,242.51,11.14M,-2.92%,246.11399999999998,236.14899999999997,BUY,226.01
2025-04-04,226.01,240.56,241.21,224.2,38.34M,-7.11%,242.88199999999998,236.0025,BUY,219.84
2025-04-07,219.84,208.0,220.8,205.0,27.02M,-2.73%,237.574,235.3645,BUY,226.66
2025-04-08,226.66,223.0,227.24,219.18,11.31M,3.10%,233.292,235.05300000000003,WAIT,221.94
2025-04-09,221.94,222.0,224.06,220.26,16.89M,-2.08%,227.552,234.99049999999997,WAIT,230.37
2025-04-11,230.37,228.3,231.4,225.25,13.89M,3.80%,224.96400000000003,235.17299999999994,WAIT,232.69
2025-04-15,232.69,234.0,234.0,230.1,12.10M,1.01%,226.3,235.5875,WAIT,241.22
2025-04-16,241.22,232.69,242.0,231.72,18.75M,3.67%,230.57600000000002,236.377,WAIT,243.49
2025-04-17,243.49,241.0,244.61,239.26,12.89M,0.94%,233.942,237.0645,WAIT,249.78
2025-04-21,249.78,244.01,250.55,241.75,11.70M,2.58%,239.51,237.9475,BUY,247.78
2025-04-22,247.78,248.97,250.6,247.26,9.90M,-0.80%,242.99200000000002,238.708,BUY,252.17
2025-04-23,252.17,248.74,252.75,244.92,16.56M,1.77%,246.888,239.53699999999998,BUY,249.37
2025-04-24,249.37,250.0,251.37,248.0,6.54M,-1.11%,248.51800000000003,239.88450000000003,BUY,246.33
2025-04-25,246.33,249.0,250.68,244.4,15.62M,-1.22%,249.086,240.00950000000003,BUY,250.6
2025-04-28,250.6,246.0,251.95,244.38,7.67M,1.73%,249.25,240.427,BUY,245.68
2025-04-29,245.68,251.24,252.1,245.1,8.03M,-1.96%,248.83,240.725,BUY,244.45
2025-04-30,244.45,245.5,247.44,242.22,9.82M,-0.50%,247.286,240.839,BUY,243.42
2025-05-02,243.42,241.0,246.27,239.0,12.35M,-0.42%,246.096,240.69099999999997,BUY,239.2
2025-05-05,239.2,240.0,241.15,234.5,20.09M,-1.73%,244.67,240.2475,BUY,237.0
2025-05-06,237.0,241.13,242.99,236.0,11.35M,-0.92%,241.95,239.5655,BUY,238.67
2025-05-07,238.67,232.3,240.09,232.07,16.69M,0.70%,240.548,239.33350000000002,BUY,233.22
