Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,1251.15,"1,247.55","1,255.55","1,243.90",10.14M,-0.12%,1266.02,1248.775,BUY,1248.7
2025-04-03,1248.7,"1,233.05","1,251.80","1,233.05",7.43M,-0.20%,1261.15,1253.115,BUY,1204.7
2025-04-04,1204.7,"1,241.10","1,245.45","1,193.15",17.91M,-3.52%,1246.45,1254.5700000000002,WAIT,1165.7
2025-04-07,1165.7,"1,132.20","1,171.25","1,114.85",22.16M,-3.24%,1224.5700000000002,1252.375,WAIT,1182.2
2025-04-08,1182.2,"1,172.00","1,196.60","1,163.30",19.56M,1.42%,1210.4900000000002,1248.995,WAIT,1185.35
2025-04-09,1185.35,"1,169.50","1,189.80","1,168.00",10.22M,0.27%,1197.33,1246.3425000000002,WAIT,1218.95
2025-04-11,1218.95,"1,195.15","1,222.65","1,195.15",11.22M,2.83%,1191.3799999999999,1244.925,WAIT,1240.1
2025-04-15,1240.1,"1,251.00","1,251.00","1,237.10",13.38M,1.74%,1198.46,1244.0774999999999,WAIT,1239.3
2025-04-16,1239.3,"1,234.10","1,240.90","1,229.00",8.25M,-0.06%,1213.18,1243.6475,WAIT,1274.5
2025-04-17,1274.5,"1,240.20","1,280.20","1,227.60",15.40M,2.84%,1231.6399999999999,1245.4299999999998,WAIT,1295.5
2025-04-21,1295.5,"1,270.00","1,300.90","1,267.00",10.43M,1.65%,1253.67,1248.2649999999999,BUY,1291.2
2025-04-22,1291.2,"1,300.00","1,303.90","1,286.30",13.05M,-0.33%,1268.12,1250.4675000000002,BUY,1300.0
2025-04-23,1300.0,"1,297.00","1,306.00","1,285.40",10.48M,0.68%,1280.1,1252.01,BUY,1301.6
2025-04-24,1301.6,"1,292.40","1,304.50","1,290.30",10.47M,0.12%,1292.56,1253.2725,BUY,1300.4
2025-04-25,1300.4,"1,303.50","1,325.20","1,288.10",14.43M,-0.09%,1297.74,1253.1875,BUY,1368.8
2025-04-28,1368.8,"1,340.00","1,374.60","1,320.20",31.10M,5.26%,1312.4,1257.355,BUY,1399.7
2025-04-29,1399.7,"1,371.00","1,410.90","1,370.00",32.54M,2.26%,1334.1,1263.6875,BUY,1405.0
2025-04-30,1405.0,"1,402.00","1,412.40","1,369.00",25.48M,0.38%,1355.1,1270.0275,BUY,1422.4
2025-05-02,1422.4,"1,414.00","1,426.70","1,409.10",17.54M,1.24%,1379.2599999999998,1277.3925,BUY,1431.3
2025-05-05,1431.3,"1,431.00","1,439.50","1,426.90",12.69M,0.63%,1405.44,1286.3275,BUY,1420.9
2025-05-06,1420.9,"1,431.00","1,432.00","1,410.60",14.08M,-0.73%,1415.8600000000001,1294.815,BUY,1406.0
2025-05-07,1406.0,"1,420.90","1,424.40","1,402.70",13.44M,-1.05%,1417.1200000000001,1302.6799999999998,BUY,1407.0
2025-05-08,1407.0,"1,404.10","1,420.80","1,398.00",16.11M,0.07%,1417.52,1312.7949999999998,BUY,1377.2
2025-05-09,1377.2,"1,385.50","1,394.80","1,374.50",13.67M,-2.12%,1408.48,1323.3700000000001,BUY,1436.5
2025-05-12,1436.5,"1,400.00","1,439.00","1,400.00",10.67M,4.31%,1409.52,1336.085,BUY,1415.7
2025-05-13,1415.7,"1,433.50","1,447.70","1,412.40",11.41M,-1.45%,1408.48,1347.6025,BUY,1424.4
2025-05-14,1424.4,"1,420.00","1,429.90","1,415.50",5.57M,0.61%,1412.16,1357.875,BUY,1454.2
2025-05-15,1454.2,"1,425.00","1,461.40","1,412.70",20.18M,2.09%,1421.6,1368.58,BUY,1456.4
2025-05-16,1456.4,"1,453.20","1,461.00","1,447.30",9.04M,0.15%,1437.44,1379.435,BUY,1440.8
2025-05-19,1440.8,"1,452.10","1,454.60","1,438.20",6.20M,-1.07%,1438.3,1387.75,BUY,1424.6
2025-05-20,1424.6,"1,438.20","1,445.00","1,421.80",11.27M,-1.12%,1440.0800000000002,1394.205,BUY,1429.2
2025-05-21,1429.2,"1,423.90","1,436.20","1,418.10",6.14M,0.32%,1441.04,1401.105,BUY,1409.4
2025-05-22,1409.4,"1,421.20","1,423.80","1,396.90",12.13M,-1.39%,1432.08,1406.575,BUY,1426.8
2025-05-23,1426.8,"1,406.60","1,433.80","1,406.60",6.47M,1.23%,1426.16,1412.835,BUY,1434.8
2025-05-26,1434.8,"1,432.00","1,441.00","1,425.10",4.84M,0.56%,1424.96,1419.5549999999998,BUY,1422.1
2025-05-27,1422.1,"1,426.10","1,437.00","1,413.90",12.64M,-0.89%,1424.4599999999998,1422.22,BUY,1412.9
2025-05-28,1412.9,"1,420.10","1,422.60","1,410.70",5.94M,-0.65%,1421.2,1422.8799999999999,WAIT,1417.8
2025-05-29,1417.8,"1,412.10","1,420.00","1,408.60",13.77M,0.35%,1422.88,1423.52,WAIT,1420.9
2025-05-30,1420.9,"1,418.00","1,430.60","1,409.70",13.79M,0.22%,1421.7,1423.4450000000002,WAIT,1413.7
2025-06-02,1413.7,"1,412.10","1,417.50","1,395.60",8.10M,-0.51%,1417.48,1422.565,WAIT,1405.5
2025-06-03,1405.5,"1,422.30","1,426.50","1,403.40",11.25M,-0.58%,1414.1599999999999,1421.795,WAIT,1423.5
2025-06-04,1423.5,"1,414.70","1,425.70","1,406.10",8.13M,1.28%,1416.28,1422.67,WAIT,1442.4
2025-06-05,1442.4,"1,428.00","1,454.70","1,423.60",13.72M,1.33%,1421.2,1424.44,WAIT,1443.5
2025-06-06,1443.5,"1,441.00","1,451.50","1,437.00",8.18M,0.08%,1425.72,1427.7549999999999,WAIT,1448.8
2025-06-09,1448.8,"1,457.00","1,457.50","1,445.30",7.89M,0.37%,1432.74,1428.3700000000001,BUY,1438.5
2025-06-10,1438.5,"1,450.00","1,453.90","1,436.00",7.91M,-0.71%,1439.3400000000001,1429.51,BUY,1448.9
2025-06-11,1448.9,"1,445.80","1,468.60","1,443.10",8.20M,0.72%,1444.42,1430.7350000000001,BUY,1441.6
2025-06-12,1441.6,"1,453.50","1,457.00","1,434.40",8.83M,-0.50%,1444.26,1430.105,BUY,1427.9
2025-06-13,1427.9,"1,424.00","1,435.50","1,414.30",9.76M,-0.95%,1441.1399999999999,1428.6799999999998,BUY,1437.8
2025-06-16,1437.8,"1,426.90","1,442.40","1,424.40",8.46M,0.69%,1438.94,1428.53,BUY,1431.2
2025-06-17,1431.2,"1,448.00","1,448.00","1,425.80",10.37M,-0.46%,1437.48,1428.8600000000001,BUY,1430.1
2025-06-18,1430.1,"1,430.00","1,442.80","1,425.70",6.68M,-0.08%,1433.72,1428.9050000000002,BUY,1433.3
2025-06-19,1433.3,"1,430.10","1,439.90","1,425.70",10.01M,0.22%,1432.06,1430.1,BUY,1466.2
2025-06-20,1466.2,"1,431.00","1,471.00","1,428.10",29.01M,2.30%,1439.72,1432.0700000000002,BUY,1456.8
2025-06-23,1456.8,"1,453.00","1,463.80","1,442.00",5.99M,-0.64%,1443.52,1433.17,BUY,1450.8
2025-06-24,1450.8,"1,465.00","1,475.00","1,443.10",16.40M,-0.41%,1447.44,1434.605,BUY,1467.3
2025-06-25,1467.3,"1,464.00","1,472.40","1,460.50",7.53M,1.14%,1454.8799999999999,1437.325,BUY,1495.3
2025-06-26,1495.3,"1,469.10","1,498.80","1,465.10",14.66M,1.91%,1467.2800000000002,1441.2,BUY,1515.4
2025-06-27,1515.4,"1,499.40","1,522.00","1,496.90",11.12M,1.34%,1477.12,1445.925,BUY,1500.6
2025-06-30,1500.6,"1,513.80","1,524.80","1,496.00",8.41M,-0.98%,1485.8799999999999,1450.27,BUY,1528.4
2025-07-01,1528.4,"1,500.60","1,531.40","1,500.10",10.37M,1.85%,1501.4,1456.415,BUY,1518.8
2025-07-02,1518.8,"1,528.40","1,530.00","1,508.70",6.36M,-0.63%,1511.7,1461.1799999999998,BUY,1517.8
2025-07-03,1517.8,"1,520.80","1,531.90","1,513.00",11.28M,-0.07%,1516.2,1464.9499999999998,BUY,1527.3
2025-07-04,1527.3,"1,524.00","1,530.00","1,517.20",6.60M,0.63%,1518.58,1469.14,BUY,1541.5
2025-07-07,1541.5,"1,526.60","1,544.80","1,525.00",7.25M,0.93%,1526.7599999999998,1473.775,BUY,1537.6
2025-07-08,1537.6,"1,536.00","1,544.90","1,530.20",7.17M,-0.25%,1528.6,1478.73,BUY,1519.0
2025-07-09,1519.0,"1,536.70","1,551.00","1,510.10",8.87M,-1.21%,1528.6399999999999,1482.2350000000001,BUY,1517.2
2025-07-10,1517.2,"1,519.70","1,524.70","1,507.50",10.05M,-0.12%,1528.52,1486.0149999999999,BUY,1495.2
2025-07-11,1495.2,"1,512.00","1,515.00","1,490.30",7.23M,-1.45%,1522.1,1489.38,BUY,1483.7
2025-07-14,1483.7,"1,492.20","1,500.00","1,479.10",10.31M,-0.77%,1510.54,1491.675,BUY,1485.4
