Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,775.95,772.30,777.00,764.30,5.46M,0.55%,771.09,746.8824999999999,BUY,779.2
2025-04-03,779.2,770.00,784.70,769.95,7.96M,0.42%,774.13,750.0400000000001,BUY,767.45
2025-04-04,767.45,779.10,782.90,765.00,8.23M,-1.51%,773.1600000000001,751.895,BUY,746.9
2025-04-07,746.9,730.00,753.70,730.00,14.92M,-2.68%,768.24,752.6375,BUY,768.6
2025-04-08,768.6,760.00,774.00,758.15,12.91M,2.91%,767.6200000000001,754.43,BUY,742.2
2025-04-09,742.2,767.00,767.95,741.00,11.32M,-3.43%,760.87,755.095,BUY,753.85
2025-04-11,753.85,759.00,759.70,746.00,9.36M,1.57%,755.8,756.295,WAIT,763.5
2025-04-15,763.5,770.00,770.70,757.10,7.86M,1.28%,755.01,758.3175,WAIT,771.75
2025-04-16,771.75,763.50,774.75,760.50,12.54M,1.08%,759.9800000000001,760.5125,WAIT,797.45
2025-04-17,797.45,772.00,801.00,767.15,27.03M,3.33%,765.75,764.2275,BUY,816.7
2025-04-21,816.7,803.00,824.35,801.40,16.40M,2.41%,780.65,768.2275,BUY,822.4
2025-04-22,822.4,821.15,835.50,814.00,25.12M,0.70%,794.3599999999999,772.0925,BUY,813.45
2025-04-23,813.45,826.00,831.00,810.10,12.10M,-1.09%,804.3500000000001,775.2875,BUY,813.4
2025-04-24,813.4,812.75,819.00,811.15,12.71M,-0.01%,812.68,778.2975,BUY,798.65
2025-04-25,798.65,815.00,819.00,787.00,13.13M,-1.81%,812.92,779.1899999999999,BUY,817.35
2025-04-28,817.35,798.65,822.80,797.40,11.32M,2.34%,813.05,781.415,BUY,812.55
2025-04-29,812.55,820.00,829.00,809.00,11.28M,-0.59%,811.08,783.8425,BUY,788.65
2025-04-30,788.65,811.50,811.50,784.50,25.64M,-2.94%,806.12,784.6600000000001,BUY,800.0
2025-05-02,800.0,790.35,803.40,789.00,17.20M,1.44%,803.4399999999999,786.085,BUY,790.0
2025-05-05,790.0,782.00,799.00,782.00,23.99M,-1.25%,801.71,787.0,BUY,774.1
2025-05-06,774.1,793.95,799.15,771.10,18.87M,-2.01%,793.06,786.9075,BUY,776.1
2025-05-07,776.1,765.30,782.40,764.55,15.59M,0.26%,785.77,786.7524999999999,WAIT,769.0
2025-05-08,769.0,779.00,786.50,764.00,14.49M,-0.91%,781.8399999999999,786.83,WAIT,779.25
2025-05-09,779.25,756.50,781.70,755.50,13.58M,1.33%,777.6899999999999,788.4475,WAIT,801.65
2025-05-12,801.65,799.00,803.90,793.00,15.10M,2.87%,780.02,790.1,WAIT,801.75
2025-05-13,801.75,798.60,807.65,797.20,13.91M,0.01%,785.55,793.0775,WAIT,800.7
2025-05-14,800.7,805.75,807.50,796.30,9.28M,-0.13%,790.47,795.42,WAIT,807.75
2025-05-15,807.75,804.45,809.45,794.50,17.06M,0.88%,798.22,797.6324999999999,BUY,792.1
2025-05-16,792.1,804.00,804.00,791.00,14.73M,-1.94%,800.7900000000001,798.65,BUY,795.0
2025-05-19,795.0,792.10,801.40,792.10,10.67M,0.37%,799.46,798.5274999999999,BUY,785.65
2025-05-20,785.65,798.15,799.40,783.80,11.32M,-1.18%,796.24,796.975,WAIT,787.1
2025-05-21,787.1,787.00,791.00,779.10,8.21M,0.18%,793.5200000000001,795.21,WAIT,785.25
2025-05-22,785.25,788.00,788.20,780.30,7.36M,-0.24%,789.0200000000001,793.8,WAIT,790.5
2025-05-23,790.5,787.90,794.95,786.20,5.53M,0.67%,788.7,792.655,WAIT,794.4
2025-05-26,794.4,792.00,797.55,789.20,4.97M,0.49%,788.5799999999999,792.4425,WAIT,793.7
2025-05-27,793.7,794.40,801.35,790.05,12.00M,-0.09%,790.19,791.26,WAIT,796.55
2025-05-28,796.55,794.50,798.90,792.65,6.87M,0.36%,792.0799999999999,790.46,BUY,797.35
2025-05-29,797.35,799.00,800.40,791.35,14.03M,0.10%,794.5,790.895,BUY,812.3
2025-05-30,812.3,798.00,814.50,792.60,22.04M,1.87%,798.8599999999999,791.51,BUY,813.65
2025-06-02,813.65,812.85,822.55,809.20,26.89M,0.17%,802.7099999999999,792.6924999999999,BUY,809.8
2025-06-03,809.8,816.20,818.40,805.15,14.25M,-0.47%,805.93,794.4775000000001,BUY,806.5
2025-06-04,806.5,817.00,817.00,805.25,9.61M,-0.41%,807.9199999999998,795.9975000000001,BUY,806.0
2025-06-05,806.0,808.70,811.70,802.85,13.60M,-0.06%,809.65,797.8475000000001,BUY,813.05
2025-06-06,813.05,806.65,816.45,803.10,17.16M,0.87%,809.8,799.5375,BUY,820.05
2025-06-09,820.05,817.40,824.50,815.70,12.79M,0.86%,811.0799999999999,800.4575,BUY,817.05
2025-06-10,817.05,821.00,822.05,814.60,6.56M,-0.37%,812.53,801.2225000000001,BUY,815.05
2025-06-11,815.05,817.00,820.60,813.05,7.20M,-0.24%,814.24,801.9399999999999,BUY,805.95
2025-06-12,805.95,816.00,816.50,801.20,13.45M,-1.12%,814.2299999999999,801.85,BUY,792.35
2025-06-13,792.35,786.25,796.30,786.25,11.38M,-1.69%,810.0899999999999,801.8625,BUY,792.5
2025-06-16,792.5,792.50,795.40,786.15,8.09M,0.02%,804.5799999999999,801.7375,BUY,792.3
2025-06-17,792.3,794.00,798.85,790.55,7.75M,-0.03%,799.63,802.0699999999999,WAIT,791.9
2025-06-18,791.9,792.50,795.50,788.35,5.71M,-0.05%,795.0,802.31,WAIT,785.1
2025-06-19,785.1,792.35,793.25,781.70,11.82M,-0.86%,790.83,802.3025,WAIT,796.15
2025-06-20,796.15,787.50,799.45,786.10,11.37M,1.41%,791.5899999999999,802.5849999999999,WAIT,790.2
2025-06-23,790.2,790.00,794.95,788.50,5.55M,-0.75%,791.13,802.375,WAIT,795.4
2025-06-24,795.4,799.00,806.65,793.65,11.40M,0.66%,791.75,802.4599999999999,WAIT,800.05
2025-06-25,800.05,799.50,803.80,796.10,6.53M,0.58%,793.38,802.635,WAIT,797.05
2025-06-26,797.05,802.00,803.35,791.40,24.70M,-0.37%,795.77,802.62,WAIT,805.4
2025-06-27,805.4,805.00,809.45,802.65,19.38M,1.05%,797.6199999999999,802.275,WAIT,820.35
2025-06-30,820.35,809.00,821.00,807.05,19.65M,1.86%,803.65,802.6099999999999,BUY,820.3
2025-07-01,820.3,820.00,824.90,813.25,11.46M,-0.01%,808.6299999999999,803.135,BUY,812.9
2025-07-02,812.9,821.00,824.05,809.00,6.66M,-0.90%,811.2,803.4549999999999,BUY,807.1
2025-07-03,807.1,813.50,814.50,805.80,7.02M,-0.71%,813.2099999999999,803.51,BUY,811.85
2025-07-04,811.85,808.75,813.85,804.10,4.32M,0.59%,814.5,803.45,BUY,806.85
2025-07-07,806.85,811.20,812.65,805.15,4.46M,-0.62%,811.8,802.79,BUY,812.65
2025-07-08,812.65,807.90,813.55,805.35,5.94M,0.72%,810.2700000000001,802.5699999999999,BUY,810.95
2025-07-09,810.95,810.00,812.45,809.00,4.10M,-0.21%,809.88,802.365,BUY,808.0
2025-07-10,808.0,811.30,815.50,806.90,12.18M,-0.36%,810.0600000000001,802.4675,BUY,808.65
2025-07-11,808.65,807.55,812.55,804.55,6.20M,0.08%,809.42,803.2825,BUY,808.85
2025-07-14,808.85,809.80,815.50,808.00,6.94M,0.02%,809.8199999999999,804.1,BUY,816.45
2025-07-15,816.45,811.00,821.00,810.50,9.30M,0.94%,810.5799999999999,805.3075,BUY,831.7
