Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,406.75,408.6,408.84,400.82,8.03M,0.01%,411.04799999999994,405.6935,BUY,395.88
2025-04-03,395.88,399.55,404.99,395.01,13.47M,-2.67%,404.47200000000004,406.745,WAIT,371.61
2025-04-04,371.61,393.49,393.49,369.28,26.62M,-6.13%,397.85,405.9295,WAIT,350.96
2025-04-07,350.96,339.31,352.33,324.33,49.46M,-5.56%,386.384,404.116,WAIT,356.47
2025-04-08,356.47,357.9,367.22,353.66,20.99M,1.57%,376.334,402.3165,WAIT,352.87
2025-04-09,352.87,355.96,360.14,351.75,17.48M,-1.01%,365.558,400.3415,WAIT,360.23
2025-04-11,360.23,369.28,370.97,357.78,21.06M,2.08%,358.428,398.7375,WAIT,376.66
2025-04-15,376.66,371.7,380.36,370.88,19.72M,4.56%,359.438,397.342,WAIT,372.94
2025-04-16,372.94,378.36,378.36,371.46,12.32M,-0.99%,363.834,396.148,WAIT,376.27
2025-04-17,376.27,372.94,379.57,368.22,14.34M,0.89%,367.794,394.9525,WAIT,381.42
2025-04-21,381.42,378.12,384.87,375.45,12.79M,1.37%,373.504,393.4395,WAIT,381.9
2025-04-22,381.9,381.54,383.78,379.08,10.29M,0.13%,377.838,391.8835,WAIT,399.49
2025-04-23,399.49,384.99,400.45,383.41,23.39M,4.60%,382.404,390.971,WAIT,404.6
2025-04-24,404.6,399.61,406.21,399.61,15.17M,1.28%,388.736,389.9235,WAIT,396.67
2025-04-25,396.67,404.6,407.42,394.4,13.21M,-1.96%,392.816,388.1605,BUY,404.48
2025-04-28,404.48,396.1,405.36,395.04,10.24M,1.97%,397.428,386.8845,BUY,402.94
2025-04-29,402.94,406.48,413.41,400.51,13.75M,-0.38%,401.636,385.5935,BUY,390.01
2025-04-30,390.01,403.78,403.78,388.1,19.49M,-3.21%,399.74,384.85800000000006,BUY,394.7
2025-05-02,394.7,388.04,400.36,384.74,13.14M,1.20%,397.76,384.17850000000004,BUY,400.48
2025-05-05,400.48,401.33,403.57,397.03,8.87M,1.46%,398.52200000000005,383.8665,BUY,392.4
2025-05-06,392.4,400.48,401.48,390.77,12.72M,-2.02%,396.106,383.149,BUY,411.84
2025-05-07,411.84,388.65,413.17,388.13,30.39M,4.95%,397.88599999999997,383.947,BUY,413.38
2025-05-08,413.38,423.76,426.49,409.96,29.32M,0.37%,402.56,386.03549999999996,BUY,428.91
2025-05-09,428.91,404.09,430.42,403.18,40.18M,3.76%,409.402,389.93300000000005,BUY,436.35
2025-05-12,436.35,440.71,443.13,430.54,20.13M,1.74%,416.576,393.927,BUY,428.42
2025-05-13,428.42,436.35,439.5,425.73,16.13M,-1.82%,423.78000000000003,397.7045,BUY,423.13
2025-05-14,423.13,417.71,428.6,415.29,31.51M,-1.24%,426.038,400.8495,BUY,440.77
2025-05-15,440.77,423.0,441.8,421.43,28.63M,4.17%,431.51599999999996,404.055,BUY,442.35
2025-05-16,442.35,441.92,449.19,439.23,20.63M,0.36%,434.204,407.5255,BUY,441.62
2025-05-19,441.62,443.13,446.83,440.71,10.46M,-0.16%,435.258,410.793,BUY,435.2
2025-05-20,435.2,441.92,446.61,434.05,14.47M,-1.45%,436.61400000000003,413.48199999999997,BUY,439.99
2025-05-21,439.99,435.26,441.62,434.66,9.00M,1.10%,439.986,416.38649999999996,BUY,434.32
2025-05-22,434.32,438.9,438.9,430.21,10.05M,-1.29%,438.696,418.12800000000004,BUY,434.81
2025-05-23,434.81,435.11,436.96,432.84,7.92M,0.11%,437.188,419.6385,BUY,441.32
2025-05-26,441.32,437.08,446.77,436.6,13.02M,1.50%,437.12800000000004,421.871,BUY,433.72
2025-05-27,433.72,441.32,441.53,432.96,12.22M,-1.72%,436.832,423.33299999999997,BUY,434.63
2025-05-28,434.63,435.87,437.08,433.57,7.57M,0.21%,435.76000000000005,424.9175,BUY,438.56
2025-05-29,438.56,438.59,441.14,435.87,8.84M,0.91%,436.608,427.34499999999997,BUY,435.57
2025-05-30,435.57,438.56,441.04,431.33,14.53M,-0.68%,436.76000000000005,429.3885,BUY,430.78
2025-06-02,430.78,434.05,435.26,428.24,9.71M,-1.10%,434.65200000000004,430.9035,BUY,426.09
2025-06-03,426.09,432.84,434.87,425.15,9.16M,-1.09%,433.12600000000003,432.588,BUY,429.3
2025-06-04,429.3,424.85,433.11,422.79,11.29M,0.75%,432.05999999999995,433.46100000000007,WAIT,429.91
2025-06-05,429.91,431.51,432.51,426.18,10.20M,0.14%,430.33000000000004,434.2875,WAIT,430.42
2025-06-06,430.42,429.81,433.39,424.49,11.98M,0.12%,429.3,434.363,WAIT,434.54
2025-06-09,434.54,432.84,439.5,431.69,9.90M,0.96%,430.052,434.2724999999999,WAIT,443.28
