Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,3543.95,"3,544.00","3,564.10","3,530.05",1.76M,-0.19%,3597.5800000000004,3571.8599999999997,BUY,3403.15
2025-04-03,3403.15,"3,491.00","3,502.00","3,396.15",4.54M,-3.97%,3551.05,3565.415,WAIT,3299.4
2025-04-04,3299.4,"3,362.60","3,399.65","3,295.50",5.32M,-3.05%,3480.69,3553.0325,WAIT,3274.05
2025-04-07,3274.05,"3,100.00","3,291.40","3,056.05",6.62M,-0.77%,3414.2699999999995,3536.655,WAIT,3292.95
2025-04-08,3292.95,"3,302.05","3,349.00","3,255.30",5.56M,0.58%,3362.7,3520.7425000000003,WAIT,3246.6
2025-04-09,3246.6,"3,260.55","3,270.00","3,212.05",2.99M,-1.41%,3303.2299999999996,3503.59,WAIT,3231.5
2025-04-11,3231.5,"3,289.55","3,298.95","3,206.00",7.11M,-0.47%,3268.9,3486.4,WAIT,3248.2
2025-04-15,3248.2,"3,314.40","3,314.40","3,238.60",3.51M,0.52%,3258.66,3473.5,WAIT,3273.8
2025-04-16,3273.8,"3,248.20","3,278.10","3,229.00",2.38M,0.79%,3258.61,3461.6375,WAIT,3298.9
2025-04-17,3298.9,"3,245.50","3,303.60","3,218.00",2.93M,0.77%,3259.8,3451.6974999999998,WAIT,3321.6
2025-04-21,3321.6,"3,290.10","3,354.00","3,284.10",2.43M,0.69%,3274.8,3440.155,WAIT,3314.4
2025-04-22,3314.4,"3,322.60","3,333.90","3,295.00",2.71M,-0.22%,3291.38,3431.0199999999995,WAIT,3413.0
2025-04-23,3413.0,"3,365.00","3,420.90","3,337.30",3.54M,2.97%,3324.34,3423.5125,WAIT,3401.6
2025-04-24,3401.6,"3,401.10","3,412.50","3,387.70",2.25M,-0.33%,3349.9,3414.6875,WAIT,3448.0
2025-04-25,3448.0,"3,420.00","3,477.80","3,405.00",2.74M,1.36%,3379.72,3405.6400000000003,WAIT,3443.5
2025-04-28,3443.5,"3,435.00","3,457.80","3,405.00",1.59M,-0.13%,3404.1,3394.9275000000002,BUY,3472.5
2025-04-29,3472.5,"3,455.00","3,495.00","3,430.40",1.58M,0.84%,3435.72,3386.7625,BUY,3453.7
2025-04-30,3453.7,"3,472.00","3,509.90","3,366.00",2.81M,-0.54%,3443.8599999999997,3376.8875,BUY,3444.7
2025-05-02,3444.7,"3,472.00","3,491.50","3,420.00",2.12M,-0.26%,3452.4799999999996,3368.815,BUY,3454.3
2025-05-05,3454.3,"3,450.00","3,504.50","3,446.40",1.28M,0.28%,3453.7400000000002,3363.9900000000002,BUY,3460.0
2025-05-06,3460.0,"3,460.00","3,473.00","3,437.00",1.32M,0.17%,3457.04,3359.7925000000005,BUY,3445.1
2025-05-07,3445.1,"3,420.60","3,459.50","3,420.60",1.48M,-0.43%,3451.56,3361.8900000000003,BUY,3448.9
2025-05-08,3448.9,"3,448.00","3,477.00","3,428.70",2.54M,0.11%,3450.6,3369.3650000000002,BUY,3440.3
2025-05-09,3440.3,"3,399.00","3,446.20","3,398.10",2.53M,-0.25%,3449.72,3377.6775000000002,BUY,3620.4
2025-05-12,3620.4,"3,505.00","3,630.50","3,502.20",2.23M,5.24%,3482.94,3394.05,BUY,3515.0
2025-05-13,3515.0,"3,620.40","3,623.00","3,510.50",3.06M,-2.91%,3493.94,3407.47,BUY,3548.7
2025-05-14,3548.7,"3,521.00","3,561.00","3,508.60",2.12M,0.96%,3514.66,3423.3300000000004,BUY,3579.9
2025-05-15,3579.9,"3,564.00","3,600.00","3,514.10",3.55M,0.88%,3540.8599999999997,3439.915,BUY,3561.3
2025-05-16,3561.3,"3,593.90","3,593.90","3,546.10",1.67M,-0.52%,3565.06,3454.29,BUY,3518.8
2025-05-19,3518.8,"3,550.00","3,550.00","3,503.70",2.54M,-1.19%,3544.7400000000002,3465.285,BUY,3498.3
2025-05-20,3498.3,"3,531.80","3,558.00","3,494.00",2.04M,-0.58%,3541.4,3474.1200000000003,BUY,3525.8
2025-05-21,3525.8,"3,508.00","3,537.00","3,498.30",1.44M,0.79%,3536.8199999999997,3484.6899999999996,BUY,3477.0
2025-05-22,3477.0,"3,495.00","3,497.80","3,451.30",2.03M,-1.38%,3516.2400000000002,3487.8899999999994,BUY,3514.6
2025-05-23,3514.6,"3,477.00","3,535.00","3,465.60",1.27M,1.08%,3506.9,3493.54,BUY,3537.3
2025-05-26,3537.3,"3,521.00","3,545.00","3,510.10",967.47K,0.65%,3510.6,3498.005,BUY,3498.7
2025-05-27,3498.7,"3,532.00","3,540.00","3,483.10",2.47M,-1.09%,3510.6800000000003,3500.7650000000003,BUY,3497.7
2025-05-28,3497.7,"3,520.00","3,529.00","3,493.00",1.22M,-0.03%,3505.06,3502.025,BUY,3498.1
2025-05-29,3498.1,"3,504.70","3,532.50","3,486.50",3.19M,0.01%,3509.2799999999997,3504.2450000000003,BUY,3463.4
2025-05-30,3463.4,"3,490.00","3,506.70","3,453.10",3.40M,-0.99%,3499.04,3505.1800000000003,WAIT,3449.8
2025-06-02,3449.8,"3,450.00","3,460.00","3,418.60",1.88M,-0.39%,3481.54,3504.9550000000004,WAIT,3405.2
2025-06-03,3405.2,"3,446.00","3,473.50","3,400.50",2.85M,-1.29%,3462.8399999999992,3502.215,WAIT,3380.9
2025-06-04,3380.9,"3,389.00","3,394.80","3,370.00",2.54M,-0.71%,3439.4800000000005,3499.005,WAIT,3371.1
2025-06-05,3371.1,"3,409.00","3,409.00","3,363.70",3.58M,-0.29%,3414.0800000000004,3495.1150000000002,WAIT,3384.2
2025-06-06,3384.2,"3,371.10","3,390.90","3,358.70",2.07M,0.39%,3398.2400000000002,3492.31,WAIT,3421.9
2025-06-09,3421.9,"3,400.00","3,434.00","3,390.90",1.72M,1.11%,3392.66,3482.3849999999998,WAIT,3462.9
2025-06-10,3462.9,"3,440.00","3,485.80","3,423.20",2.42M,1.20%,3404.2,3479.78,WAIT,3471.9
2025-06-11,3471.9,"3,470.00","3,489.00","3,449.10",2.85M,0.26%,3422.4,3475.94,WAIT,3434.2
2025-06-12,3434.2,"3,471.90","3,474.70","3,423.20",4.06M,-1.09%,3435.0199999999995,3468.655,WAIT,3445.7
2025-06-13,3445.7,"3,393.20","3,450.50","3,393.20",2.18M,0.33%,3447.3199999999997,3462.875,WAIT,3496.3
2025-06-16,3496.3,"3,440.00","3,509.00","3,426.20",1.93M,1.47%,3462.2,3461.75,BUY,3515.3
2025-06-17,3515.3,"3,510.00","3,520.00","3,488.10",2.11M,0.54%,3472.6800000000003,3462.6,BUY,3451.4
2025-06-18,3451.4,"3,519.10","3,538.00","3,443.10",2.70M,-1.82%,3468.5800000000004,3458.88,BUY,3424.0
2025-06-19,3424.0,"3,450.00","3,451.00","3,413.00",2.67M,-0.79%,3466.54,3456.2300000000005,BUY,3435.7
2025-06-20,3435.7,"3,425.00","3,446.30","3,410.90",2.35M,0.34%,3464.54,3452.285,BUY,3393.6
2025-06-23,3393.6,"3,415.00","3,425.00","3,370.00",3.12M,-1.23%,3444.0,3445.1,WAIT,3390.4
2025-06-24,3390.4,"3,434.60","3,442.10","3,382.00",3.40M,-0.09%,3419.0199999999995,3439.685,WAIT,3444.8
2025-06-25,3444.8,"3,407.30","3,450.00","3,400.00",1.76M,1.60%,3417.7,3437.04,WAIT,3441.8
2025-06-26,3441.8,"3,444.80","3,451.40","3,415.30",2.88M,-0.09%,3421.2599999999998,3434.225,WAIT,3441.1
2025-06-27,3441.1,"3,455.00","3,466.40","3,431.00",1.78M,-0.02%,3422.34,3433.1099999999997,WAIT,3462.0
2025-06-30,3462.0,"3,439.90","3,464.90","3,430.00",1.47M,0.61%,3436.0199999999995,3433.72,BUY,3429.7
2025-07-01,3429.7,"3,455.00","3,485.00","3,413.50",2.38M,-0.93%,3443.88,3434.9450000000006,BUY,3423.3
2025-07-02,3423.3,"3,487.20","3,489.90","3,420.00",3.09M,-0.19%,3439.5800000000004,3437.065,BUY,3400.8
2025-07-03,3400.8,"3,430.00","3,435.30","3,397.60",2.53M,-0.66%,3431.38,3438.55,WAIT,3419.8
2025-07-04,3419.8,"3,408.00","3,427.00","3,390.10",1.11M,0.56%,3427.12,3440.3299999999995,WAIT,3411.7
2025-07-07,3411.7,"3,418.30","3,426.10","3,408.40",1.64M,-0.24%,3417.06,3439.8200000000006,WAIT,3406.2
2025-07-08,3406.2,"3,405.00","3,425.00","3,393.40",2.33M,-0.16%,3412.3599999999997,3436.9849999999997,WAIT,3383.8
2025-07-09,3383.8,"3,410.00","3,414.00","3,367.00",2.03M,-0.66%,3404.46,3432.5800000000004,WAIT,3382.0
2025-07-10,3382.0,"3,380.00","3,399.00","3,356.00",3.04M,-0.05%,3400.7,3429.9700000000003,WAIT,3266.0
2025-07-11,3266.0,"3,299.90","3,335.00","3,261.10",7.64M,-3.43%,3369.94,3420.9849999999997,WAIT,3222.7
2025-07-14,3222.7,"3,266.00","3,272.00","3,200.00",3.92M,-1.33%,3332.1400000000003,3407.3050000000003,WAIT,3252.3
2025-07-15,3252.3,"3,206.00","3,259.40","3,206.00",2.59M,0.92%,3301.3599999999997,3394.155,WAIT,3233.1
2025-07-16,3233.1,"3,227.00","3,244.90","3,220.60",2.54M,-0.59%,3271.2200000000003,3383.2400000000002,WAIT,3209.2
2025-07-17,3209.2,"3,224.10","3,242.00","3,204.10",2.95M,-0.74%,3236.66,3372.5,WAIT,3189.9
2025-07-18,3189.9,"3,225.00","3,228.80","3,187.00",3.43M,-0.60%,3221.44,3360.21,WAIT,3158.2
2025-07-21,3158.2,"3,190.00","3,197.60","3,152.00",3.84M,-0.99%,3208.54,3348.44,WAIT,3159.6
2025-07-22,3159.6,"3,159.60","3,180.10","3,154.60",3.20M,0.04%,3190.0,3336.9,WAIT,3179.1
2025-07-23,3179.1,"3,159.60","3,182.00","3,157.60",1.92M,0.62%,3179.2,3323.6150000000002,WAIT,3148.0
2025-07-24,3148.0,"3,165.10","3,173.70","3,140.00",2.93M,-0.98%,3166.96,3308.925,WAIT,3135.8
2025-07-25,3135.8,"3,140.00","3,156.90","3,125.60",2.57M,-0.39%,3156.14,3293.66,WAIT,3079.3
2025-07-28,3079.3,"3,110.00","3,118.00","3,069.90",3.37M,-1.80%,3140.36,3274.525,WAIT,3056.0
2025-07-29,3056.0,"3,060.00","3,074.00","3,041.20",4.79M,-0.76%,3119.6400000000003,3255.84,WAIT,3053.6
2025-07-30,3053.6,"3,060.00","3,069.00","3,047.20",2.88M,-0.08%,3094.54,3237.355,WAIT,3036.8
2025-07-31,3036.8,"3,041.70","3,059.80","3,015.00",2.97M,-0.55%,3072.3,3219.155,WAIT,3003.0
2025-08-01,3003.0,"3,029.90","3,036.80","3,000.00",2.05M,-1.11%,3045.7400000000002,3198.315,WAIT,3074.4
2025-08-04,3074.4,"3,009.10","3,079.40","2,991.60",2.52M,2.38%,3044.7599999999998,3181.45,WAIT,3063.9
2025-08-05,3063.9,"3,074.40","3,077.50","3,042.00",1.93M,-0.34%,3046.34,3164.335,WAIT,3032.3
2025-08-06,3032.3,"3,063.00","3,066.80","3,026.00",1.49M,-1.03%,3042.0800000000004,3146.76,WAIT,3047.0
2025-08-07,3047.0,"3,016.00","3,051.60","3,010.90",2.54M,0.48%,3044.12,3130.01,WAIT,3036.4
2025-08-08,3036.4,"3,048.10","3,059.80","3,025.00",2.76M,-0.35%,3050.8,3118.53,WAIT,3040.8
2025-08-11,3040.8,"3,036.40","3,049.90","3,021.30",1.88M,0.14%,3044.0800000000004,3109.435,WAIT,3035.4
2025-08-12,3035.4,"3,041.00","3,096.40","3,026.90",3.36M,-0.18%,3038.38,3098.59,WAIT,3036.2
