Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,154.69,154.0,156.25,152.27,24.98M,1.03%,154.656,153.012,BUY,153.62
2025-04-03,153.62,153.0,155.97,152.6,15.12M,-0.69%,154.21800000000002,153.726,BUY,140.39
2025-04-04,140.39,152.62,152.99,140.0,80.85M,-8.61%,151.21200000000002,153.4405,WAIT,129.48
2025-04-07,129.48,128.0,130.35,125.33,121.81M,-7.77%,146.26,152.39249999999998,WAIT,130.28
2025-04-08,130.28,134.89,136.2,128.02,69.00M,0.62%,141.692,151.3285,WAIT,127.18
2025-04-09,127.18,130.0,130.0,125.3,73.40M,-2.38%,136.19,150.135,WAIT,133.42
2025-04-11,133.42,134.67,134.7,130.49,73.71M,4.91%,132.15,149.2685,WAIT,136.41
2025-04-15,136.41,135.6,137.0,134.84,38.97M,2.24%,131.35399999999998,148.574,WAIT,136.97
2025-04-16,136.97,136.41,137.6,134.62,42.68M,0.41%,132.852,147.87849999999997,WAIT,137.14
2025-04-17,137.14,134.4,137.96,133.7,62.28M,0.12%,134.224,147.145,WAIT,139.18
2025-04-21,139.18,137.65,140.3,137.05,26.50M,1.49%,136.624,146.371,WAIT,138.16
2025-04-22,138.16,142.0,142.84,137.7,58.43M,-0.73%,137.572,145.349,WAIT,141.16
2025-04-23,141.16,139.39,141.5,137.32,37.85M,2.17%,138.522,144.45499999999998,WAIT,141.52
2025-04-24,141.52,140.7,141.88,140.28,23.06M,0.26%,139.432,143.667,WAIT,138.85
2025-04-25,138.85,142.0,143.45,138.02,37.76M,-1.89%,139.77399999999997,142.6885,WAIT,142.07
2025-04-28,142.07,138.54,142.6,138.38,26.97M,2.32%,140.352,141.95549999999997,WAIT,141.5
2025-04-29,141.5,142.07,143.3,140.92,25.76M,-0.40%,141.02,141.24,WAIT,140.08
2025-04-30,140.08,141.45,141.56,138.0,29.21M,-1.00%,140.80400000000003,140.473,BUY,141.18
2025-05-02,141.18,140.0,143.1,139.45,34.85M,0.79%,140.736,139.82,BUY,142.08
2025-05-05,142.08,141.57,142.7,141.2,17.21M,0.64%,141.382,139.26799999999997,BUY,144.44
2025-05-06,144.44,142.08,145.4,141.54,42.66M,1.66%,141.856,138.7555,BUY,146.0
2025-05-07,146.0,142.2,146.95,142.2,34.67M,1.08%,142.756,138.37449999999998,BUY,143.67
2025-05-08,143.67,146.0,146.66,142.85,29.69M,-1.60%,143.474,138.5385,BUY,142.78
2025-05-09,142.78,140.99,143.27,140.51,21.88M,-0.62%,143.794,139.2035,BUY,151.63
2025-05-12,151.63,145.61,151.95,144.5,47.09M,6.20%,145.704,140.27100000000002,BUY,149.43
2025-05-13,149.43,152.0,152.99,149.01,54.39M,-1.45%,146.702,141.3835,BUY,155.31
2025-05-14,155.31,151.0,157.15,151.0,60.00M,3.93%,148.564,142.478,BUY,157.35
2025-05-15,157.35,155.5,157.84,154.3,57.07M,1.31%,151.3,143.525,BUY,157.55
2025-05-16,157.55,157.35,158.15,157.0,22.88M,0.13%,154.254,144.55400000000003,BUY,157.57
2025-05-19,157.57,158.0,158.14,156.13,21.84M,0.01%,155.442,145.57549999999998,BUY,158.69
2025-05-20,158.69,158.35,162.1,158.0,58.06M,0.71%,157.29399999999998,146.551,BUY,161.64
2025-05-21,161.64,159.45,161.85,158.53,36.04M,1.86%,158.56,147.725,BUY,161.29
2025-05-22,161.29,160.98,163.6,160.36,60.72M,-0.22%,159.348,148.73149999999998,BUY,162.97
2025-05-23,162.97,161.6,163.53,161.5,29.48M,1.04%,160.432,149.804,BUY,162.51
2025-05-26,162.51,163.1,165.55,162.05,25.58M,-0.28%,161.42,150.987,BUY,161.66
2025-05-27,161.66,162.51,163.9,160.62,23.30M,-0.52%,162.01399999999998,151.96650000000002,BUY,161.24
2025-05-28,161.24,162.4,162.69,160.65,13.04M,-0.26%,161.93400000000003,152.9535,BUY,163.12
2025-05-29,163.12,162.19,163.95,161.5,26.46M,1.17%,162.3,154.10549999999998,BUY,161.02
2025-05-30,161.02,163.11,163.89,160.51,32.74M,-1.29%,161.91000000000003,155.0975,BUY,159.04
2025-06-02,159.04,159.0,160.12,157.3,31.37M,-1.23%,161.216,155.94549999999998,BUY,157.35
2025-06-03,157.35,159.04,160.65,157.17,28.40M,-1.06%,160.354,156.591,BUY,158.18
2025-06-04,158.18,157.5,158.98,156.81,16.66M,0.53%,159.742,157.2,BUY,157.97
2025-06-05,157.97,158.86,159.09,157.05,23.71M,-0.13%,158.712,157.91500000000002,BUY,157.49
2025-06-06,157.49,155.7,157.88,154.25,25.80M,-0.30%,158.006,158.65050000000002,WAIT,157.32
2025-06-09,157.32,157.69,158.2,156.82,15.32M,-0.11%,157.66199999999998,158.935,WAIT,155.68
2025-06-10,155.68,158.0,159.3,155.5,22.76M,-1.04%,157.328,159.2475,WAIT,156.41
2025-06-11,156.41,156.45,157.53,155.31,17.61M,0.47%,156.974,159.30249999999998,WAIT,152.89
2025-06-12,152.89,156.0,156.26,151.85,27.85M,-2.25%,155.958,159.0795,WAIT,152.13
2025-06-13,152.13,149.8,152.5,149.8,24.28M,-0.50%,154.886,158.80849999999998,WAIT,154.17
2025-06-16,154.17,152.01,154.5,150.84,16.19M,1.34%,154.256,158.6385,WAIT,152.6
2025-06-17,152.6,153.81,154.89,152.35,16.74M,-1.02%,153.64,158.334,WAIT,152.11
2025-06-18,152.11,152.2,153.2,150.8,14.86M,-0.32%,152.78,157.85750000000002,WAIT,151.0
2025-06-19,151.0,152.0,152.45,150.5,20.15M,-0.73%,152.402,157.34300000000002,WAIT,151.97
2025-06-20,151.97,150.75,153.17,150.63,29.94M,0.64%,152.37,156.79299999999998,WAIT,152.43
2025-06-23,152.43,150.5,153.3,150.48,17.10M,0.30%,152.02200000000002,156.28900000000002,WAIT,154.79
2025-06-24,154.79,153.8,156.97,153.64,25.40M,1.55%,152.46,155.94549999999998,WAIT,156.39
2025-06-25,156.39,155.9,156.9,155.51,18.24M,1.03%,153.316,155.703,WAIT,160.54
2025-06-26,160.54,156.87,161.1,156.45,40.65M,2.65%,155.224,155.574,WAIT,161.45
2025-06-27,161.45,161.0,163.3,160.7,31.99M,0.57%,157.11999999999998,155.59550000000002,BUY,159.76
2025-06-30,159.76,160.99,162.2,159.5,15.84M,-1.05%,158.58599999999996,155.6315,BUY,160.06
2025-07-01,160.06,160.01,160.44,157.73,17.82M,0.19%,159.64,155.767,BUY,165.88
2025-07-02,165.88,160.06,166.15,159.83,63.32M,3.64%,161.53799999999998,156.152,BUY,165.91
2025-07-03,165.91,166.0,168.78,165.21,60.57M,0.02%,162.612,156.54899999999998,BUY,163.01
2025-07-04,163.01,165.91,166.49,162.0,22.94M,-1.75%,162.92399999999998,156.825,BUY,162.4
2025-07-07,162.4,163.0,163.35,160.05,17.47M,-0.37%,163.452,157.079,BUY,161.97
2025-07-08,161.97,162.45,162.9,161.6,11.40M,-0.26%,163.834,157.3935,BUY,159.0
2025-07-09,159.0,161.95,161.95,157.51,29.84M,-1.83%,162.458,157.523,BUY,160.66
2025-07-10,160.66,160.0,161.55,159.28,17.57M,1.04%,161.408,157.9115,BUY,159.84
2025-07-11,159.84,160.64,161.62,159.32,20.69M,-0.51%,160.774,158.297,BUY,160.44
2025-07-14,160.44,159.84,161.12,159.3,15.15M,0.38%,160.382,158.6105,BUY,159.0
2025-07-15,159.0,160.26,160.85,157.95,17.99M,-0.90%,159.788,158.9305,BUY,157.33
2025-07-16,157.33,159.0,159.27,157.0,14.59M,-1.05%,159.454,159.1915,BUY,159.9
2025-07-17,159.9,157.5,160.7,157.12,21.73M,1.63%,159.302,159.6365,WAIT,162.37
2025-07-18,162.37,160.1,162.75,160.1,30.73M,1.54%,159.80800000000002,160.1565,WAIT,163.02
2025-07-21,163.02,162.5,165.6,162.49,29.81M,0.40%,160.324,160.68599999999998,WAIT,163.04
2025-07-22,163.04,163.3,164.41,162.73,13.62M,0.01%,161.132,161.0985,BUY,162.77
2025-07-23,162.77,163.25,164.14,161.88,14.29M,-0.17%,162.21999999999997,161.4175,BUY,163.48
2025-07-24,163.48,163.0,164.75,162.81,14.38M,0.44%,162.93599999999998,161.5645,BUY,161.43
2025-07-25,161.43,163.5,163.59,161.05,12.44M,-1.25%,162.748,161.5635,BUY,159.68
2025-07-28,159.68,161.23,162.29,159.09,19.30M,-1.08%,162.07999999999998,161.5595,BUY,161.69
2025-07-29,161.69,158.2,162.45,158.2,15.26M,1.26%,161.81,161.64100000000002,BUY,161.36
2025-07-30,161.36,161.69,162.79,161.05,16.08M,-0.20%,161.528,161.41500000000002,BUY,157.94
2025-07-31,157.94,161.0,162.13,156.56,26.21M,-2.12%,160.42000000000002,161.0165,WAIT,153.01
2025-08-01,153.01,157.93,157.93,152.51,23.93M,-3.12%,158.736,160.5165,WAIT,159.56
2025-08-04,159.56,153.5,159.92,153.5,30.06M,4.28%,158.71200000000002,160.37449999999998,WAIT,159.62
2025-08-05,159.62,159.56,160.14,158.28,14.44M,0.04%,158.298,160.257,WAIT,158.66
2025-08-06,158.66,159.62,159.8,157.8,13.44M,-0.60%,157.75799999999998,160.24,WAIT,159.67
2025-08-07,159.67,157.15,160.0,156.26,23.16M,0.64%,158.10399999999998,160.19050000000001,WAIT,157.95
2025-08-08,157.95,159.5,159.95,157.01,11.95M,-1.08%,159.092,160.096,WAIT,158.52
2025-08-11,158.52,157.95,160.0,157.15,14.33M,0.36%,158.884,160.0,WAIT,160.16
2025-08-12,160.16,158.52,161.65,158.5,20.06M,1.03%,158.992,160.058,WAIT,160.18
2025-08-13,160.18,160.96,162.4,159.9,18.08M,0.01%,159.296,160.2005,WAIT,155.3
2025-08-14,155.3,160.02,160.6,154.83,47.26M,-3.05%,158.422,159.9705,WAIT,157.96
2025-08-18,157.96,158.0,159.0,156.0,61.02M,1.71%,158.424,159.75,WAIT,159.23
2025-08-19,159.23,158.5,159.46,156.76,21.22M,0.80%,158.566,159.5605,WAIT,161.92
2025-08-20,161.92,158.2,162.76,158.03,28.52M,1.69%,158.918,159.5045,WAIT,161.51
2025-08-21,161.51,161.92,162.54,161.19,17.28M,-0.25%,159.184,159.4415,WAIT,158.55
2025-08-22,158.55,161.25,161.28,158.1,16.06M,-1.83%,159.834,159.195,BUY,159.63
2025-08-25,159.63,159.2,160.33,158.64,16.38M,0.68%,160.16799999999998,159.105,BUY,155.03
2025-08-26,155.03,159.16,159.16,154.64,19.62M,-2.88%,159.328,158.8725,BUY,153.63
2025-08-28,153.63,155.78,155.87,153.16,22.27M,-0.90%,157.67000000000002,158.46949999999998,WAIT,154.48
2025-08-29,154.48,154.5,155.1,153.05,16.97M,0.55%,156.26399999999998,158.1255,WAIT,156.17
2025-09-01,156.17,154.48,156.36,153.7,10.80M,1.09%,155.788,158.03699999999998,WAIT,158.39
2025-09-02,158.39,156.17,159.07,155.5,21.20M,1.42%,155.54,158.30599999999998,WAIT,167.85
2025-09-03,167.85,158.4,168.0,158.4,82.35M,5.97%,158.10399999999998,158.7205,WAIT,166.81
2025-09-04,166.81,169.0,169.3,166.62,26.32M,-0.62%,160.73999999999998,159.08,BUY,167.68
2025-09-05,167.68,167.0,168.0,165.94,16.80M,0.52%,163.38000000000002,159.531,BUY,168.82
2025-09-08,168.82,170.0,172.5,168.46,36.40M,0.68%,165.91,159.9885,BUY,169.15
2025-09-09,169.15,169.3,169.72,167.99,14.03M,0.20%,168.06199999999998,160.5485,BUY,169.43
2025-09-10,169.43,169.19,170.73,168.75,13.13M,0.17%,168.37800000000001,161.094,BUY,169.41
2025-09-11,169.41,169.35,170.9,168.46,13.83M,-0.01%,168.898,161.5565,BUY,169.78
2025-09-12,169.78,169.6,171.0,168.63,12.12M,0.22%,169.31799999999998,162.0365,BUY,169.23
2025-09-15,169.23,169.77,170.2,168.63,10.61M,-0.32%,169.4,162.733,BUY,172.02
2025-09-16,172.02,169.39,172.27,169.02,26.63M,1.65%,169.974,163.436,BUY,171.36
2025-09-17,171.36,172.5,172.9,169.35,21.38M,-0.38%,170.35999999999999,164.0425,BUY,172.03
2025-09-18,172.03,171.46,172.2,169.81,16.41M,0.39%,170.88400000000001,164.548,BUY,171.48
2025-09-19,171.48,172.1,172.67,170.6,25.41M,-0.32%,171.224,165.04649999999998,BUY,171.39
2025-09-22,171.39,170.8,172.21,170.51,20.97M,-0.05%,171.656,165.6885,BUY,173.29
2025-09-23,173.29,171.45,173.81,171.2,24.53M,1.11%,171.91,166.3715,BUY,172.66
2025-09-24,172.66,173.16,174.44,172.38,20.17M,-0.36%,172.17000000000002,167.253,BUY,172.38
2025-09-25,172.38,172.9,173.85,171.86,17.03M,-0.16%,172.23999999999998,168.1905,BUY,167.4
2025-09-26,167.4,172.22,173.37,167.2,20.16M,-2.89%,171.424,168.8365,BUY,168.98
2025-09-29,168.98,167.6,170.28,167.56,16.83M,0.94%,170.942,169.477,BUY,168.77
2025-09-30,168.77,169.5,170.15,168.41,24.55M,-0.12%,170.038,169.996,BUY,167.51
2025-10-01,167.51,169.0,169.74,166.13,17.54M,-0.75%,169.00799999999998,169.97899999999998,WAIT,173.21
2025-10-03,173.21,168.12,174.74,168.12,55.17M,3.40%,169.174,170.29899999999998,WAIT,170.06
2025-10-06,170.06,173.3,173.48,169.3,21.47M,-1.82%,169.706,170.418,WAIT,171.43
2025-10-07,171.43,170.4,172.2,170.4,19.19M,0.81%,170.196,170.5485,WAIT,171.94
2025-10-08,171.94,172.0,173.63,170.06,22.66M,0.30%,170.82999999999998,170.68800000000002,BUY,176.42
2025-10-09,176.42,172.79,177.82,172.78,68.50M,2.61%,172.612,171.0375,BUY,173.86
2025-10-10,173.86,176.0,176.14,172.9,18.09M,-1.45%,172.74200000000002,171.26,BUY,173.03
2025-10-13,173.03,173.0,173.8,170.91,19.39M,-0.48%,173.336,171.42249999999999,BUY,170.51
2025-10-14,170.51,174.91,176.45,169.25,22.08M,-1.46%,173.152,171.4865,BUY,173.24
2025-10-15,173.24,170.83,174.0,170.11,15.03M,1.60%,173.412,171.54749999999999,BUY,174.0
2025-10-16,174.0,173.0,174.49,172.22,12.21M,0.44%,172.92800000000003,171.67950000000002,BUY,172.22
2025-10-17,172.22,173.6,174.31,170.99,21.66M,-1.02%,172.6,171.689,BUY,171.95
2025-10-20,171.95,173.3,173.3,170.82,18.05M,-0.16%,172.384,171.7125,BUY,172.78
2025-10-21,172.78,172.4,173.25,172.1,2.47M,0.48%,172.838,171.78199999999998,BUY,174.16
2025-10-23,174.16,173.9,176.08,173.64,31.47M,0.80%,173.022,171.8255,BUY,174.44
2025-10-24,174.44,174.6,177.35,173.72,25.23M,0.16%,173.10999999999999,171.9145,BUY,176.66
2025-10-27,176.66,175.89,177.9,175.53,23.83M,1.27%,173.998,172.1285,BUY,181.81
2025-10-28,181.81,177.35,182.06,177.02,59.51M,2.92%,175.97,172.849,BUY,185.19
2025-10-29,185.19,183.67,186.94,182.05,51.61M,1.86%,178.452,173.6595,BUY,184.35
2025-10-30,184.35,184.4,185.19,182.64,24.27M,-0.45%,180.48999999999998,174.4385,BUY,182.84
2025-10-31,182.84,184.0,184.3,182.12,16.04M,-0.82%,182.17000000000002,175.205,BUY,182.67
2025-11-03,182.67,182.4,184.1,181.8,16.65M,-0.09%,183.372,175.67800000000003,BUY,179.29
2025-11-04,179.29,183.0,183.09,178.9,18.75M,-1.85%,182.868,176.1395,BUY,177.27
2025-11-06,177.27,179.29,180.67,176.52,23.66M,-1.13%,181.28400000000002,176.4315,BUY,181.37
2025-11-07,181.37,177.0,182.25,175.01,19.17M,2.31%,180.68800000000002,176.903,BUY,181.48
2025-11-10,181.48,182.03,182.51,180.2,18.38M,0.06%,180.416,177.156,BUY,181.04
2025-11-11,181.04,182.9,182.9,179.02,14.11M,-0.24%,180.09,177.51500000000001,BUY,178.61
2025-11-12,178.61,181.44,182.15,178.0,19.04M,-1.34%,179.954,177.794,BUY,176.65
2025-11-13,176.65,184.0,184.0,175.1,82.08M,-1.10%,179.83,178.101,BUY,174.26
2025-11-14,174.26,177.52,177.7,172.12,38.35M,-1.35%,178.408,178.152,BUY,173.17
2025-11-17,173.17,175.13,175.25,172.62,28.20M,-0.63%,176.746,178.1105,WAIT,172.45
2025-11-18,172.45,172.4,173.12,170.55,34.28M,-0.42%,175.02800000000002,178.122,WAIT,173.21
2025-11-19,173.21,172.45,173.9,172.06,19.62M,0.44%,173.94799999999998,178.185,WAIT,172.46
2025-11-20,172.46,174.1,174.36,172.26,15.97M,-0.43%,173.10999999999999,178.169,WAIT,168.0
2025-11-21,168.0,171.8,171.9,167.7,28.41M,-2.59%,171.858,177.861,WAIT,165.36
2025-11-24,165.36,168.0,168.38,165.18,31.20M,-1.57%,170.296,177.40699999999998,WAIT,166.33
2025-11-25,166.33,166.0,167.27,165.08,19.98M,0.59%,169.072,176.8905,WAIT,169.67
2025-11-26,169.67,167.0,169.95,166.9,15.04M,2.01%,168.364,176.2835,WAIT,168.13
2025-11-27,168.13,170.45,171.0,167.18,17.55M,-0.91%,167.498,175.4305,WAIT,167.96
2025-11-28,167.96,168.13,169.0,167.29,11.98M,-0.10%,167.49,174.611,WAIT,168.63
2025-12-01,168.63,169.0,169.65,167.7,11.76M,0.40%,168.144,173.9005,WAIT,167.78
2025-12-02,167.78,168.43,168.85,167.0,15.36M,-0.50%,168.434,173.156,WAIT,166.92
2025-12-03,166.92,167.78,167.99,165.0,18.87M,-0.51%,167.884,172.5375,WAIT,166.77
2025-12-04,166.77,167.8,167.97,166.2,11.42M,-0.09%,167.612,172.0125,WAIT,167.11
2025-12-05,167.11,167.0,167.65,165.0,33.50M,0.20%,167.442,171.2995,WAIT,163.47
2025-12-08,163.47,167.09,168.2,163.0,15.77M,-2.18%,166.41,170.399,WAIT,160.67
2025-12-09,160.67,163.39,163.39,160.06,25.77M,-1.71%,164.988,169.3805,WAIT,162.23
2025-12-10,162.23,161.0,163.68,160.81,22.54M,0.97%,164.05,168.5615,WAIT,166.38
2025-12-11,166.38,163.5,166.66,163.17,32.60M,2.56%,163.972,168.048,WAIT,171.89
