Date,Price,Open,High,Low,Vol.,Change %,SMA_5,SMA_20,Recommendation,Target
2025-04-02,3098.45,"3,011.00","3,105.00","2,971.15",1.67M,3.73%,3058.7799999999997,3069.7825000000003,WAIT,3127.55
2025-04-03,3127.55,"3,071.00","3,151.00","3,068.00",1.12M,0.94%,3072.79,3073.7349999999997,WAIT,3076.2
2025-04-04,3076.2,"3,099.00","3,114.90","3,050.00",901.80K,-1.64%,3070.5,3073.2174999999997,WAIT,3022.2
2025-04-07,3022.2,"2,925.00","3,048.00","2,925.00",1.38M,-1.76%,3062.2699999999995,3068.2725,WAIT,3122.3
2025-04-08,3122.3,"3,149.70","3,227.25","3,101.00",2.83M,3.31%,3089.34,3070.42,BUY,3174.15
2025-04-09,3174.15,"3,137.85","3,188.25","3,090.70",1.22M,1.66%,3104.48,3077.7875,BUY,3234.9
2025-04-11,3234.9,"3,222.00","3,242.55","3,201.25",814.92K,1.91%,3125.95,3087.2125,BUY,3273.4
2025-04-15,3273.4,"3,270.00","3,285.00","3,245.10",1.12M,1.19%,3165.3900000000003,3099.935,BUY,3272.1
2025-04-16,3272.1,"3,250.00","3,286.00","3,245.10",889.94K,-0.04%,3215.37,3113.0325,BUY,3327.5
2025-04-17,3327.5,"3,250.00","3,334.80","3,211.20",1.08M,1.69%,3256.41,3128.54,BUY,3336.1
2025-04-21,3336.1,"3,314.00","3,353.50","3,290.00",672.13K,0.26%,3288.8,3141.2599999999998,BUY,3337.4
2025-04-22,3337.4,"3,336.10","3,358.80","3,320.10",609.21K,0.04%,3309.3,3154.3149999999996,BUY,3357.3
2025-04-23,3357.3,"3,357.00","3,373.70","3,315.50",628.66K,0.60%,3326.0799999999995,3162.525,BUY,3382.6
2025-04-24,3382.6,"3,356.80","3,395.00","3,344.00",901.75K,0.75%,3348.1800000000003,3173.52,BUY,3365.2
2025-04-25,3365.2,"3,382.60","3,419.50","3,316.00",704.33K,-0.51%,3355.72,3187.825,BUY,3369.1
2025-04-28,3369.1,"3,356.00","3,397.40","3,351.00",384.15K,0.12%,3362.3199999999997,3203.5950000000003,BUY,3378.6
2025-04-29,3378.6,"3,375.90","3,398.00","3,354.00",575.44K,0.28%,3370.56,3219.65,BUY,3379.7
2025-04-30,3379.7,"3,374.00","3,409.00","3,354.30",708.82K,0.03%,3375.0399999999995,3234.2524999999996,BUY,3341.0
2025-05-02,3341.0,"3,362.10","3,381.50","3,324.00",668.47K,-1.15%,3366.72,3248.1349999999998,BUY,3321.8
2025-05-05,3321.8,"3,357.70","3,408.50","3,307.00",565.18K,-0.57%,3358.04,3264.8775,BUY,3299.3
2025-05-06,3299.3,"3,321.80","3,325.30","3,245.50",650.79K,-0.68%,3344.0800000000004,3274.9199999999996,BUY,3338.9
2025-05-07,3338.9,"3,280.00","3,381.00","3,260.20",1.05M,1.20%,3336.1400000000003,3285.4875,BUY,3369.3
2025-05-08,3369.3,"3,349.90","3,412.50","3,325.00",1.60M,0.91%,3334.06,3300.1424999999995,BUY,3510.3
